name,bus,p_nom,carrier,marginal_cost
NL0 0 CCGT,NL0 0,1398.0,CCGT,43.6729395310492
NL0 0 nuclear,NL0 0,515.0,nuclear,27.322803680981593
NL0 0 waste,NL0 0,39.0,waste,34.1135
NL0 1 CCGT,NL0 1,72.0,CCGT,43.27286666666667
NL0 1 biomass,NL0 1,91.0,biomass,19.979914529914527
NL0 1 waste,NL0 1,81.0,waste,34.1135
NL0 2 CCGT,NL0 2,2857.0,CCGT,49.073762137857535
NL0 2 biomass,NL0 2,22.0,biomass,19.979914529914527
NL0 2 waste,NL0 2,221.2,waste,34.1135
NL0 3 CCGT,NL0 3,4136.5,CCGT,78.59724995982143
NL0 3 biomass,NL0 3,49.0,biomass,19.979914529914527
NL0 3 coal,NL0 3,1600.0,coal,22.97802808988764
NL0 3 waste,NL0 3,90.0,waste,34.1135
NL0 4 CCGT,NL0 4,49.6,CCGT,43.27286666666667
NL0 5 CCGT,NL0 5,3068.0,CCGT,48.517769732288215
NL0 5 biomass,NL0 5,82.0,biomass,19.979914529914527
NL0 5 coal,NL0 5,3106.0,coal,22.97802808988764
NL0 5 waste,NL0 5,108.0,waste,34.1135
NL0 6 CCGT,NL0 6,815.0,CCGT,51.859238087581986
NL0 6 biomass,NL0 6,536.0,biomass,19.979914529914527
NL0 6 waste,NL0 6,157.0,waste,34.1135
NL0 7 CCGT,NL0 7,1608.4,CCGT,43.27286666666667
NL0 8 CCGT,NL0 8,50.0,CCGT,43.27286666666667
NL0 8 biomass,NL0 8,97.0,biomass,19.979914529914527
NL0 9 CCGT,NL0 9,144.0,CCGT,43.27286666666667
NL0 0 0 offwind-ac,NL0 0,752.0,offwind-ac,0.015
NL0 2 0 offwind-ac,NL0 2,4583.0,offwind-ac,0.015
NL0 3 0 offwind-ac,NL0 3,600.0,offwind-ac,0.015
NL0 5 0 offwind-ac,NL0 5,608.0,offwind-ac,0.015
NL0 9 0 offwind-ac,NL0 9,578.0,offwind-ac,0.015
NL0 0 0 onwind,NL0 0,374.3,onwind,0.015
NL0 1 0 onwind,NL0 1,96.0,onwind,0.015
NL0 2 0 onwind,NL0 2,568.6,onwind,0.015
NL0 3 0 onwind,NL0 3,1274.8,onwind,0.015
NL0 4 0 onwind,NL0 4,21.0,onwind,0.015
NL0 5 0 onwind,NL0 5,478.6,onwind,0.015
NL0 6 0 onwind,NL0 6,223.8,onwind,0.015
NL0 7 0 onwind,NL0 7,35.0,onwind,0.015
NL0 8 0 onwind,NL0 8,58.0,onwind,0.015
NL0 9 0 onwind,NL0 9,1222.2,onwind,0.015
NL0 0 0 solar,NL0 0,553.2,solar,0.01
NL0 1 0 solar,NL0 1,727.9,solar,0.01
NL0 2 0 solar,NL0 2,530.1,solar,0.01
NL0 3 0 solar,NL0 3,2096.0,solar,0.01
NL0 4 0 solar,NL0 4,351.7,solar,0.01
NL0 5 0 solar,NL0 5,199.1,solar,0.01
NL0 6 0 solar,NL0 6,411.6,solar,0.01
NL0 7 0 solar,NL0 7,260.3,solar,0.01
NL0 8 0 solar,NL0 8,772.7,solar,0.01
NL0 9 0 solar,NL0 9,1190.2,solar,0.01
