name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,p_init,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,overnight_cost,discount_rate,fom_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt
NL0 0 0 offwind-ac,NL0 0,PQ,,0.0,0.0,True,0.0,44.820905852950744,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,269400.0821631117,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 1 0 offwind-ac,NL0 1,PQ,,600.0,0.0,True,600.0,600.0,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,282141.64743231016,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 11 0 offwind-ac,NL0 11,PQ,,0.0,0.0,True,0.0,82.95067405155326,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,283592.4191122532,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 12 0 offwind-ac,NL0 12,PQ,,0.0,0.0,True,0.0,2.669255524326815,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,270699.2651160043,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 13 0 offwind-ac,NL0 13,PQ,,0.0,0.0,True,0.0,14.578605500159595,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,275560.7037857181,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 15 0 offwind-ac,NL0 15,PQ,,0.0,0.0,True,0.0,2.0751761359610397,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,273475.587886201,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 16 0 offwind-ac,NL0 16,PQ,,0.0,0.0,True,0.0,202.18323520278017,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,280591.21722355956,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 17 0 offwind-ac,NL0 17,PQ,,0.0,0.0,True,0.0,273.5518568365532,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,273582.5923610209,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 18 0 offwind-ac,NL0 18,PQ,,4583.0,0.0,True,4583.0,4583.0,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,277155.9775695738,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 19 0 offwind-ac,NL0 19,PQ,,608.0,0.0,True,608.0,1170.0737601551186,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,287981.15223317913,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
