name,bus,p_nom,carrier,marginal_cost
NL0 0 CCGT,NL0 0,575.0,CCGT,43.272866666666665
NL0 1 biomass,NL0 1,71.0,biomass,19.979914529914527
NL0 1 waste,NL0 1,31.0,waste,34.1135
NL0 10 CCGT,NL0 10,507.0,CCGT,43.27286666666667
NL0 10 waste,NL0 10,150.0,waste,34.1135
NL0 11 CCGT,NL0 11,72.0,CCGT,43.27286666666667
NL0 11 biomass,NL0 11,20.0,biomass,19.979914529914527
NL0 11 waste,NL0 11,50.0,waste,34.1135
NL0 13 CCGT,NL0 13,50.0,CCGT,43.27286666666667
NL0 13 biomass,NL0 13,77.0,biomass,19.979914529914527
NL0 16 CCGT,NL0 16,268.0,CCGT,43.27286666666667
NL0 17 CCGT,NL0 17,107.0,CCGT,43.27286666666667
NL0 18 CCGT,NL0 18,112.0,CCGT,43.27286666666667
NL0 19 CCGT,NL0 19,523.0,CCGT,53.04262929292929
NL0 19 biomass,NL0 19,49.0,biomass,19.979914529914527
NL0 19 waste,NL0 19,36.0,waste,34.1135
NL0 2 CCGT,NL0 2,272.5,CCGT,43.27286666666667
NL0 21 CCGT,NL0 21,85.0,CCGT,43.27286666666667
NL0 22 CCGT,NL0 22,100.0,CCGT,43.27286666666667
NL0 22 biomass,NL0 22,500.0,biomass,19.979914529914527
NL0 23 CCGT,NL0 23,964.0,CCGT,43.8530553226903
NL0 23 coal,NL0 23,3106.0,coal,22.97802808988764
NL0 24 CCGT,NL0 24,684.0,CCGT,67.50263035262032
NL0 25 waste,NL0 25,54.0,waste,34.1135
NL0 27 CCGT,NL0 27,984.0,CCGT,43.27286666666667
NL0 27 biomass,NL0 27,22.0,biomass,19.979914529914527
NL0 27 waste,NL0 27,71.2,waste,34.1135
NL0 28 CCGT,NL0 28,144.0,CCGT,43.27286666666667
NL0 3 CCGT,NL0 3,1907.0,CCGT,51.41762846054192
NL0 3 biomass,NL0 3,22.0,biomass,19.979914529914527
NL0 3 waste,NL0 3,108.0,waste,34.1135
NL0 30 biomass,NL0 30,60.0,biomass,19.979914529914527
NL0 31 CCGT,NL0 31,3341.0,CCGT,85.4787109164719
NL0 31 coal,NL0 31,1600.0,coal,22.97802808988764
NL0 5 CCGT,NL0 5,49.6,CCGT,43.27286666666667
NL0 6 CCGT,NL0 6,1608.4,CCGT,43.27286666666667
NL0 7 CCGT,NL0 7,1398.0,CCGT,43.6729395310492
NL0 7 nuclear,NL0 7,515.0,nuclear,27.322803680981593
NL0 7 waste,NL0 7,39.0,waste,34.1135
NL0 8 CCGT,NL0 8,447.0,CCGT,58.928107624263944
NL0 8 biomass,NL0 8,36.0,biomass,19.979914529914527
NL0 8 waste,NL0 8,157.0,waste,34.1135
NL0 9 biomass,NL0 9,20.0,biomass,19.979914529914527
