name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,p_init,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,overnight_cost,discount_rate,fom_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt
NL0 1 biomass,NL0 1,PQ,,71.0,0.0,False,71.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,biomass,19.979914529914527,0.0,True,0,inf,371372.75285668863,,,0.0,0.468,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 1 waste,NL0 1,PQ,,31.0,0.0,False,31.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,waste,34.1135,0.0,True,0,inf,1026674.8901905594,,,0.0,0.2165,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 10 waste,NL0 10,PQ,,150.0,0.0,False,150.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,waste,34.1135,0.0,True,0,inf,1026674.8901905594,,,0.0,0.2165,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 11 biomass,NL0 11,PQ,,20.0,0.0,False,20.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,biomass,19.979914529914527,0.0,True,0,inf,371372.75285668863,,,0.0,0.468,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 11 waste,NL0 11,PQ,,50.0,0.0,False,50.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,waste,34.1135,0.0,True,0,inf,1026674.8901905594,,,0.0,0.2165,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 13 biomass,NL0 13,PQ,,77.0,0.0,False,77.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,biomass,19.979914529914527,0.0,True,0,inf,371372.75285668863,,,0.0,0.468,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 19 biomass,NL0 19,PQ,,49.0,0.0,False,49.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,biomass,19.979914529914527,0.0,True,0,inf,371372.75285668863,,,0.0,0.468,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 19 waste,NL0 19,PQ,,36.0,0.0,False,36.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,waste,34.1135,0.0,True,0,inf,1026674.8901905594,,,0.0,0.2165,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 22 biomass,NL0 22,PQ,,500.0,0.0,False,500.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,biomass,19.979914529914527,0.0,True,0,inf,371372.75285668863,,,0.0,0.468,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 25 waste,NL0 25,PQ,,54.0,0.0,False,54.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,waste,34.1135,0.0,True,0,inf,1026674.8901905594,,,0.0,0.2165,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 27 biomass,NL0 27,PQ,,22.0,0.0,False,22.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,biomass,19.979914529914527,0.0,True,0,inf,371372.75285668863,,,0.0,0.468,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 27 waste,NL0 27,PQ,,71.2,0.0,False,71.2,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,waste,34.1135,0.0,True,0,inf,1026674.8901905594,,,0.0,0.2165,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 3 biomass,NL0 3,PQ,,22.0,0.0,False,22.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,biomass,19.979914529914527,0.0,True,0,inf,371372.75285668863,,,0.0,0.468,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 3 waste,NL0 3,PQ,,108.0,0.0,False,108.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,waste,34.1135,0.0,True,0,inf,1026674.8901905594,,,0.0,0.2165,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 30 biomass,NL0 30,PQ,,60.0,0.0,False,60.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,biomass,19.979914529914527,0.0,True,0,inf,371372.75285668863,,,0.0,0.468,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 7 nuclear,NL0 7,PQ,,515.0,0.0,False,515.0,inf,,0.0,0.898,,,-inf,inf,0.0,1.0,nuclear,27.322803680981593,0.0,True,0,inf,947758.9752212986,,,0.0,0.326,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 7 waste,NL0 7,PQ,,39.0,0.0,False,39.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,waste,34.1135,0.0,True,0,inf,1026674.8901905594,,,0.0,0.2165,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 8 biomass,NL0 8,PQ,,36.0,0.0,False,36.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,biomass,19.979914529914527,0.0,True,0,inf,371372.75285668863,,,0.0,0.468,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 8 waste,NL0 8,PQ,,157.0,0.0,False,157.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,waste,34.1135,0.0,True,0,inf,1026674.8901905594,,,0.0,0.2165,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 9 biomass,NL0 9,PQ,,20.0,0.0,False,20.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,biomass,19.979914529914527,0.0,True,0,inf,371372.75285668863,,,0.0,0.468,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 0 0 solar,NL0 0,PQ,,144.0,0.0,False,144.0,5476.366148873469,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 1 0 solar,NL0 1,PQ,,291.5,0.0,False,291.5,5956.048319696379,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 10 0 solar,NL0 10,PQ,,120.1,0.0,False,120.1,4753.610739700268,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 11 0 solar,NL0 11,PQ,,436.4,0.0,False,436.4,7469.920283220107,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 12 0 solar,NL0 12,PQ,,203.1,0.0,False,203.1,4794.131997784445,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 13 0 solar,NL0 13,PQ,,473.2,0.0,False,473.2,8048.308891450761,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 14 0 solar,NL0 14,PQ,,85.3,0.0,False,85.3,4248.2670690101395,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 15 0 solar,NL0 15,PQ,,369.4,0.0,False,369.4,8056.5018290772405,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 16 0 solar,NL0 16,PQ,,68.8,0.0,False,68.8,2069.761200530599,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 17 0 solar,NL0 17,PQ,,63.1,0.0,False,63.1,2051.110487051481,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 18 0 solar,NL0 18,PQ,,13.399999999999999,0.0,False,13.399999999999999,855.1298975265448,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 19 0 solar,NL0 19,PQ,,75.60000000000001,0.0,False,75.60000000000001,1110.3398896235396,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 2 0 solar,NL0 2,PQ,,1109.1,0.0,False,1109.1,7418.1609842565695,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 20 0 solar,NL0 20,PQ,,331.2,0.0,False,331.2,4438.545502598552,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
