line_idx,name,bus0,bus1,x,s_nom
0,0,NL0 0,NL0 16,4.511183224270493,2377.3436564367385
1,1,NL0 0,NL0 24,2.420978527609979,2377.3436564367385
2,10,NL0 13,NL0 9,4.471079764611169,2377.3436564367385
3,11,NL0 14,NL0 26,3.619618341072021,688.1784268632663
4,12,NL0 14,NL0 28,1.5799639320283032,688.1784268632663
5,13,NL0 15,NL0 2,10.270335098281048,2377.3436564367385
6,14,NL0 15,NL0 25,8.704554055147582,688.1784268632663
7,15,NL0 15,NL0 4,1.8567141478314837,3065.522083300005
8,16,NL0 16,NL0 21,1.867833669553916,2377.3436564367385
9,17,NL0 16,NL0 22,3.394443087568264,2377.3436564367385
10,18,NL0 16,NL0 8,1.6971467473074655,2377.3436564367385
11,19,NL0 17,NL0 21,4.81775030694453,2377.3436564367385
12,2,NL0 1,NL0 11,5.607794851521237,2377.3436564367385
13,20,NL0 17,NL0 27,1.3637181414933126,2377.3436564367385
14,21,NL0 18,NL0 21,1.8996976547286164,2377.3436564367385
15,22,NL0 18,NL0 30,0.8345117093129726,2377.3436564367385
16,23,NL0 19,NL0 2,3.003518278889137,688.1784268632663
17,24,NL0 19,NL0 31,2.4137695013816374,688.1784268632663
18,25,NL0 2,NL0 31,4.342249767870219,2377.3436564367385
19,26,NL0 20,NL0 24,5.462969381648837,2377.3436564367385
20,27,NL0 20,NL0 4,2.3125828055433493,2377.3436564367385
21,28,NL0 22,NL0 5,4.587057483053436,3566.015484655108
22,29,NL0 22,NL0 7,6.45212658020555,2377.3436564367385
23,3,NL0 1,NL0 13,5.013215203212258,2377.3436564367385
24,30,NL0 23,NL0 3,2.6023522775343317,2377.3436564367385
25,31,NL0 23,NL0 30,1.7401950782698563,2377.3436564367385
26,32,NL0 23,NL0 33,0.3814863550982373,2377.3436564367385
27,34,NL0 26,NL0 4,5.997416886363948,688.1784268632663
28,35,NL0 29,NL0 32,2.233217772304026,344.08921343163314
29,36,NL0 29,NL0 33,4.625743366076926,688.1784268632663
30,37,NL0 3,NL0 8,4.089439833425645,2377.3436564367385
31,38,NL0 32,NL0 33,5.621614156332324,688.1784268632663
32,39,NL0 5,NL0 6,5.247236349394107,2377.3436564367385
33,4,NL0 10,NL0 24,1.7093809155863378,2377.3436564367385
34,40,NL0 6,NL0 9,6.703119744741761,2377.3436564367385
35,5,NL0 10,NL0 27,1.7505893122536678,2377.3436564367385
36,6,NL0 11,NL0 15,6.119528472297128,2377.3436564367385
37,7,NL0 12,NL0 25,3.449993196357097,688.1784268632663
38,8,NL0 12,NL0 28,4.470779781680691,688.1784268632663
39,9,NL0 12,NL0 31,4.442072085105692,2377.3436564367385
