name,bus,p_nom,carrier,marginal_cost
NL0 0 0 solar,NL0 0,144.0,solar,0.01
NL0 1 0 solar,NL0 1,291.5,solar,0.01
NL0 10 0 solar,NL0 10,120.1,solar,0.01
NL0 11 0 solar,NL0 11,436.4,solar,0.01
NL0 12 0 solar,NL0 12,203.1,solar,0.01
NL0 13 0 solar,NL0 13,473.2,solar,0.01
NL0 14 0 solar,NL0 14,85.3,solar,0.01
NL0 15 0 solar,NL0 15,369.4,solar,0.01
NL0 16 0 solar,NL0 16,68.8,solar,0.01
NL0 17 0 solar,NL0 17,63.1,solar,0.01
NL0 18 0 solar,NL0 18,13.399999999999999,solar,0.01
NL0 19 0 solar,NL0 19,75.60000000000001,solar,0.01
NL0 2 0 solar,NL0 2,1109.1,solar,0.01
NL0 20 0 solar,NL0 20,331.2,solar,0.01
NL0 21 0 solar,NL0 21,40.5,solar,0.01
NL0 22 0 solar,NL0 22,263.3,solar,0.01
NL0 23 0 solar,NL0 23,57.1,solar,0.01
NL0 24 0 solar,NL0 24,99.8,solar,0.01
NL0 25 0 solar,NL0 25,663.4,solar,0.01
NL0 26 0 solar,NL0 26,156.2,solar,0.01
NL0 27 0 solar,NL0 27,103.1,solar,0.01
NL0 28 0 solar,NL0 28,105.3,solar,0.01
NL0 3 0 solar,NL0 3,84.5,solar,0.01
NL0 30 0 solar,NL0 30,3.6,solar,0.01
NL0 31 0 solar,NL0 31,44.8,solar,0.01
NL0 4 0 solar,NL0 4,142.8,solar,0.01
NL0 5 0 solar,NL0 5,351.7,solar,0.01
NL0 6 0 solar,NL0 6,260.3,solar,0.01
NL0 7 0 solar,NL0 7,553.2,solar,0.01
NL0 8 0 solar,NL0 8,79.5,solar,0.01
NL0 9 0 solar,NL0 9,299.5,solar,0.01
NL0 20 0 offwind-ac,NL0 20,578.0,offwind-ac,0.015
NL0 27 0 offwind-ac,NL0 27,4583.0,offwind-ac,0.015
NL0 31 0 offwind-ac,NL0 31,600.0,offwind-ac,0.015
NL0 32 0 offwind-ac,NL0 32,608.0,offwind-ac,0.015
NL0 7 0 offwind-ac,NL0 7,752.0,offwind-ac,0.015
NL0 0 0 onwind,NL0 0,59.0,onwind,0.015
NL0 1 0 onwind,NL0 1,75.0,onwind,0.015
NL0 10 0 onwind,NL0 10,428.0,onwind,0.015
NL0 11 0 onwind,NL0 11,21.0,onwind,0.015
NL0 12 0 onwind,NL0 12,54.0,onwind,0.015
NL0 13 0 onwind,NL0 13,23.0,onwind,0.015
NL0 14 0 onwind,NL0 14,61.0,onwind,0.015
NL0 15 0 onwind,NL0 15,52.0,onwind,0.015
NL0 17 0 onwind,NL0 17,27.0,onwind,0.015
NL0 19 0 onwind,NL0 19,532.0,onwind,0.015
NL0 2 0 onwind,NL0 2,472.8,onwind,0.015
NL0 20 0 onwind,NL0 20,822.2,onwind,0.015
NL0 21 0 onwind,NL0 21,36.0,onwind,0.015
NL0 22 0 onwind,NL0 22,122.7,onwind,0.015
NL0 23 0 onwind,NL0 23,127.0,onwind,0.015
NL0 24 0 onwind,NL0 24,33.0,onwind,0.015
NL0 27 0 onwind,NL0 27,21.6,onwind,0.015
NL0 3 0 onwind,NL0 3,284.6,onwind,0.015
NL0 30 0 onwind,NL0 30,31.0,onwind,0.015
NL0 31 0 onwind,NL0 31,216.0,onwind,0.015
NL0 4 0 onwind,NL0 4,287.0,onwind,0.015
NL0 5 0 onwind,NL0 5,21.0,onwind,0.015
NL0 6 0 onwind,NL0 6,35.0,onwind,0.015
NL0 7 0 onwind,NL0 7,374.3,onwind,0.015
NL0 8 0 onwind,NL0 8,101.1,onwind,0.015
NL0 9 0 onwind,NL0 9,35.0,onwind,0.015
