variable,min,max,mean,median,std
total_cap,298.2142857142857,298.2142857142857,298.2142857142857,298.2142857142857,0.0
market_cost,12425.821428571428,12425.821428571428,12425.821428571428,12425.821428571428,0.0
lambda_e_avg,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333,0.0
ls_total,240.0,240.0,240.0,240.0,0.0
rd_volume,297.49999999999994,297.49999999999994,297.49999999999994,297.49999999999994,0.0
rd_cost,372.076147779584,372.076147779584,372.076147779584,372.076147779584,0.0
curtailment,0.0,0.0,0.0,0.0,0.0
rd_up_vol,148.74999999999997,148.74999999999997,148.74999999999997,148.74999999999997,0.0
rd_down_vol,148.74999999999997,148.74999999999997,148.74999999999997,148.74999999999997,0.0
rd_cost_econ,372.076147779584,372.076147779584,372.076147779584,372.076147779584,0.0
curt_cost,0.0,0.0,0.0,0.0,0.0
lambda_c_z1,22.5,22.5,22.5,22.5,0.0
lambda_c_z2,30.0,30.0,30.0,30.0,0.0
lambda_c_z3,36.5,36.5,36.5,36.5,0.0
c_dem_z1,15.714285714285714,15.714285714285714,15.714285714285714,15.714285714285714,0.0
c_dem_z2,152.5,152.5,152.5,152.5,0.0
c_dem_z3,130.0,130.0,130.0,130.0,0.0
nu_c_z1,22.5,22.5,22.5,22.5,0.0
nu_c_z2,30.0,30.0,30.0,30.0,0.0
nu_c_z3,36.5,36.5,36.5,36.5,0.0
req_z1,15.714285714285714,15.714285714285714,15.714285714285714,15.714285714285714,0.0
req_z2,152.5,152.5,152.5,152.5,0.0
req_z3,130.00000000000003,130.00000000000003,130.00000000000003,130.00000000000003,0.0
net_import_z1,-5.0,-5.0,-5.0,-5.0,0.0
net_import_z2,-2.5,-2.5,-2.5,-2.5,0.0
net_import_z3,7.5,7.5,7.5,7.5,0.0
c_NL0 0 CCGT,15.714285714285714,15.714285714285714,15.714285714285714,15.714285714285714,0.0
c_NL0 1 coal,152.5,152.5,152.5,152.5,0.0
c_NL0 10 nuclear,130.0,130.0,130.0,130.0,0.0
