variable,min,max,mean,median,std
total_cap,298.2142857142857,298.2142857142857,298.2142857142857,298.2142857142857,0.0
market_cost,12506.446428571428,12506.446428571428,12506.446428571428,12506.446428571428,0.0
lambda_e_avg,4.666666666666667,4.666666666666667,4.666666666666667,4.666666666666667,0.0
ls_total,0.0,0.0,0.0,0.0,0.0
rd_volume,116.37311824573936,116.37311824573936,116.37311824573935,116.37311824573936,1.556721137788958e-14
rd_cost,841.6661575111517,841.6661575111517,841.6661575111517,841.6661575111517,0.0
curtailment,2.017980902158314,2.017980902158314,2.017980902158314,2.017980902158314,0.0
rd_up_vol,57.177568671790524,57.177568671790524,57.17756867179053,57.177568671790524,7.78360568894479e-15
rd_down_vol,59.19554957394884,59.19554957394884,59.19554957394883,59.19554957394884,7.78360568894479e-15
rd_cost_econ,236.27188686365753,236.27188686365753,236.27188686365753,236.27188686365753,0.0
curt_cost,605.3942706474942,605.3942706474942,605.3942706474942,605.3942706474942,0.0
lambda_c_z1,22.5,22.5,22.5,22.5,0.0
lambda_c_z2,30.0,30.0,30.0,30.0,0.0
lambda_c_z3,35.5,35.5,35.5,35.5,0.0
c_dem_z1,18.214285714285715,18.214285714285715,18.21428571428572,18.214285714285715,3.891802844472395e-15
c_dem_z2,153.75,153.75,153.75,153.75,0.0
c_dem_z3,126.25,126.25,126.25,126.25,0.0
nu_c_z1,22.5,22.5,22.5,22.5,0.0
nu_c_z2,30.0,30.0,30.0,30.0,0.0
nu_c_z3,35.5,35.5,35.5,35.5,0.0
req_z1,18.214285714285715,18.214285714285715,18.21428571428572,18.214285714285715,3.891802844472395e-15
req_z2,153.75,153.75,153.75,153.75,0.0
req_z3,126.25000000000003,126.25000000000003,126.25000000000001,126.25000000000003,1.556721137788958e-14
net_import_z1,-7.5,-7.5,-7.5,-7.5,0.0
net_import_z2,-3.75,-3.75,-3.75,-3.75,0.0
net_import_z3,11.25,11.25,11.25,11.25,0.0
c_NL0 0 CCGT,18.214285714285715,18.214285714285715,18.21428571428572,18.214285714285715,3.891802844472395e-15
c_NL0 1 coal,153.75,153.75,153.75,153.75,0.0
c_NL0 10 nuclear,126.25,126.25,126.25,126.25,0.0
