scenario,case_study,design,physical_zone,type,min_mw,median_mw,max_mw
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1.0,investable,0.0,0.0,1.236624598277558e-07
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1.0,legacy,7266.2,7266.2,7266.2
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,2.0,investable,436.0076019714425,436.0076028511208,436.0076028513567
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,2.0,legacy,4419.5,4419.5,4419.5
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,3.0,investable,0.0,0.0,8.473015675747328e-07
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,3.0,legacy,4601.0,4601.0,4601.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,legacy,0.0,0.0,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,1.0,investable,0.0,0.0,3.436710065850083e-07
cs2_nl34_z3_sigma0,Case Study 2,Split,1.0,legacy,7227.746702181195,7227.746702524866,7227.746702524866
cs2_nl34_z3_sigma0,Case Study 2,Split,2.0,investable,0.0,0.0,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,2.0,legacy,2560.309318529181,3480.0,4419.5
cs2_nl34_z3_sigma0,Case Study 2,Split,3.0,investable,2400.1047541589955,2400.1047541590287,2400.1047541591006
cs2_nl34_z3_sigma0,Case Study 2,Split,3.0,legacy,4601.0,4601.0,4601.0
cs2_nl34_z3_sigma0,Case Study 2,Split,,legacy,0.0,0.0,0.0
nl34_z1_sigma0,Case Study 1,Country-wide,1.0,investable,0.0,0.0,8.678441190568265e-06
nl34_z1_sigma0,Case Study 1,Country-wide,1.0,legacy,626.2,626.2,626.2
nl34_z1_sigma0,Case Study 1,Country-wide,2.0,investable,9999.99999998295,10000.0,10000.0
nl34_z1_sigma0,Case Study 1,Country-wide,2.0,legacy,139.0,139.0,139.0
nl34_z1_sigma0,Case Study 1,Country-wide,3.0,investable,4634.507594172677,4634.5076028511185,4634.507602868167
nl34_z1_sigma0,Case Study 1,Country-wide,3.0,legacy,1323.0,1323.0,1323.0
nl34_z1_sigma0,Case Study 1,Country-wide,,legacy,0.0,0.0,0.0
nl34_z3_sigma0,Case Study 1,Split,1.0,investable,6601.546702524866,6601.546702524866,6601.546702524867
nl34_z3_sigma0,Case Study 1,Split,1.0,legacy,626.2,626.2,626.2
nl34_z3_sigma0,Case Study 1,Split,2.0,investable,2421.309318529239,2421.309318529239,2421.309318529239
nl34_z3_sigma0,Case Study 1,Split,2.0,legacy,139.0,139.0,139.0
nl34_z3_sigma0,Case Study 1,Split,3.0,investable,5678.104754159029,5678.104754159029,5678.105211369158
nl34_z3_sigma0,Case Study 1,Split,3.0,legacy,1322.9995427898693,1323.0,1323.0
nl34_z3_sigma0,Case Study 1,Split,,legacy,0.0,0.0,0.0
