scenario,case_study,design,metric,min,median,max
nl34_z1_sigma0,Case Study 1,Country-wide,redispatch_volume_mwh,14131229.854311598,21262332.239093475,30625174.49014393
nl34_z1_sigma0,Case Study 1,Country-wide,upward_redispatch_mwh,5206568.102984271,9481271.729595602,12385199.548168452
nl34_z1_sigma0,Case Study 1,Country-wide,downward_redispatch_mwh,8215513.294514772,11781060.509497872,18239974.94197548
nl34_z1_sigma0,Case Study 1,Country-wide,grid_related_load_shedding_mwh,2299781.1751178536,3378822.7363963923,5855627.337925776
nl34_z1_sigma0,Case Study 1,Country-wide,redispatch_cost_excluding_load_shedding,-253367540.50750256,-152081171.4855709,-109036812.4964698
nl34_z1_sigma0,Case Study 1,Country-wide,grid_related_load_shedding_cost,158684901083.1319,233138768811.35107,404038286316.87854
nl34_z1_sigma0,Case Study 1,Country-wide,congestion_cost_including_load_shedding,158575104547.00714,232986687639.8655,403786018591.1682
nl34_z3_sigma0,Case Study 1,Split,redispatch_volume_mwh,0.0,153668.25972576934,2372082.035269148
nl34_z3_sigma0,Case Study 1,Split,upward_redispatch_mwh,0.0,75880.03218189866,1140541.2032552992
nl34_z3_sigma0,Case Study 1,Split,downward_redispatch_mwh,0.0,77826.00859222235,1231540.8320138487
nl34_z3_sigma0,Case Study 1,Split,grid_related_load_shedding_mwh,0.0,0.0,90999.62875854866
nl34_z3_sigma0,Case Study 1,Split,redispatch_cost_excluding_load_shedding,-4359172.714981146,0.0,740989.6942561409
nl34_z3_sigma0,Case Study 1,Split,grid_related_load_shedding_cost,0.0,0.0,6278974384.339857
nl34_z3_sigma0,Case Study 1,Split,congestion_cost_including_load_shedding,-4.6566128730773926e-09,81721.32594262506,6274615211.624876
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,redispatch_volume_mwh,71556.74799172691,174525.78550237342,373135.62964980747
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,upward_redispatch_mwh,15368.959187898952,59322.27187811189,130540.91818907773
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,downward_redispatch_mwh,56187.78880382796,111805.40217274363,242594.7114607297
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,grid_related_load_shedding_mwh,34498.08006596782,44033.771899867,112097.28223889395
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,redispatch_cost_excluding_load_shedding,-7929888.46901481,-3096679.3911682484,-2622646.8763118
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,grid_related_load_shedding_cost,2380367524.55178,3038330261.090823,7734712474.483683
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,congestion_cost_including_load_shedding,2377744877.675468,3035235353.2875495,7728772965.635486
cs2_nl34_z3_sigma0,Case Study 2,Split,redispatch_volume_mwh,45278.63116041866,128267.64426772273,204911.06117397817
cs2_nl34_z3_sigma0,Case Study 2,Split,upward_redispatch_mwh,22639.31558020933,64133.822133861366,102455.53058698909
cs2_nl34_z3_sigma0,Case Study 2,Split,downward_redispatch_mwh,22639.31558020933,64133.822133861366,102455.53058698909
cs2_nl34_z3_sigma0,Case Study 2,Split,grid_related_load_shedding_mwh,0.0,0.0,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,redispatch_cost_excluding_load_shedding,12967.753331577873,15238.687413925072,118245.65340816697
cs2_nl34_z3_sigma0,Case Study 2,Split,grid_related_load_shedding_cost,0.0,0.0,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,congestion_cost_including_load_shedding,12967.753331577873,15238.687413925072,118245.65340816697
