run_id,weight_type,capacity_market_cost_countrywide,redispatch_cost_countrywide,grid_shedding_countrywide_mwh,capacity_market_cost_split,redispatch_cost_split,grid_shedding_split_mwh,delta_capacity_market_cost,delta_redispatch_cost,delta_cost_excluding_grid_shedding,avoided_grid_shedding_mwh,break_even_voll_eur_per_mwh,case_study,scenario,sigma,design_order,design_label
1,ptdf_pos,901947890.1234603,-252267725.71030527,5855627.337925776,930706141.4849045,-67913.62044354761,2770.332988347079,28758251.361444235,252199812.08986172,280958063.451306,5852857.004937429,48.003575555372656,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
2,ptdf_neg,901947890.1234603,-109661440.52359007,2299781.1788153555,930706141.4849045,0.0,0.0,28758251.361444235,109661440.52359007,138419691.88503432,2299781.1788153555,60.18820101673149,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
3,ptdf_pos,901947890.1234603,-109608163.78038605,2299788.779902276,930706141.4849045,0.0,0.0,28758251.361444235,109608163.78038605,138366415.14183027,2299788.779902276,60.164836158436174,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
4,ptdf_neg,901947890.1234603,-252592024.5127467,5854613.642795684,930706141.4849045,-123321.4119759216,2564.8301850393746,28758251.361444235,252468703.10077077,281226954.462215,5852048.812610645,48.0561532323852,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
5,ptdf_pos,901947890.1234602,-192244099.4379873,4437112.747945716,930706141.4849045,115624.45920582884,0.0,28758251.361444354,192359723.89719313,221117975.2586375,4437112.747945716,49.83375177045257,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
6,ptdf_neg,901947890.1234603,-114037592.38612144,2413196.355366999,930706141.4849045,-272610.9855603194,5669.744396658094,28758251.361444235,113764981.40056112,142523232.76200536,2407526.6109703407,59.19902696509018,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
7,ptdf_pos,901947890.1234603,-252592024.5127467,5854613.642795684,930706141.4849045,-853966.1958831996,17760.72979631624,28758251.361444235,251738058.31686348,280496309.6783077,5836852.912999367,48.05608670617843,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
8,ptdf_neg,901947890.1234603,-109608163.78038605,2299788.779902276,930706141.4849045,-287309.437421849,6511.111764052045,28758251.361444235,109320854.3429642,138079105.70440844,2293277.668138224,60.21037383428002,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
9,ptdf_pos,901947890.1234603,-109608163.78038605,2299788.779902276,930706141.4849045,-2246541.6796130314,47097.54166028614,28758251.361444235,107361622.100773,136119873.46221724,2252691.23824199,60.42544630681201,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
10,ptdf_neg,901947890.1234603,-252592024.5127467,5854613.642795684,930706141.4849045,38192.17671542615,0.0,28758251.361444235,252630216.68946213,281388468.05090636,5854613.642795684,48.062687859371415,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
11,ptdf_pos,901947890.1234603,-252592024.5127467,5854613.642795684,930706141.4849045,0.0,0.0,28758251.361444235,252592024.5127467,281350275.8741909,5854613.642795684,48.05616442690505,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
12,ptdf_neg,901947890.1234603,-109608163.78038605,2299788.779902276,930706141.4849045,13624.001881326083,0.0,28758251.361444235,109621787.78226738,138380039.14371163,2299788.779902276,60.17076018154665,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
13,ptdf_pos,901947890.1234603,-252592024.5127467,5854613.642795684,930706141.4849045,0.0,0.0,28758251.361444235,252592024.5127467,281350275.8741909,5854613.642795684,48.05616442690505,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
14,ptdf_neg,901947890.1234603,-109608163.78038605,2299788.779902276,930706141.4849045,10797.55967607908,0.0,28758251.361444235,109618961.34006213,138377212.70150638,2299788.779902276,60.16953118076625,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
15,ptdf_pos,901947890.1234603,-252592024.5127467,5854613.642795684,930706141.4849045,0.0,0.0,28758251.361444235,252592024.5127467,281350275.8741909,5854613.642795684,48.05616442690505,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
16,ptdf_neg,901947890.1234603,-109608163.78038605,2299788.779902276,930706141.4849045,-392498.8722313028,8698.834343803243,28758251.361444235,109215664.90815474,137973916.26959896,2291089.945558473,60.22195529122565,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
17,ptdf_pos,901947890.1234603,-109661440.52359007,2299781.1788153555,930706141.4849045,0.0,0.0,28758251.361444235,109661440.52359007,138419691.88503432,2299781.1788153555,60.18820101673149,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
18,ptdf_neg,901947890.0922732,-248355248.0842179,5854501.114315013,930706141.4849045,-46292.35534730367,962.7851982200004,28758251.392631292,248308955.7288706,277067207.1215019,5853538.329116793,47.33328655990999,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
19,ptdf_pos,901947890.1234603,-252267725.71030527,5855627.337925776,930706141.4849045,-25373.0797177013,527.7075525437729,28758251.361444235,252242352.63058758,281000603.9920318,5855099.630373232,47.992454737122806,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
20,ptdf_neg,901947890.1234603,-109661440.52359007,2299781.1788153555,930706141.4849045,10797.559676081872,0.0,28758251.361444235,109672238.08326615,138430489.44471037,2299781.1788153555,60.19289605457922,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
21,ptdf_pos,901947890.1234603,-109661440.52359007,2299781.1788153555,930706141.4849045,10797.559676081872,0.0,28758251.361444235,109672238.08326615,138430489.44471037,2299781.1788153555,60.19289605457922,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
22,ptdf_neg,901947890.1243336,-250116647.5809728,5855241.238815832,930706141.4849045,-27966.005616116337,581.6350457930439,28758251.360570908,250088681.57535666,278846932.93592757,5854659.603770039,47.62820587491839,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
23,ptdf_pos,901947890.1234603,-252267725.71030527,5855627.337925776,930706141.4849045,-12241.23437995743,2735.8648097147857,28758251.361444235,252255484.47592533,281013735.83736956,5852891.473116061,48.01280480394056,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
24,ptdf_neg,901947890.1234603,-109661440.52359007,2299781.1788153555,930705870.4653193,120508.17041243352,0.0,28757980.341858983,109781948.69400251,138539929.0358615,2299781.1788153555,60.24048301292084,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
25,ptdf_pos,901947890.1257234,-186705030.01553205,4302009.385086898,930706141.4849045,-159130.102385371,3309.576845980242,28758251.359181166,186545899.91314667,215304151.27232784,4298699.8082409175,50.08587732959958,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
26,ptdf_neg,901947890.1234603,-125814224.7175362,2714973.980226984,930706141.4849045,66530.37936944072,0.0,28758251.361444235,125880755.09690563,154639006.45834988,2714973.980226984,56.95782264750154,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
27,ptdf_pos,901947890.1234597,-109160366.73111564,2299788.763128476,930706141.4849045,95534.15071122767,0.0,28758251.36144483,109255900.88182686,138014152.2432717,2299788.763128476,60.011664747646925,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
28,ptdf_neg,901947890.1234603,-252267725.71030527,5855627.337925776,930706141.4849045,72779.64035589248,2513.8592803539336,28758251.361444235,252340505.35066116,281098756.7121054,5853113.478645422,48.0255094553813,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
29,ptdf_pos,901947890.123461,-109683474.6151952,2299788.779790829,930706141.4849045,-4.540197551250458e-09,0.0,28758251.36144352,109683474.6151952,138441725.97663873,2299788.779790829,60.19758300987551,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
30,ptdf_neg,901947890.1234603,-252267725.71030527,5855627.337925776,930706141.4849045,43452.64117409475,2690.4779916215057,28758251.361444235,252311178.35147938,281069429.71292365,5852936.859934154,48.021948030392,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
31,ptdf_pos,901947890.1296644,-247647105.5194254,5854775.393807115,930706141.4849045,-107014.1523090182,2225.6729279272195,28758251.355240107,247540091.36711636,276298342.72235644,5852549.720879188,47.20990950946591,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
32,ptdf_neg,901947890.1282276,-109796722.81763738,2299781.1778235477,930706141.4849045,0.0,0.0,28758251.356676936,109796722.81763738,138554974.17431432,2299781.1778235477,60.24702502585011,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
33,ptdf_pos,901947890.1234603,-109608163.78038605,2299788.779902276,930706141.4849045,177265.50241109682,0.0,28758251.361444235,109785429.28279714,138543680.6442414,2299788.779902276,60.241915194546024,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
34,ptdf_neg,901947890.1234603,-252592024.5127467,5854613.642795684,930706141.4849045,0.0,0.0,28758251.361444235,252592024.5127467,281350275.8741909,5854613.642795684,48.05616442690505,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
35,ptdf_pos,901947890.1234603,-252592024.5127467,5854613.642795684,930706141.4849045,0.0,0.0,28758251.361444235,252592024.5127467,281350275.8741909,5854613.642795684,48.05616442690505,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
36,ptdf_neg,901947890.1234603,-109608163.78038605,2299788.779902276,930706141.4849045,740989.6942561409,0.0,28758251.361444235,110349153.47464219,139107404.83608642,2299788.779902276,60.48703517981223,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
37,ptdf_pos,901947890.1234603,-252592024.5127467,5854613.642795684,930706141.4849045,0.0,0.0,28758251.361444235,252592024.5127467,281350275.8741909,5854613.642795684,48.05616442690505,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
38,ptdf_neg,901947890.1234603,-109608163.78038605,2299788.779902276,930706141.4849045,740989.6942561409,0.0,28758251.361444235,110349153.47464219,139107404.83608642,2299788.779902276,60.48703517981223,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
39,ptdf_pos,901947890.1257073,-251974771.07013503,5855425.584781472,930706141.4849045,-66370.69850037713,1380.3731884925048,28758251.35919726,251908400.37163466,280666651.7308319,5854045.211592979,47.9440526313356,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
40,ptdf_neg,901947890.1234603,-109608163.78038605,2299788.779902276,930706141.4849045,10797.559676080942,0.0,28758251.361444235,109618961.34006213,138377212.70150638,2299788.779902276,60.16953118076625,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
41,ptdf_pos,901947890.1234603,-109608163.78038605,2299788.779902276,930706141.4849045,10797.559676081872,0.0,28758251.361444235,109618961.34006213,138377212.70150638,2299788.779902276,60.16953118076625,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
42,ptdf_neg,901947890.1234603,-252592024.5127467,5854613.642795684,930706141.4849045,-25373.0797177013,527.7075525437729,28758251.361444235,252566651.433029,281324902.79447323,5854085.93524314,48.056162124444256,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
43,ptdf_pos,901947890.1234603,-171817802.7505712,3997380.687965678,930706141.4849045,-106409.54344852734,2213.098314721893,28758251.361444235,171711393.20712265,200469644.5685669,3995167.589650956,50.1780313516413,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
44,ptdf_neg,901947890.1234603,-165875217.78274786,3856826.974432274,930706141.4849045,11273.619771898258,0.0,28758251.361444235,165886491.40251976,194644742.763964,3856826.974432274,50.46758489667942,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
45,ptdf_pos,901947890.1234603,-169037432.30841464,3934875.046426088,930706141.4849045,58594.6643439671,0.0,28758251.361444235,169096026.9727586,197854278.33420283,3934875.046426088,50.28222650015458,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
46,ptdf_neg,901947890.1234603,-145612653.67235613,3228816.8596255034,930706141.4849045,62280.72450896818,0.0,28758251.361444235,145674934.3968651,174433185.75830933,3228816.8596255034,54.023871077822946,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
47,ptdf_pos,901947890.1234603,-154031030.77127206,3450151.04879607,930706141.4849045,115624.45920582884,0.0,28758251.361444235,154146655.2304779,182904906.59192213,3450151.04879607,53.01359389924299,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
48,ptdf_neg,901947890.1234603,-141041645.42499804,3075652.263613895,930706141.4849045,-274561.1330155125,5710.303428364088,28758251.361444235,140767084.29198253,169525335.65342677,3069941.960185531,55.2210230199862,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
49,ptdf_pos,901947890.1249557,-250304399.098222,5855418.143189471,930706141.4849045,-46292.35534730367,962.7851982200004,28758251.359948874,250258106.74287468,279016358.10282356,5854455.357991251,47.65880701814048,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
50,ptdf_neg,901947890.1259867,-109036812.4964698,2299781.1788090263,930706141.4849045,0.0,0.0,28758251.358917832,109036812.4964698,137795063.85538763,2299781.1788090263,59.91659777246578,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
51,ptdf_pos,901947890.1259087,-109632677.65752344,2299796.734717948,930706141.4849045,-5.820766091346741e-10,0.0,28758251.358995795,109632677.65752344,138390929.01651925,2299796.734717948,60.17528720141079,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
52,ptdf_neg,901947890.1257279,-251420902.92368007,5855040.252480352,930706141.4849045,-75564.92100988934,1571.5939935403385,28758251.359176636,251345338.00267017,280103589.3618468,5853468.658486812,47.852582067853206,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
53,ptdf_pos,901947890.1234603,-152081171.4855709,3378822.7363963923,930706141.4849045,29297.33217198029,0.0,28758251.361444235,152110468.81774288,180868720.17918712,3378822.7363963923,53.530100360366525,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
54,ptdf_neg,901947890.1257403,-150999665.446849,3378919.5318531957,930706141.4849045,-4.6566128730773926e-09,0.0,28758251.359164238,150999665.446849,179757916.80601323,3378919.5318531957,53.19982175113343,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
55,ptdf_pos,901947890.1234603,-252592024.5127467,5854613.642795684,930706141.4849045,-2199582.0715957023,45746.755580001,28758251.361444235,250392442.441151,279150693.80259526,5808866.887215683,48.05596327520569,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
56,ptdf_neg,901947890.1234603,-109608163.78038605,2299788.779902276,930706141.4849045,10797.559676081872,0.0,28758251.361444235,109618961.34006213,138377212.70150638,2299788.779902276,60.16953118076625,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
57,ptdf_pos,901947890.1234603,-152081171.4855709,3378822.7363963923,930706141.4849045,51946.809289139695,0.0,28758251.361444235,152133118.29486004,180891369.65630427,3378822.7363963923,53.53680372389997,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
58,ptdf_neg,901947890.1234603,-152081171.4855709,3378822.7363963923,930706141.4849045,51946.809289139695,0.0,28758251.361444235,152133118.29486004,180891369.65630427,3378822.7363963923,53.53680372389997,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
59,ptdf_pos,901947890.1234603,-152081171.4855709,3378822.7363963923,930706141.4849045,51946.809289139695,0.0,28758251.361444235,152133118.29486004,180891369.65630427,3378822.7363963923,53.53680372389997,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
60,ptdf_neg,901947890.1234603,-152081171.4855709,3378822.7363963923,930706141.4849045,51946.809289139695,0.0,28758251.361444235,152133118.29486004,180891369.65630427,3378822.7363963923,53.53680372389997,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
61,ptdf_pos,901947890.1234579,-253367540.50750256,5855522.236560863,930706141.4849045,18647.163935297634,733.1885480903419,28758251.36144662,253386187.67143786,282144439.0328845,5854789.0480127735,48.190368042149984,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
62,ptdf_neg,901947890.1256919,-109129356.2869491,2299781.177990528,930706141.4849045,17684.926181424875,0.0,28758251.359212637,109147041.21313052,137905292.57234317,2299781.177990528,59.96452788297025,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
63,ptdf_pos,901947890.1234603,-152081171.4855709,3378822.7363963923,930706141.4849045,51946.809289139695,0.0,28758251.361444235,152133118.29486004,180891369.65630427,3378822.7363963923,53.53680372389997,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
64,ptdf_neg,901947890.1234603,-152081171.4855709,3378822.7363963923,930706141.4849045,51946.809289139695,0.0,28758251.361444235,152133118.29486004,180891369.65630427,3378822.7363963923,53.53680372389997,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
65,ptdf_pos,901947890.1234602,-142034217.85123032,3105585.5946071623,930706141.4849045,-165805.04733805405,3448.401890886173,28758251.361444354,141868412.80389225,170626664.1653366,3102137.1927162763,55.002939446380005,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
66,ptdf_neg,901947890.1234603,-230536866.4360021,5340915.173909581,930706141.4849045,173166.14445612952,0.0,28758251.361444235,230710032.58045822,259468283.94190246,5340915.173909581,48.58124038543195,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
67,ptdf_pos,901947890.1397864,-109631252.33137745,2299783.8937742976,930706141.4849045,40170.27330678934,0.0,28758251.345118165,109671422.60468423,138429673.9498024,2299783.8937742976,60.192470398867826,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
68,ptdf_neg,901947890.1234603,-252267725.71030527,5855627.337925776,930706141.4849045,-93985.36767227856,1954.7011674253467,28758251.361444235,252173740.342633,280931991.70407724,5853672.636758351,47.99243297958867,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
69,ptdf_pos,901947890.125683,-116441944.54533142,2492681.88187474,930706141.4849045,-222531.67994227307,4628.19846690464,28758251.359221578,116219412.86538914,144977664.22461072,2488053.6834078357,58.26950808635198,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
70,ptdf_neg,901947890.1234603,-235500966.61628437,5449130.334577864,930706141.4849045,115624.45920582872,0.0,28758251.361444235,235616591.0754902,264374842.43693444,5449130.334577864,48.516887320408564,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
71,ptdf_pos,901947890.1234603,-252267725.71030527,5855627.337925776,930706141.4849045,84155.54592192825,2257.9147240498205,28758251.361444235,252351881.2562272,281110132.61767143,5853369.423201726,48.02535297078643,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
72,ptdf_neg,901947890.0783653,-109683422.19345576,2299781.1751178536,930706141.4849045,67908.50117402244,0.0,28758251.4065392,109751330.69462977,138509582.101169,2299781.1751178536,60.22728753489818,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
73,ptdf_pos,901947890.1234603,-252592024.5127467,5854613.642795684,930706141.4849045,-25373.0797177013,527.7075525437729,28758251.361444235,252566651.433029,281324902.79447323,5854085.93524314,48.056162124444256,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
74,ptdf_neg,901947890.1234603,-109608163.78038605,2299788.779902276,930706141.4849045,10797.559676081872,0.0,28758251.361444235,109618961.34006213,138377212.70150638,2299788.779902276,60.16953118076625,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
75,ptdf_pos,901947890.1234603,-109608163.78038605,2299788.779902276,930706141.4849045,115260.6077251099,0.0,28758251.361444235,109723424.38811116,138481675.7495554,2299788.779902276,60.21495406871228,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
76,ptdf_neg,901947890.1234603,-252592024.5127467,5854613.642795684,930706141.4849045,-325293.6771214232,6765.435366944945,28758251.361444235,252266730.83562526,281024982.1970695,5847848.2074287385,48.05613487711139,Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$
