case_study,scenario,sigma,design_order,design_label,break_even_voll_min,break_even_voll_max,avoided_grid_shedding_min_mwh,avoided_grid_shedding_max_mwh,delta_cost_excluding_grid_shedding_min,delta_cost_excluding_grid_shedding_max,matched_runs
Case Study 1,nl34_z3_sigma0,0.0,1,$\sigma=0$,47.20990950946591,60.67000209479442,2208789.1511437274,5855099.630373232,134007242.42684913,282144439.0328845,80
Case Study 1,nl34_z3_sigma25,0.25,2,$\sigma=0.25$,44.978604742238154,55.10125773960793,2135494.1779022207,5854613.642795684,117668415.09802242,268527949.813396,80
Case Study 1,nl34_z3_sigma50,0.5,3,$\sigma=0.5$,42.68708669351809,49.791741029361624,2037501.6815754366,5834226.098043964,100262726.45811383,254725355.81121063,80
Case Study 1,nl34_z3_sigma75,0.75,4,$\sigma=0.75$,39.465222634222535,43.44057451414129,1531627.3272861294,5567234.371732365,63113959.801951155,229592504.7798044,80
Case Study 1,nl34_z3_sigma100,1.0,5,$\sigma=1$,23.767222952855946,37.61764347233541,958558.1608377476,4797856.418559774,22782265.521910295,179071455.6128348,80
Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$,1356.954602579306,4784.184193569372,34498.08006596782,112097.28223889395,150118937.1199606,170165845.302831,80
Case Study 2,cs2_nl34_z3_sigma25,0.25,2,$\sigma=0.25$,204.48199470827078,1043.565062126479,34498.08006596782,112097.28223889395,20980397.16085175,41065308.78154394,80
Case Study 2,cs2_nl34_z3_sigma50,0.5,3,$\sigma=0.5$,615.0529461345177,38335.3725494672,-47306.778248859526,58072.69572997519,29473908.775421225,49740833.31120368,80
Case Study 2,cs2_nl34_z3_sigma75,0.75,4,$\sigma=0.75$,185.98262976605835,62346.647532769966,-23925.86902935212,57923.968174298214,7383743.856866276,24800796.71834882,80
Case Study 2,cs2_nl34_z3_sigma100,1.0,5,$\sigma=1$,186.1379382517872,1354920.7569800946,-23925.869029351597,57923.96817428748,4478411.753661058,25059237.680120286,80
