run_id,weight_type,rd_cost_econ,curtailment,capacity_market_cost,cm_plus_redispatch_cost,grid_load_shedding_cost,total_cost,scenario,case_study,design,sigma,design_order,design_label
1,ptdf_pos,-252267725.71030527,5855627.337925776,901947890.1234603,649680164.4131551,404038286316.87854,404687966481.2917,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
2,ptdf_neg,-109661440.52359007,2299781.1788153555,901947890.1234603,792286449.5998702,158684901338.25952,159477187787.8594,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
3,ptdf_pos,-109608163.78038605,2299788.779902276,901947890.1234603,792339726.3430742,158685425813.25705,159477765539.60013,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
4,ptdf_neg,-252592024.5127467,5854613.642795684,901947890.1234603,649355865.6107136,403968341352.90216,404617697218.5129,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
5,ptdf_pos,-192244099.4379873,4437112.747945716,901947890.1234602,709703790.6854728,306160779608.2544,306870483398.9399,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
6,ptdf_neg,-114037592.38612144,2413196.355366999,901947890.1234603,787910297.7373389,166510548520.3229,167298458818.06024,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
7,ptdf_pos,-252592024.5127467,5854613.642795684,901947890.1234603,649355865.6107136,403968341352.90216,404617697218.5129,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
8,ptdf_neg,-109608163.78038605,2299788.779902276,901947890.1234603,792339726.3430742,158685425813.25705,159477765539.60013,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
9,ptdf_pos,-109608163.78038605,2299788.779902276,901947890.1234603,792339726.3430742,158685425813.25705,159477765539.60013,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
10,ptdf_neg,-252592024.5127467,5854613.642795684,901947890.1234603,649355865.6107136,403968341352.90216,404617697218.5129,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
11,ptdf_pos,-252592024.5127467,5854613.642795684,901947890.1234603,649355865.6107136,403968341352.90216,404617697218.5129,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
12,ptdf_neg,-109608163.78038605,2299788.779902276,901947890.1234603,792339726.3430742,158685425813.25705,159477765539.60013,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
13,ptdf_pos,-252592024.5127467,5854613.642795684,901947890.1234603,649355865.6107136,403968341352.90216,404617697218.5129,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
14,ptdf_neg,-109608163.78038605,2299788.779902276,901947890.1234603,792339726.3430742,158685425813.25705,159477765539.60013,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
15,ptdf_pos,-252592024.5127467,5854613.642795684,901947890.1234603,649355865.6107136,403968341352.90216,404617697218.5129,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
16,ptdf_neg,-109608163.78038605,2299788.779902276,901947890.1234603,792339726.3430742,158685425813.25705,159477765539.60013,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
17,ptdf_pos,-109661440.52359007,2299781.1788153555,901947890.1234603,792286449.5998702,158684901338.25952,159477187787.8594,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
18,ptdf_neg,-248355248.0842179,5854501.114315013,901947890.0922732,653592642.0080553,403960576887.7359,404614169529.74396,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
19,ptdf_pos,-252267725.71030527,5855627.337925776,901947890.1234603,649680164.4131551,404038286316.87854,404687966481.2917,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
20,ptdf_neg,-109661440.52359007,2299781.1788153555,901947890.1234603,792286449.5998702,158684901338.25952,159477187787.8594,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
21,ptdf_pos,-109661440.52359007,2299781.1788153555,901947890.1234603,792286449.5998702,158684901338.25952,159477187787.8594,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
22,ptdf_neg,-250116647.5809728,5855241.238815832,901947890.1243336,651831242.5433608,404011645478.2924,404663476720.83575,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
23,ptdf_pos,-252267725.71030527,5855627.337925776,901947890.1234603,649680164.4131551,404038286316.87854,404687966481.2917,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
24,ptdf_neg,-109661440.52359007,2299781.1788153555,901947890.1234603,792286449.5998702,158684901338.25952,159477187787.8594,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
25,ptdf_pos,-186705030.01553205,4302009.385086898,901947890.1257234,715242860.1101913,296838647570.996,297553890431.10614,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
26,ptdf_neg,-125814224.7175362,2714973.980226984,901947890.1234603,776133665.4059241,187333204635.6619,188109338301.0678,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
27,ptdf_pos,-109160366.73111564,2299788.763128476,901947890.1234597,792787523.392344,158685424655.86487,159478212179.2572,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
28,ptdf_neg,-252267725.71030527,5855627.337925776,901947890.1234603,649680164.4131551,404038286316.87854,404687966481.2917,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
29,ptdf_pos,-109683474.6151952,2299788.779790829,901947890.123461,792264415.5082659,158685425805.5672,159477690221.07547,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
30,ptdf_neg,-252267725.71030527,5855627.337925776,901947890.1234603,649680164.4131551,404038286316.87854,404687966481.2917,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
31,ptdf_pos,-247647105.5194254,5854775.393807115,901947890.1296644,654300784.610239,403979502172.6909,404633802957.30115,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
32,ptdf_neg,-109796722.81763738,2299781.1778235477,901947890.1282276,792151167.3105903,158684901269.8248,159477052437.13538,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
33,ptdf_pos,-109608163.78038605,2299788.779902276,901947890.1234603,792339726.3430742,158685425813.25705,159477765539.60013,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
34,ptdf_neg,-252592024.5127467,5854613.642795684,901947890.1234603,649355865.6107136,403968341352.90216,404617697218.5129,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
35,ptdf_pos,-252592024.5127467,5854613.642795684,901947890.1234603,649355865.6107136,403968341352.90216,404617697218.5129,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
36,ptdf_neg,-109608163.78038605,2299788.779902276,901947890.1234603,792339726.3430742,158685425813.25705,159477765539.60013,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
37,ptdf_pos,-252592024.5127467,5854613.642795684,901947890.1234603,649355865.6107136,403968341352.90216,404617697218.5129,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
38,ptdf_neg,-109608163.78038605,2299788.779902276,901947890.1234603,792339726.3430742,158685425813.25705,159477765539.60013,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
39,ptdf_pos,-251974771.07013503,5855425.584781472,901947890.1257073,649973119.0555723,404024365349.9216,404674338468.9771,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
