scenario,case_study,design,sigma,design_order,design_label,capacity_market_cost_min,capacity_market_cost_max,redispatch_cost_min,redispatch_cost_max,grid_load_shedding_mwh_min,grid_load_shedding_mwh_max,grid_load_shedding_cost_min,grid_load_shedding_cost_max,cm_plus_redispatch_cost_min,cm_plus_redispatch_cost_max,total_cost_min,total_cost_max,runs
nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide,901947890.0783653,901947890.1397864,-253367540.50750256,-109036812.4964698,2299781.1751178536,5855627.337925776,158684901083.1319,404038286316.87854,648580349.6159554,792911077.6295168,159477052437.13538,404687966481.2917,80
nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$,930705870.4653193,930706141.4849045,-4359172.714981146,740989.6942561409,0.0,90999.62875854866,0.0,6278974384.339857,926346968.7699233,931447131.1791607,930706141.4849045,7205321353.10978,80
nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$,917883815.4241096,917883815.4241096,-7875673.983012915,844748.9137240555,0.0,164294.6020000555,0.0,11336327538.00383,910008141.4410967,918728564.3378336,917883815.4241096,12246335679.444927,80
nl34_z3_sigma50,Case Study 1,Split,0.5,3,$\sigma=0.5$,905061489.3633145,905061489.3633146,-15081810.052380055,149823.5816154275,0.0,313670.440901795,0.0,21643260422.223854,889979679.3109344,905211312.94493,905149573.6756585,22533240101.53479,80
nl34_z3_sigma75,Case Study 1,Split,0.75,4,$\sigma=0.75$,892239163.3023846,892239163.3023847,-40780994.062297255,-2805516.165023163,64691.24999552604,848160.2900156676,4463696249.691297,58523060011.08106,851458169.2400875,889433647.1373615,5353129896.828658,59374518180.32115,80
nl34_z3_sigma100,Case Study 1,Split,1.0,5,$\sigma=1$,879416837.2388186,879416837.243892,-102808757.36835,-21805040.004428297,453499.71179596265,2203689.727303401,31291480113.92142,152054591183.93466,776608079.8732599,857611797.237175,32149091911.158596,152831199263.80792,80
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,0,Country-wide,76239924.39745602,91516369.77243406,-7929888.46901481,-2622646.8763118,34498.08006596782,112097.28223889395,2380367524.5517797,7734712474.483683,68499487.24047215,88565896.43380462,2453984802.073223,7820289335.407871,80
cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,1,$\sigma=0$,238649479.12754458,238649479.12821352,12967.753331577873,118245.65340816697,0.0,0.0,0.0,0.0,238662446.88112903,238767724.78162023,238662446.88112903,238767724.78162023,80
cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,2,$\sigma=0.25$,109505855.46146126,109505855.46202138,12967.75333149964,154845.2900143331,0.0,0.0,0.0,0.0,109518823.21484482,109660700.75203304,109518823.21484482,109660700.75203304,80
cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,3,$\sigma=0.5$,125259330.55816546,125259331.66001798,-8837506.282643788,-2251343.753032456,33112.962045978544,107257.40913065418,2284794381.1725197,7400761230.015139,116421824.29863676,123007986.805133,2407692026.4157605,7520889174.47447,80
cs2_nl34_z3_sigma75,Case Study 2,Split,0.75,4,$\sigma=0.75$,100320835.75301684,100320835.77816553,-7516612.678615575,-2074005.0381764844,33093.64737192348,112097.2822388938,2283461668.66272,7734712474.483672,92804223.09919749,98246830.7374894,2381416030.772063,7829673132.549947,80
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,5,$\sigma=1$,100320835.77468526,100320835.77783626,-9231887.659048308,-2073099.449951265,33093.64719859672,112097.2822388938,2283461656.7031736,7734712474.483672,91088948.11876564,98247736.32786147,2381416030.748372,7829616539.851581,80
