case_study,metric,statistic,country_wide,split,split_minus_country_wide,percent_change
Case Study 1,procured_capacity_mw,min,16722.70760285112,16789.160775213135,66.45317236201663,0.39738285174995686
Case Study 1,procured_capacity_mw,median,16722.70760285112,16789.160775213135,66.45317236201663,0.39738285174995686
Case Study 1,procured_capacity_mw,max,16722.70760285112,16789.160775213135,66.45317236201663,0.39738285174995686
Case Study 1,capacity_market_cost,min,901947890.1234578,930705870.4653194,28757980.341861606,3.188430357980575
Case Study 1,capacity_market_cost,median,901947890.1234603,930706141.4849045,28758251.361444235,3.188460406233419
Case Study 1,capacity_market_cost,max,901947890.1259867,930706141.4849045,28758251.358917832,3.188460405944383
Case Study 1,redispatch_volume_mwh,min,14131229.854311598,0.0,-14131229.854311598,-100.0
Case Study 1,redispatch_volume_mwh,median,21262332.239093475,153668.25972576934,-21108663.979367707,-99.27727467524362
Case Study 1,redispatch_volume_mwh,max,30625174.49014393,2372082.035269148,-28253092.45487478,-92.25447013850467
Case Study 1,upward_redispatch_mwh,min,5206568.102984271,0.0,-5206568.102984271,-100.0
Case Study 1,upward_redispatch_mwh,median,9481271.729595602,75880.03218189866,-9405391.697413703,-99.19968508079945
Case Study 1,upward_redispatch_mwh,max,12385199.548168452,1140541.2032552992,-11244658.344913153,-90.79109546180896
Case Study 1,downward_redispatch_mwh,min,8215513.294514772,0.0,-8215513.294514772,-100.0
Case Study 1,downward_redispatch_mwh,median,11781060.509497872,77826.00859222235,-11703234.50090565,-99.3393972594447
Case Study 1,downward_redispatch_mwh,max,18239974.94197548,1231540.8320138487,-17008434.109961633,-93.24812212773541
Case Study 1,grid_related_load_shedding_mwh,min,2299781.1751178536,0.0,-2299781.1751178536,-100.0
Case Study 1,grid_related_load_shedding_mwh,median,3378822.7363963923,0.0,-3378822.7363963923,-100.0
Case Study 1,grid_related_load_shedding_mwh,max,5855627.337925776,90999.62875854866,-5764627.709167227,-98.44594569450891
Case Study 1,redispatch_cost_excluding_load_shedding,min,-253367540.50750256,-4359172.714981146,249008367.79252142,98.27950624367683
Case Study 1,redispatch_cost_excluding_load_shedding,median,-152081171.4855709,0.0,152081171.4855709,100.0
Case Study 1,redispatch_cost_excluding_load_shedding,max,-109036812.4964698,740989.6942561409,109777802.19072594,100.67957754568452
Case Study 1,grid_related_load_shedding_cost,min,158684901083.1319,0.0,-158684901083.1319,-100.0
Case Study 1,grid_related_load_shedding_cost,median,233138768811.35107,0.0,-233138768811.35107,-100.0
Case Study 1,grid_related_load_shedding_cost,max,404038286316.87854,6278974384.339857,-397759311932.5387,-98.44594569450892
Case Study 1,congestion_cost_including_load_shedding,min,158575104547.00714,-4.6566128730773926e-09,-158575104547.00714,-100.0
Case Study 1,congestion_cost_including_load_shedding,median,232986687639.8655,81721.32594262506,-232986605918.53958,-99.99996492446553
Case Study 1,congestion_cost_including_load_shedding,max,403786018591.1682,6274615211.624876,-397511403379.54333,-98.44605436475553
Case Study 2,procured_capacity_mw,min,16722.70760285112,16789.160775213077,66.45317236195842,0.3973828517496088
Case Study 2,procured_capacity_mw,median,16722.707602851122,17708.851456683893,986.1438538327711,5.897034602606096
Case Study 2,procured_capacity_mw,max,16722.707602851122,18648.351456683893,1925.6438538327711,11.515143956140573
Case Study 2,capacity_market_cost,min,76239924.39745602,238649479.12754458,162409554.73008856,213.02428617768655
Case Study 2,capacity_market_cost,median,91516369.77237931,238649479.12821132,147133109.355832,160.77244947738134
Case Study 2,capacity_market_cost,max,91516369.77243404,238649479.12821266,147133109.35577863,160.77244947722687
Case Study 2,redispatch_volume_mwh,min,71556.74799172691,45278.63116041866,-26278.116831308245,-36.723464339584595
Case Study 2,redispatch_volume_mwh,median,174525.78550237342,128267.64426772273,-46258.141234650684,-26.505046862557514
Case Study 2,redispatch_volume_mwh,max,373135.62964980747,204911.06117397817,-168224.5684758293,-45.08402712271412
Case Study 2,upward_redispatch_mwh,min,15368.959187898952,22639.31558020933,7270.356392310379,47.305457080235044
Case Study 2,upward_redispatch_mwh,median,59322.27187811189,64133.822133861366,4811.5502557494765,8.110866464513796
Case Study 2,upward_redispatch_mwh,max,130540.91818907773,102455.53058698909,-28085.38760208864,-21.51462391386682
Case Study 2,downward_redispatch_mwh,min,56187.78880382796,22639.31558020933,-33548.47322361863,-59.7077655800775
Case Study 2,downward_redispatch_mwh,median,111805.40217274363,64133.822133861366,-47671.58003888227,-42.63799343544049
Case Study 2,downward_redispatch_mwh,max,242594.7114607297,102455.53058698909,-140139.18087374064,-57.766791382187996
Case Study 2,grid_related_load_shedding_mwh,min,34498.08006596782,0.0,-34498.08006596782,-100.0
Case Study 2,grid_related_load_shedding_mwh,median,44033.771899867,0.0,-44033.771899867,-100.0
Case Study 2,grid_related_load_shedding_mwh,max,112097.28223889395,0.0,-112097.28223889395,-100.0
Case Study 2,redispatch_cost_excluding_load_shedding,min,-7929888.46901481,12967.753331577873,7942856.222346389,100.16353008471997
Case Study 2,redispatch_cost_excluding_load_shedding,median,-3096679.3911682484,15238.687413925072,3111918.078582173,100.49209767912642
Case Study 2,redispatch_cost_excluding_load_shedding,max,-2622646.8763118,118245.65340816697,2740892.529719967,104.50863798997044
Case Study 2,grid_related_load_shedding_cost,min,2380367524.55178,0.0,-2380367524.55178,-100.0
Case Study 2,grid_related_load_shedding_cost,median,3038330261.090823,0.0,-3038330261.090823,-100.0
Case Study 2,grid_related_load_shedding_cost,max,7734712474.483683,0.0,-7734712474.483683,-100.0
Case Study 2,congestion_cost_including_load_shedding,min,2377744877.675468,12967.753331577873,-2377731909.9221363,-99.99945461965018
Case Study 2,congestion_cost_including_load_shedding,median,3035235353.2875495,15238.687413925072,-3035220114.600136,-99.99949794050082
Case Study 2,congestion_cost_including_load_shedding,max,7728772965.635486,118245.65340816697,-7728654719.982078,-99.99847005916807
