scenario,case_study,sigma,required_procurement_min_mw,required_procurement_max_mw,accepted_capacity_min_mw,accepted_capacity_max_mw,total_new_capacity_min_mw,total_new_capacity_max_mw,total_new_fixed_cost_min,total_new_fixed_cost_max,capacity_market_expenditure_min,capacity_market_expenditure_max
cs2_nl34_z3_sigma0,Case Study 2,0.0,16789.160775213135,16789.160775213135,16789.160775213077,18648.351456683893,2400.1047541589955,2400.104758206672,129450892.1943573,129450892.43138455,238649479.12754458,238649479.12821266
cs2_nl34_z3_sigma100,Case Study 2,1.0,16789.16077521313,16789.160775213135,16789.16077488684,16789.160775218385,502.4607751118283,502.4607824061091,24390433.77851127,24390434.25580317,100320835.7746846,100320835.77781609
cs2_nl34_z3_sigma25,Case Study 2,0.25,16789.16077521313,16789.160775213135,16789.160775213048,17498.13292594066,1211.4329259406536,1211.4329260031502,65339261.89050403,65339261.89421155,109505855.46146126,109505855.46202253
cs2_nl34_z3_sigma50,Case Study 2,0.5,16789.16077521313,16789.160775213135,16789.160775149416,16789.160775213328,502.4607747693468,502.460775431451,24513196.91842251,24513198.020810448,125259330.55816546,125259331.66001798
cs2_nl34_z3_sigma75,Case Study 2,0.75,16789.16077521313,16789.160775213135,16789.160771078292,16789.160775220163,502.46077486474815,502.46078066961144,24390433.766517516,24390434.11696879,100320835.75301635,100320835.77781868
nl34_z3_sigma0,Case Study 1,0.0,16789.160775213135,16789.160775213135,16789.160775213135,16789.160775213135,14700.960775213134,14700.962667887983,815450255.2308941,815450357.3132917,930705870.4653194,930706141.4849045
nl34_z3_sigma100,Case Study 1,1.0,16789.160775213135,16789.160775213135,16789.160775213033,16789.16077521316,14700.960775213032,14700.960775281907,764160950.9878048,764160950.9907743,879416837.2416031,879416837.243892
nl34_z3_sigma25,Case Study 1,0.25,16789.160775213135,16789.160775213135,16789.160775213142,16789.160775213142,14700.960775213141,14700.960775213143,802627929.1701235,802627929.1701236,917883815.4241095,917883815.4241095
nl34_z3_sigma50,Case Study 1,0.5,16789.160775213135,16789.160775213135,16789.16077521315,16789.16077521315,14700.960775213149,14700.960775213149,789805603.1093528,789805603.109353,905061489.3633145,905061489.3633145
nl34_z3_sigma75,Case Study 1,0.75,16789.16077521313,16789.16077521313,16789.160775213153,16789.160775213153,14700.960775213154,14700.960775213154,776983277.0485822,776983277.0485823,892239163.3023847,892239163.3023847
