scenario,case_study,design,sigma,metric,min,max
nl34_z1_sigma0,Case Study 1,Country-wide,,redispatch_volume_mwh,14131229.854311598,30625174.49014393
nl34_z1_sigma0,Case Study 1,Country-wide,,upward_redispatch_mwh,5206568.102984271,12385199.548168452
nl34_z1_sigma0,Case Study 1,Country-wide,,downward_redispatch_mwh,8215513.294514772,18239974.94197548
nl34_z1_sigma0,Case Study 1,Country-wide,,grid_related_load_shedding_mwh,2299781.1751178536,5855627.337925776
nl34_z1_sigma0,Case Study 1,Country-wide,,redispatch_cost_excluding_load_shedding,-253367540.50750256,-109036812.4964698
nl34_z1_sigma0,Case Study 1,Country-wide,,grid_related_load_shedding_cost,158684901083.1319,404038286316.87854
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,redispatch_volume_mwh,71556.74799172691,373135.62964980747
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,upward_redispatch_mwh,15368.959187898952,130540.91818907773
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,downward_redispatch_mwh,56187.78880382796,242594.7114607297
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,grid_related_load_shedding_mwh,34498.08006596782,112097.28223889395
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,redispatch_cost_excluding_load_shedding,-7929888.46901481,-2622646.8763118
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,grid_related_load_shedding_cost,2380367524.55178,7734712474.483683
nl34_z3_sigma0,Case Study 1,Split,0.0,downward_redispatch_mwh,0.0,1231540.8320138487
nl34_z3_sigma25,Case Study 1,Split,0.25,downward_redispatch_mwh,0.0,1861623.6346973209
nl34_z3_sigma50,Case Study 1,Split,0.5,downward_redispatch_mwh,93680.14033408785,5500117.703002271
nl34_z3_sigma75,Case Study 1,Split,0.75,downward_redispatch_mwh,300923.08480932104,5605173.608614826
nl34_z3_sigma100,Case Study 1,Split,1.0,downward_redispatch_mwh,2865426.5938768703,11795889.822827542
nl34_z3_sigma0,Case Study 1,Split,0.0,grid_related_load_shedding_cost,0.0,6278974384.339857
nl34_z3_sigma25,Case Study 1,Split,0.25,grid_related_load_shedding_cost,0.0,11336327538.00383
nl34_z3_sigma50,Case Study 1,Split,0.5,grid_related_load_shedding_cost,0.0,21643260422.22385
nl34_z3_sigma75,Case Study 1,Split,0.75,grid_related_load_shedding_cost,4463696249.691297,58523060011.08106
nl34_z3_sigma100,Case Study 1,Split,1.0,grid_related_load_shedding_cost,31291480113.92142,152054591183.93466
nl34_z3_sigma0,Case Study 1,Split,0.0,grid_related_load_shedding_mwh,0.0,90999.62875854866
nl34_z3_sigma25,Case Study 1,Split,0.25,grid_related_load_shedding_mwh,0.0,164294.6020000555
nl34_z3_sigma50,Case Study 1,Split,0.5,grid_related_load_shedding_mwh,0.0,313670.440901795
nl34_z3_sigma75,Case Study 1,Split,0.75,grid_related_load_shedding_mwh,64691.24999552604,848160.2900156676
nl34_z3_sigma100,Case Study 1,Split,1.0,grid_related_load_shedding_mwh,453499.71179596265,2203689.727303401
nl34_z3_sigma0,Case Study 1,Split,0.0,redispatch_cost_excluding_load_shedding,-4359172.714981146,740989.6942561409
nl34_z3_sigma25,Case Study 1,Split,0.25,redispatch_cost_excluding_load_shedding,-7875673.983012915,844748.9137240555
nl34_z3_sigma50,Case Study 1,Split,0.5,redispatch_cost_excluding_load_shedding,-15081810.052380055,149823.5816154275
nl34_z3_sigma75,Case Study 1,Split,0.75,redispatch_cost_excluding_load_shedding,-40780994.062297255,-2805516.165023163
nl34_z3_sigma100,Case Study 1,Split,1.0,redispatch_cost_excluding_load_shedding,-102808757.36835,-21805040.004428297
nl34_z3_sigma0,Case Study 1,Split,0.0,redispatch_volume_mwh,0.0,2372082.035269148
nl34_z3_sigma25,Case Study 1,Split,0.25,redispatch_volume_mwh,0.0,3558952.667394586
nl34_z3_sigma50,Case Study 1,Split,0.5,redispatch_volume_mwh,187360.2806681757,10686564.96510275
nl34_z3_sigma75,Case Study 1,Split,0.75,redispatch_volume_mwh,466451.4194944808,10833907.1732326
nl34_z3_sigma100,Case Study 1,Split,1.0,redispatch_volume_mwh,5207388.80923371,22413731.976688195
nl34_z3_sigma0,Case Study 1,Split,0.0,upward_redispatch_mwh,0.0,1140541.2032552992
nl34_z3_sigma25,Case Study 1,Split,0.25,upward_redispatch_mwh,0.0,1697329.0326972655
