scenario,case_study,sigma,distance_min_mw,distance_max_mw
cs2_nl34_z3_sigma0,Case Study 2,0.0,2836.1123550603306,2836.112360069511
cs2_nl34_z3_sigma100,Case Study 2,1.0,66.45317226088082,66.45317691527765
cs2_nl34_z3_sigma25,Case Study 2,0.25,1647.4405268419569,1647.4405314314906
cs2_nl34_z3_sigma50,Case Study 2,0.5,66.45317191839935,66.45317674641669
cs2_nl34_z3_sigma75,Case Study 2,0.75,66.45317201380067,66.45317517877999
nl34_z3_sigma0,Case Study 1,0.0,15223.834333404347,15223.836427978385
nl34_z3_sigma100,Case Study 1,1.0,5714.459707657421,5714.45990956872
nl34_z3_sigma25,Case Study 1,0.25,12846.490676967622,12846.490878867644
nl34_z3_sigma50,Case Study 1,0.5,10469.147020530885,10469.147222430907
nl34_z3_sigma75,Case Study 1,0.75,8091.803364094152,8091.803565994175
