scenario,case_study,sigma,zone,bus,new_capacity_min_mw,new_capacity_max_mw,material_investment_runs,runs
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 0,0.0,0.0,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 10,0.0,0.0,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 16,0.0,3.205949069610407e-06,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 17,0.0,0.0,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 18,0.0,9.638893150309973e-07,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 20,0.0,0.0,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 21,0.0,0.0,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 23,0.0,9.638755553709193e-07,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 24,0.0,0.0,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 27,0.0,0.0,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 3,0.0,0.0,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 30,0.0,9.63844543733217e-07,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 33,0.0,3.436686919920465e-07,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 8,0.0,5.780344753958391e-07,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 12,0.0,0.0,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 14,0.0,0.0,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 15,0.0,0.0,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 19,0.0,0.0,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 2,0.0,0.0,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 25,0.0,0.0,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 26,0.0,0.0,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 28,0.0,0.0,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 31,0.0,0.0,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 4,0.0,0.0,0,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,NL0 1,0.0,1000.0,43,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,NL0 11,0.0,1000.0,42,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,NL0 13,0.0,1000.0,37,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,NL0 22,0.0,1000.0,41,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,NL0 5,0.0,1000.0,41,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,NL0 6,0.0,1000.0,14,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,NL0 7,0.0,1000.0,42,80
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,NL0 9,0.0,1000.0,14,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 0,0.0,0.0,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 10,0.0,0.0,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 16,0.0,0.0,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 17,0.0,0.0,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 18,0.0,4.230877551414384e-06,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 20,0.0,0.0,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 21,0.0,0.0,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 23,0.0,2.960594144951756e-06,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 24,0.0,0.0,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 27,0.0,0.0,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 3,0.0,9.502496567392886e-10,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 30,0.0,5.711656037021843e-09,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 33,0.0,3.2958859353256705e-07,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 8,0.0,4.2307947847319855e-06,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 12,0.0,502.4607752131778,14,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 14,0.0,502.4607752132147,13,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 15,0.0,502.4607794545074,38,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 19,0.0,502.4607752130796,13,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 2,0.0,502.4607752130614,1,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 25,0.0,502.460775213412,12,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 26,0.0,502.4607752130632,1,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 28,0.0,502.4607752130887,1,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 31,0.0,502.4607752131187,2,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 4,0.0,502.4607752139365,35,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,NL0 1,0.0,0.0,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,NL0 11,0.0,0.0,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,NL0 13,0.0,0.0,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,NL0 22,0.0,0.0,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,NL0 5,0.0,0.0,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,NL0 6,0.0,0.0,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,NL0 7,0.0,1.254306674347342e-06,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,NL0 9,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 0,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 10,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 16,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 17,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 18,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 20,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 21,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 23,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 24,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 27,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 3,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 30,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 33,0.0,6.243316310297019e-08,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 8,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 12,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 14,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 15,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 19,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 2,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 25,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 26,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 28,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 31,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 4,0.0,0.0,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,NL0 1,0.0,1000.0,40,80
