scenario,case_study,sigma,zone,new_capacity_min_mw,new_capacity_max_mw
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,0.0,3.469643889530973e-06
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,0.0,0.0
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,2400.1047541241683,2400.104754737028
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,0.0,1.1422266481098125e-05
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,502.4607709838426,502.4607794545074
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,0.0,1.254306674347342e-06
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,0.0,6.243316310297019e-08
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,0.0,0.0
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,1211.4329259406536,1211.432925940717
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,0.0,2.883388612318076e-07
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,479.6994774862833,479.69967762733006
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,22.761097327560616,22.76129772651125
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,0.0,6.366101558796803e-06
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,502.4607710783856,502.4607752723706
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,0.0,4.8262168878206525e-06
nl34_z3_sigma0,Case Study 1,0.0,1,6601.546702524866,6601.546702524867
nl34_z3_sigma0,Case Study 1,0.0,2,2421.309318529239,2421.309318529239
nl34_z3_sigma0,Case Study 1,0.0,3,5678.104754159029,5678.106646833878
nl34_z3_sigma100,Case Study 1,1.0,1,1846.859389651389,1846.8593896513978
nl34_z3_sigma100,Case Study 1,1.0,2,7175.996631396648,7175.996631540891
nl34_z3_sigma100,Case Study 1,1.0,3,5678.104754089617,5678.104754165097
nl34_z3_sigma25,Case Study 1,0.25,1,5412.874874306495,5412.874874306497
nl34_z3_sigma25,Case Study 1,0.25,2,3609.981146747605,3609.9811467476056
nl34_z3_sigma25,Case Study 1,0.25,3,5678.104754159041,5678.104754159041
nl34_z3_sigma50,Case Study 1,0.5,1,4224.203046088128,4224.203046088128
nl34_z3_sigma50,Case Study 1,0.5,2,4798.652974965977,4798.6529749659785
nl34_z3_sigma50,Case Study 1,0.5,3,5678.104754159043,5678.104754159043
nl34_z3_sigma75,Case Study 1,0.75,1,3035.531217869757,3035.531217869757
nl34_z3_sigma75,Case Study 1,0.75,2,5987.324803184347,5987.324803184348
nl34_z3_sigma75,Case Study 1,0.75,3,5678.10475415905,5678.104754159051
