scenario,case_study,sigma,zone,bus,change_min_mw,change_max_mw,change_class
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 0,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 10,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 16,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 17,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 18,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 20,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 21,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 23,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 24,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 27,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 3,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 30,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 33,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,NL0 8,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 12,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 14,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 15,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 19,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 2,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 25,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 26,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 28,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 31,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,NL0 4,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,NL0 1,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,NL0 11,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,NL0 13,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,NL0 22,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,NL0 5,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,NL0 6,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,NL0 7,0.0,0.0,No material change
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,NL0 9,0.0,0.0,No material change
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 0,0.0,0.0,No material change
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 10,0.0,0.0,No material change
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 16,-3.205949069610407e-06,0.0,No material change
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 17,0.0,0.0,No material change
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 18,0.0,3.2669882363833865e-06,No material change
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 20,0.0,0.0,No material change
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 21,0.0,0.0,No material change
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 23,0.0,1.9967185895808366e-06,No material change
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 24,0.0,0.0,No material change
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 27,0.0,0.0,No material change
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 3,0.0,9.502496567392886e-10,No material change
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 30,-9.63844543733217e-07,5.711656037021843e-09,No material change
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 33,-1.4080098459479444e-08,2.749004579527538e-09,No material change
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,NL0 8,0.0,3.6527603093361466e-06,No material change
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 12,0.0,502.4607752131778,Gains in some paired runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 14,0.0,502.4607752132147,Gains in some paired runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 15,0.0,502.4607794545074,Gains in some paired runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 19,0.0,502.4607752130796,Gains in some paired runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 2,0.0,502.4607752130614,Gains in some paired runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 25,0.0,502.460775213412,Gains in some paired runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 26,0.0,502.4607752130632,Gains in some paired runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 28,0.0,502.4607752130887,Gains in some paired runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 31,0.0,502.4607752131187,Gains in some paired runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,NL0 4,0.0,502.4607752139365,Gains in some paired runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,NL0 1,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,NL0 11,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,NL0 13,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,NL0 22,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,NL0 5,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,NL0 6,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,NL0 7,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,NL0 9,-1000.0,0.0,Loses in some paired runs
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 0,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 10,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 16,-3.205949069610407e-06,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 17,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 18,-9.638893150309973e-07,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 20,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 21,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 23,-9.638755553709193e-07,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 24,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 27,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 3,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 30,-9.63844543733217e-07,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 33,-2.812355288890763e-07,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,NL0 8,-5.780344753958391e-07,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 12,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 14,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 15,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 19,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 2,0.0,0.0,No material change
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,NL0 25,0.0,0.0,No material change
