scenario,case_study,sigma,zone,base_requirement_min_mw,base_requirement_max_mw,net_import_min_mw,net_import_max_mw,effective_requirement_min_mw,effective_requirement_max_mw,accepted_capacity_min_mw,accepted_capacity_max_mw,price_min_per_mw,price_max_per_mw,zonal_expenditure_min,zonal_expenditure_max,requirement_binding_runs,runs,role
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,7227.746702524866,7227.746702524866,0.0,0.0,7227.746702524866,7227.746702524866,7227.746702524866,7227.746702524866,0.0,0.0,0.0,0.0,80,80,No material transfer
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,2560.309318529239,2560.309318529239,0.0,0.0,2560.309318529239,2560.309318529239,2560.309318529181,4419.5,0.0,0.0,0.0,0.0,36,80,No material transfer
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,7001.104754159029,7001.104754159029,0.0,0.0,7001.104754159029,7001.104754159029,7001.104754159029,7001.104754159029,34087.40298961733,34087.402989712755,238649479.12754458,238649479.12821266,80,80,No material transfer
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,7227.746702524866,7227.746702524866,-38.45330170531612,-38.45329747504957,7266.199999999915,7266.2000042301825,7266.2,7266.2000042306045,5975.333557040208,5975.333557227364,43417968.69216555,43417968.718107454,80,80,Exporter in all runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,2560.309318529239,2560.309318529239,-2361.651456684039,-2361.651452454153,4921.960770983393,4921.960775213278,4921.960770983701,4921.960775213827,5975.333557041164,5975.333557227392,29410357.361743033,29410357.387488276,80,80,Exporter in all runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,7001.104754159029,7001.104754159029,2400.104753971142,2400.104754209489,4600.999999949539,4601.000000187887,4601.0,4601.000000000027,5975.33355704054,5975.333557227364,27492509.695943523,27492509.6968031,80,80,Importer in all runs
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,7227.746702524866,7227.746702524866,-38.45329747528024,5.002220859751105e-12,7227.746702524861,7266.200000000146,7227.746702524859,7266.2,0.0,0.0,0.0,0.0,72,80,No material transfer
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,2560.309318529239,2560.309318529239,-1188.6718282183742,-1150.218530743089,3710.527849272328,3748.981146747613,3710.527849272392,4419.5,0.0,0.0,0.0,0.0,9,80,Exporter in all runs
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,7001.104754159029,7001.104754159029,1188.6718282183692,1188.6718282183692,5812.43292594066,5812.43292594066,5812.432925940655,5812.43292594066,18839.934474381807,18839.93447447837,109505855.46146126,109505855.46202253,80,80,Importer in all runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,7227.746702524866,7227.746702524866,-38.4532977612439,-38.45329747494907,7266.199999999815,7266.2000002861105,7266.2,7266.200000285955,5975.333557136081,5975.333557229355,43417968.69286219,43417968.69518812,80,80,Exporter in all runs
