scenario,case_study,sigma,zone,type,accepted_capacity_min_mw,accepted_capacity_max_mw
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,investable,0.0,3.436710065850083e-07
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,legacy,7227.746702181195,7227.746702524866
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,investable,0.0,0.0
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,legacy,2560.309318529181,4419.5
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,investable,2400.1047541589955,2400.1047541591006
cs2_nl34_z3_sigma0,Case Study 2,0.0,3,legacy,4601.0,4601.0
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,investable,0.0,4.230604474741995e-06
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,legacy,7266.2,7266.2
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,investable,502.4607709838393,502.4607752139365
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,legacy,4419.5,4419.5
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,investable,0.0,0.0
cs2_nl34_z3_sigma100,Case Study 2,1.0,3,legacy,4601.0,4601.0
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,investable,0.0,0.0
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,legacy,7227.746702524722,7266.2
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,investable,0.0,0.0
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,legacy,3710.5278492723924,4419.5
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,investable,1211.4329259405938,1211.432925940715
cs2_nl34_z3_sigma25,Case Study 2,0.25,3,legacy,4601.0,4601.0
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,investable,0.0,2.883388612318076e-07
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,legacy,7266.2,7266.2
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,investable,479.6994774862897,479.6996774910751
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,legacy,4419.5,4419.5
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,investable,22.761097722194556,22.761297726511657
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,legacy,4601.0,4601.0
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,investable,0.0,9.09443400587407e-07
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,legacy,7266.199999990013,7266.2
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,investable,502.4607710783749,502.4607752723674
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,legacy,4419.499999999135,4419.5
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,investable,0.0,0.0
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,legacy,4600.999999996479,4601.0
nl34_z3_sigma0,Case Study 1,0.0,1,investable,6601.546702524866,6601.546702524867
nl34_z3_sigma0,Case Study 1,0.0,1,legacy,626.2,626.2
nl34_z3_sigma0,Case Study 1,0.0,2,investable,2421.309318529239,2421.309318529239
nl34_z3_sigma0,Case Study 1,0.0,2,legacy,139.0,139.0
nl34_z3_sigma0,Case Study 1,0.0,3,investable,5678.104754159029,5678.105211369158
nl34_z3_sigma0,Case Study 1,0.0,3,legacy,1322.9995427898693,1323.0
nl34_z3_sigma100,Case Study 1,1.0,1,investable,1846.859389651389,1846.8593896513978
nl34_z3_sigma100,Case Study 1,1.0,1,legacy,626.2,626.2
nl34_z3_sigma100,Case Study 1,1.0,2,investable,7175.996631396648,7175.996631402715
nl34_z3_sigma100,Case Study 1,1.0,2,legacy,139.0,139.0
nl34_z3_sigma100,Case Study 1,1.0,3,investable,5678.104754089617,5678.104754165097
nl34_z3_sigma100,Case Study 1,1.0,3,legacy,1323.0,1323.0
nl34_z3_sigma25,Case Study 1,0.25,1,investable,5412.874874306495,5412.874874306497
nl34_z3_sigma25,Case Study 1,0.25,1,legacy,626.2,626.2
nl34_z3_sigma25,Case Study 1,0.25,2,investable,3609.981146747605,3609.9811467476056
nl34_z3_sigma25,Case Study 1,0.25,2,legacy,139.0,139.0
nl34_z3_sigma25,Case Study 1,0.25,3,investable,5678.104754159041,5678.104754159041
nl34_z3_sigma25,Case Study 1,0.25,3,legacy,1323.0,1323.0
nl34_z3_sigma50,Case Study 1,0.5,1,investable,4224.203046088128,4224.203046088128
nl34_z3_sigma50,Case Study 1,0.5,1,legacy,626.2,626.2
nl34_z3_sigma50,Case Study 1,0.5,2,investable,4798.652974965977,4798.6529749659785
nl34_z3_sigma50,Case Study 1,0.5,2,legacy,139.0,139.0
nl34_z3_sigma50,Case Study 1,0.5,3,investable,5678.104754159043,5678.104754159043
nl34_z3_sigma50,Case Study 1,0.5,3,legacy,1323.0,1323.0
nl34_z3_sigma75,Case Study 1,0.75,1,investable,3035.531217869757,3035.531217869757
nl34_z3_sigma75,Case Study 1,0.75,1,legacy,626.2,626.2
nl34_z3_sigma75,Case Study 1,0.75,2,investable,5987.324803184347,5987.324803184348
nl34_z3_sigma75,Case Study 1,0.75,2,legacy,139.0,139.0
nl34_z3_sigma75,Case Study 1,0.75,3,investable,5678.10475415905,5678.104754159051
nl34_z3_sigma75,Case Study 1,0.75,3,legacy,1323.0,1323.0
