scenario,case_study,sigma,total_new_capacity_min_mw,total_new_capacity_max_mw,active_nodes_min,active_nodes_max,largest_node_share_min,largest_node_share_max,node_hhi_min,node_hhi_max
cs2_nl34_z3_sigma0,Case Study 2,0.0,2400.1047541589955,2400.104758206672,3,7,0.3301667888621507,0.41664848097449114,0.1977820876726767,0.37498181629214083
cs2_nl34_z3_sigma100,Case Study 2,1.0,502.4607751118283,502.4607824061091,1,6,0.4670554220081773,1.0,0.29885391109925014,1.0
cs2_nl34_z3_sigma25,Case Study 2,0.25,1211.4329259406536,1211.4329260031502,2,7,0.41200406392445577,0.8254687309439933,0.2743861308493729,0.7118597896445871
cs2_nl34_z3_sigma50,Case Study 2,0.5,502.4607747693468,502.460775431451,2,7,0.26381748415465517,0.9547007478583597,0.19599201433209648,0.9135055402059031
cs2_nl34_z3_sigma75,Case Study 2,0.75,502.46077486474815,502.46078066961144,1,6,0.46705542174436715,1.0000000002304545,0.2988539100264476,1.000000000460909
nl34_z3_sigma0,Case Study 1,0.0,14700.960775213134,14700.962667887983,16,30,0.0680227562365251,0.06802276499411325,0.04078325611498154,0.064775585508698
nl34_z3_sigma100,Case Study 1,1.0,14700.960775213032,14700.960775281907,16,32,0.06802276499379503,0.06802276499411372,0.04689137480698918,0.06574165693081019
nl34_z3_sigma25,Case Study 1,0.25,14700.960775213141,14700.960775213143,16,32,0.06802276499411321,0.06802276499411322,0.03815229697745792,0.06479031209498436
nl34_z3_sigma50,Case Study 1,0.5,14700.960775213149,14700.960775213149,16,32,0.06802276499411318,0.06802276499411318,0.03869569874302374,0.06546388279350521
nl34_z3_sigma75,Case Study 1,0.75,14700.960775213154,14700.960775213154,16,32,0.06802276499411317,0.06802276499411317,0.04145485179845329,0.06679629760426063
