scenario,case_study,sigma,base_zonal_requirement_sum_min_mw,base_zonal_requirement_sum_max_mw,net_import_sum_min_mw,net_import_sum_max_mw,effective_requirement_sum_min_mw,effective_requirement_sum_max_mw,accepted_capacity_sum_min_mw,accepted_capacity_sum_max_mw,total_capacity_market_expenditure_min,total_capacity_market_expenditure_max,system_requirement_min_mw,system_requirement_max_mw,system_slack_min_mw,system_slack_max_mw,system_requirement_binding_runs,runs
cs2_nl34_z3_sigma0,Case Study 2,0.0,16789.160775213135,16789.160775213135,0.0,0.0,16789.160775213135,16789.160775213135,16789.160775213077,18648.351456683893,238649479.12754458,238649479.12821266,16722.707602851122,16722.707602851122,66.45317236195115,1925.6438538327711,0,80
cs2_nl34_z3_sigma100,Case Study 2,1.0,16789.160775213135,16789.160775213135,-4.547473508864641e-13,4.547473508864641e-13,16789.16077521313,16789.160775213135,16789.16077488684,16789.160775218385,100320835.7746846,100320835.77781609,16722.707602851122,16722.707602851122,66.45317203571904,66.4531723672626,0,80
cs2_nl34_z3_sigma25,Case Study 2,0.25,16789.160775213135,16789.160775213135,-2.2737367544323206e-13,2.2737367544323206e-13,16789.16077521313,16789.160775213135,16789.160775213048,17498.13292594066,109505855.46146126,109505855.46202253,16722.707602851122,16722.707602851122,66.45317236192568,775.425323089541,0,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,16789.160775213135,16789.160775213135,-4.547473508864641e-13,4.547473508864641e-13,16789.16077521313,16789.160775213135,16789.160775149416,16789.160775213328,125259330.55816546,125259331.66001798,16722.707602851122,16722.707602851122,66.4531722982938,66.4531723622058,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,16789.160775213135,16789.160775213135,-9.094947017729282e-13,9.094947017729282e-13,16789.16077521313,16789.160775213135,16789.160771078292,16789.160775220163,100320835.75301635,100320835.77781868,16722.707602851122,16722.707602851122,66.45316822716995,66.45317236904157,0,80
nl34_z3_sigma0,Case Study 1,0.0,16789.160775213135,16789.160775213135,0.0,0.0,16789.160775213135,16789.160775213135,16789.160775213135,16789.160775213135,930705870.4653194,930706141.4849045,16722.707602851122,16722.707602851122,66.45317236200935,66.45317236200935,0,80
nl34_z3_sigma100,Case Study 1,1.0,16789.160775213135,16789.160775213135,0.0,0.0,16789.160775213135,16789.160775213135,16789.160775213033,16789.16077521316,879416837.2416031,879416837.243892,16722.707602851122,16722.707602851122,66.45317236191113,66.45317236203846,0,80
nl34_z3_sigma25,Case Study 1,0.25,16789.160775213135,16789.160775213135,0.0,0.0,16789.160775213135,16789.160775213135,16789.160775213142,16789.160775213142,917883815.4241095,917883815.4241095,16722.707602851122,16722.707602851122,66.45317236202027,66.45317236202027,0,80
nl34_z3_sigma50,Case Study 1,0.5,16789.160775213135,16789.160775213135,0.0,0.0,16789.160775213135,16789.160775213135,16789.16077521315,16789.16077521315,905061489.3633145,905061489.3633145,16722.707602851122,16722.707602851122,66.4531723620239,66.4531723620239,0,80
nl34_z3_sigma75,Case Study 1,0.75,16789.160775213135,16789.160775213135,0.0,0.0,16789.16077521313,16789.16077521313,16789.160775213153,16789.160775213153,892239163.3023847,892239163.3023847,16722.707602851122,16722.707602851122,66.45317236203118,66.45317236203118,0,80
