scenario,case_study,sigma,zone_a,zone_b,bound_min_mw,bound_max_mw,transfer_min_mw,transfer_max_mw,upper_bound_runs,lower_bound_runs,interior_runs,binding_positive_limit_runs,runs,limit_status
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,2,0.0,0.0,0.0,0.0,80,0,0,0,80,Participation unavailable
cs2_nl34_z3_sigma0,Case Study 2,0.0,1,3,0.0,0.0,0.0,0.0,80,0,0,0,80,Participation unavailable
cs2_nl34_z3_sigma0,Case Study 2,0.0,2,3,0.0,0.0,0.0,0.0,80,0,0,0,80,Participation unavailable
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,2,2377.3436564367385,2377.3436564367385,-15.692203982585395,2338.8903589616184,0,0,80,0,80,Interior in all runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,1,3,2377.3436564367385,2377.3436564367385,-2377.3436564367385,-22.76109753440369,0,5,75,5,80,Binding in some runs
cs2_nl34_z3_sigma100,Case Study 2,1.0,2,3,2377.3436564367385,2377.3436564367385,-2377.3436564367385,-22.761097722254817,0,71,9,71,80,Binding in some runs
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,2,594.3359141091846,594.3359141091846,555.8826166339044,594.3359141091896,54,0,26,54,80,Binding in some runs
cs2_nl34_z3_sigma25,Case Study 2,0.25,1,3,594.3359141091846,594.3359141091846,-594.3359141091846,-594.3359141091846,0,80,0,80,80,Binding in all runs
cs2_nl34_z3_sigma25,Case Study 2,0.25,2,3,594.3359141091846,594.3359141091846,-594.3359141091846,-594.3359141091846,0,80,0,80,80,Binding in all runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,2,1188.6718282183692,1188.6718282183692,1150.218530457125,1150.2185307434202,0,0,80,0,80,Interior in all runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,1,3,1188.6718282183692,1188.6718282183692,-1188.6718282183692,-1188.6718282183692,0,80,0,80,80,Binding in all runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,2,3,1188.6718282183692,1188.6718282183692,-1188.6718282183692,-1188.6716282141492,0,80,0,80,80,Binding in all runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,2,1783.0077423275538,1783.0077423275538,578.6437142553914,1744.554444852521,0,0,80,0,80,Interior in all runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,3,1783.0077423275538,1783.0077423275538,-1783.0077423276982,-617.0970118313492,0,10,70,10,80,Binding in some runs
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,3,1783.0077423275538,1783.0077423275538,-1783.007742327577,-617.0970111449344,0,68,12,68,80,Binding in some runs
nl34_z3_sigma0,Case Study 1,0.0,1,2,0.0,0.0,0.0,0.0,80,0,0,0,80,Participation unavailable
nl34_z3_sigma0,Case Study 1,0.0,1,3,0.0,0.0,0.0,0.0,80,0,0,0,80,Participation unavailable
nl34_z3_sigma0,Case Study 1,0.0,2,3,0.0,0.0,0.0,0.0,80,0,0,0,80,Participation unavailable
nl34_z3_sigma100,Case Study 1,1.0,1,2,2377.3436564367385,2377.3436564367385,2377.3436564367385,2377.3436564367385,80,0,0,80,80,Binding in all runs
nl34_z3_sigma100,Case Study 1,1.0,1,3,2377.3436564367385,2377.3436564367385,2377.3436564367385,2377.3436564367385,80,0,0,80,80,Binding in all runs
nl34_z3_sigma100,Case Study 1,1.0,2,3,2377.3436564367385,2377.3436564367385,-2377.3436564367385,-2377.343656430671,0,80,0,80,80,Binding in all runs
nl34_z3_sigma25,Case Study 1,0.25,1,2,594.3359141091846,594.3359141091846,594.3359141091846,594.3359141091846,80,0,0,80,80,Binding in all runs
nl34_z3_sigma25,Case Study 1,0.25,1,3,594.3359141091846,594.3359141091846,594.3359141091846,594.3359141091846,80,0,0,80,80,Binding in all runs
nl34_z3_sigma25,Case Study 1,0.25,2,3,594.3359141091846,594.3359141091846,-594.3359141091846,-594.3359141091846,0,80,0,80,80,Binding in all runs
nl34_z3_sigma50,Case Study 1,0.5,1,2,1188.6718282183692,1188.6718282183692,1188.6718282183692,1188.6718282183692,80,0,0,80,80,Binding in all runs
nl34_z3_sigma50,Case Study 1,0.5,1,3,1188.6718282183692,1188.6718282183692,1188.6718282183692,1188.6718282183692,80,0,0,80,80,Binding in all runs
nl34_z3_sigma50,Case Study 1,0.5,2,3,1188.6718282183692,1188.6718282183692,-1188.6718282183692,-1188.6718282183692,0,80,0,80,80,Binding in all runs
nl34_z3_sigma75,Case Study 1,0.75,1,2,1783.0077423275538,1783.0077423275538,1783.0077423275538,1783.0077423275538,80,0,0,80,80,Binding in all runs
nl34_z3_sigma75,Case Study 1,0.75,1,3,1783.0077423275538,1783.0077423275538,1783.0077423275538,1783.0077423275538,80,0,0,80,80,Binding in all runs
nl34_z3_sigma75,Case Study 1,0.75,2,3,1783.0077423275538,1783.0077423275538,-1783.0077423275538,-1783.0077423275538,0,80,0,80,80,Binding in all runs
