scenario,case_study,design,run_id,total_new_capacity_mw,largest_node_mw,active_nodes,node_hhi,largest_zone_share,largest_node_share
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1,436.0076028513295,436.0076028513295,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,2,436.0076028511205,436.0076028511205,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,3,436.0076028509475,436.0076028509475,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,4,436.0076028511203,348.72508674270534,2,0.6797771494058733,1.0,0.7998142336563371
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,5,436.0076028511805,436.0076028511805,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,6,436.0076028511203,436.0076028511203,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,7,436.0076028511203,436.0076028511203,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,8,436.0076028511292,436.0076028511292,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,9,436.0076028511222,436.0076028511222,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,10,436.0076028511203,436.0076028511203,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,11,436.0076028510134,436.0076028510134,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,12,436.0076028511203,436.0076028511203,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,13,436.0076028511212,436.0076028511212,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,14,436.0076028511212,436.0076028511212,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,15,436.00760285112347,436.00760285112347,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,16,436.0076028511203,436.0076028511203,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,17,436.0076028511222,436.0076028511222,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,18,436.0076028511221,354.1563578909687,2,0.695026430271177,1.0,0.8122710603555643
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,19,436.0076028511203,436.0076028511203,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,20,436.0076028511276,436.0076028511276,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,21,436.0076028511203,436.0076028511203,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,22,436.00760285742774,436.0076028511217,1,0.9999999999710738,0.9999999999927682,0.9999999999855369
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,23,436.00760292961866,436.0076028511429,1,0.9999999996400257,0.9999999999678895,0.9999999998200129
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,24,436.0076028511222,348.7250867427073,2,0.6797771494058744,1.0,0.799814233656338
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,25,436.0076028511203,436.0076028511203,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,26,436.0076029002626,436.0076028511222,1,0.9999999997745892,1.0,0.9999999998872946
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,27,436.007602864029,436.0076028511203,1,0.9999999999407867,0.9999999999703933,0.9999999999703933
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,28,436.0076028660379,436.0076028511353,1,0.9999999999316405,0.9999999999658202,0.9999999999658202
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,29,436.00760901061756,436.0076019714444,1,0.9999999677107785,0.9999999838553891,0.9999999838553891
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,30,436.0076028511345,436.0076028511345,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,31,436.00760287254803,436.0076028511212,1,0.9999999999017135,0.9999999999754502,0.9999999999508568
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,32,436.00760285221054,436.0076028510766,1,0.9999999999947986,0.9999999999973993,0.9999999999973993
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,33,436.0076028511411,436.0076028511411,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,34,436.0076029600576,436.0076028511162,1,0.9999999995002773,0.9999999997573569,0.9999999997501386
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,35,436.0076028511203,436.0076028511203,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,36,436.0076028511222,436.0076028511222,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,37,436.00760285112233,436.00760285112233,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,38,436.00760289710746,436.0076028511212,1,0.9999999997890574,1.0,0.9999999998945287
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,39,436.0076028511203,436.0076028511203,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,40,436.0076028511212,436.0076028511212,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,41,436.00760285112233,436.00760285112233,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,42,436.0076028511222,436.0076028511222,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,43,436.00760290016854,436.0076028023508,1,0.9999999995513025,0.9999999997756512,0.9999999997756512
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,44,436.0076028511203,436.0076028511203,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,45,436.0076028511148,203.0155529545691,5,0.30070343720797654,1.0,0.46562388276493794
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,46,436.00760310598974,203.01555244462764,5,0.30070343546418105,0.9999999974717318,0.4656238813231802
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,47,436.0076028996306,436.0076028511212,1,0.9999999997774836,1.0,0.9999999998887418
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,48,436.00760275544786,348.72508664702656,2,0.6797771493531768,1.0,0.799814233612396
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,49,436.00760285276397,436.00760285112233,1,0.9999999999924696,0.9999999999962348,0.9999999999962348
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,50,436.0076028546474,436.007602851128,1,0.9999999999838562,0.9999999999919281,0.9999999999919281
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,51,436.00760285584937,436.0076028511313,1,0.999999999978358,0.999999999989179,0.999999999989179
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,52,436.00760285298526,436.0076028511638,1,0.9999999999916449,0.9999999999958225,0.9999999999958225
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,53,436.0076028511148,203.0155529545691,5,0.30070343720797654,1.0,0.46562388276493794
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,54,436.0076028926421,203.0155529544057,5,0.3007034370750815,0.9999999997163754,0.4656238827202151
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,55,436.0076028511194,436.0076028511194,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,56,436.00760301833964,436.00760285111977,1,0.9999999992329498,0.9999999996164749,0.9999999996164749
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,57,436.0076028511148,203.0155529545691,5,0.30070343720797654,1.0,0.46562388276493794
