bus,zone,q_market_mw,q_final_mw,q_max_mw,redispatch_up_mw,redispatch_down_mw,upward_headroom_before_mw,upward_headroom_after_mw,downward_headroom_before_mw,controllable_generators,generators_at_final_limit,scenario,case_study,design,sigma,run_id,t
NL0 0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 1,3,1102.0,1102.0,1102.0,0.0,0.0,0.0,0.0,1102.0,3,3,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 10,1,150.0,150.0,150.0,0.0,0.0,0.0,0.0,150.0,2,2,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 11,3,1070.0,1070.0,1070.0,0.0,0.0,0.0,0.0,1070.0,3,3,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 12,2,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,1,0,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 13,3,1077.0,1077.0,1077.0,0.0,0.0,0.0,0.0,1077.0,2,2,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 14,2,1000.0,146.56020293665858,1000.0,0.0,853.4397970633414,0.0,853.4397970633414,1000.0,1,0,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 15,2,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1,1,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 19,2,1085.0,1085.0,1085.0,0.0,0.0,0.0,0.0,1085.0,3,3,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 2,2,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1,1,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 22,3,500.0,500.0,500.0,0.0,0.0,0.0,0.0,500.0,2,2,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 25,2,1054.0,929.2087372205413,1054.0,0.0,124.79126277945872,0.0,124.79126277945875,1054.0,2,1,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 26,2,1000.0,19.72960811634221,1000.0,0.0,980.2703918836578,0.0,980.2703918836578,1000.0,1,0,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 27,1,93.2,93.2,93.2,0.0,0.0,0.0,0.0,93.2,3,3,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 28,2,1000.0,128.30416878923643,1000.0,0.0,871.6958312107636,0.0,871.6958312107636,1000.0,1,0,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 3,1,130.0,130.0,130.0,0.0,0.0,0.0,0.0,130.0,3,3,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 30,1,60.0,60.0,60.0,0.0,0.0,0.0,0.0,60.0,2,2,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 31,2,1000.0,816.6861923210955,1000.0,0.0,183.31380767890445,0.0,183.31380767890448,1000.0,1,0,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 33,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 4,2,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,1,0,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 6,3,634.5076028511185,634.5076028511185,634.5076028511185,0.0,0.0,0.0,0.0,634.5076028511185,1,1,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 7,3,554.0,554.0,554.0,0.0,0.0,0.0,0.0,554.0,3,3,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 8,1,193.0,193.0,193.0,0.0,0.0,0.0,0.0,193.0,3,3,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 9,3,1020.0,1020.0,1020.0,0.0,0.0,0.0,0.0,1020.0,2,2,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
NL0 0,1,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1,1,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 1,3,102.0,102.0,102.0,0.0,0.0,0.0,0.0,102.0,3,3,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 10,1,1150.0,1150.0,1150.0,0.0,0.0,0.0,0.0,1150.0,2,2,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 11,3,70.0,70.0,70.0,0.0,0.0,0.0,0.0,70.0,3,3,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 13,3,755.1047541590287,755.1047541590287,755.1047541590287,0.0,0.0,0.0,0.0,755.1047541590287,2,2,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 14,2,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1,1,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 17,1,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1,1,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 19,2,85.0,85.0,85.0,0.0,0.0,0.0,0.0,85.0,3,3,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 20,1,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1,1,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 21,1,601.5467025248663,601.5467025248663,601.5467025248663,0.0,0.0,0.0,0.0,601.5467025248663,1,1,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 22,3,1500.0,1500.0,1500.0,0.0,0.0,0.0,0.0,1500.0,2,2,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 24,1,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1,1,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 25,2,54.0,54.0,54.0,0.0,0.0,0.0,0.0,54.0,2,2,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 26,2,421.3093185292392,421.3093185292392,421.3093185292392,0.0,0.0,0.0,0.0,421.3093185292392,1,1,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 27,1,1026.7468276379834,1093.2,1093.2,66.45317236201663,0.0,66.45317236201663,0.0,1026.7468276379834,3,3,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 28,2,1000.0,236.0311091062615,1000.0,0.0,763.9688908937385,0.0,763.9688908937385,1000.0,1,0,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 3,1,130.0,130.0,130.0,0.0,0.0,0.0,0.0,130.0,3,3,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 30,1,60.0,60.0,60.0,0.0,0.0,0.0,0.0,60.0,2,2,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 31,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 33,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 5,3,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1,1,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 6,3,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1,1,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 7,3,1554.0,1554.0,1554.0,0.0,0.0,0.0,0.0,1554.0,3,3,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 8,1,193.0,193.0,193.0,0.0,0.0,0.0,0.0,193.0,3,3,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 9,3,1020.0,1020.0,1020.0,0.0,0.0,0.0,0.0,1020.0,2,2,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
NL0 0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 1,3,1102.0,1102.0,1102.0,0.0,0.0,0.0,0.0,1102.0,3,3,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 10,1,150.0,150.0,150.0,0.0,0.0,0.0,0.0,150.0,2,2,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 11,3,1070.0,1070.0,1070.0,0.0,0.0,0.0,0.0,1070.0,3,3,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 12,2,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1,1,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 13,3,1077.0,1077.0,1077.0,0.0,0.0,0.0,0.0,1077.0,2,2,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 14,2,1000.0,146.56020293665813,1000.0,0.0,853.4397970633419,0.0,853.4397970633419,1000.0,1,0,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 16,1,846.8593896513892,846.8593896513892,846.8593896513892,0.0,0.0,0.0,0.0,846.8593896513892,1,1,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 19,2,260.99663140271514,260.99663140271514,260.99663140271514,0.0,0.0,0.0,0.0,260.99663140271514,3,3,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 20,1,1000.0,302.78143382193423,1000.0,0.0,697.2185661780658,0.0,697.2185661780658,1000.0,1,0,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 22,3,500.0,500.0,500.0,0.0,0.0,0.0,0.0,500.0,2,2,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 25,2,1054.0,585.5388622526539,1054.0,0.0,468.4611377473462,0.0,468.46113774734613,1054.0,2,1,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 26,2,1000.0,169.00957481585283,1000.0,0.0,830.9904251841472,0.0,830.9904251841472,1000.0,1,0,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 27,1,93.2,93.2,93.2,0.0,0.0,0.0,0.0,93.2,3,3,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 28,2,933.546827637958,563.8236182349415,1000.0,0.0,369.7232094030167,66.45317236204198,436.1763817650585,933.546827637958,1,0,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 3,1,130.0,130.0,130.0,0.0,0.0,0.0,0.0,130.0,3,3,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 30,1,60.0,60.0,60.0,0.0,0.0,0.0,0.0,60.0,2,2,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 31,2,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1,1,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 33,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 4,2,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1,1,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 5,3,678.1047541590551,678.1047541590551,678.1047541590551,0.0,0.0,0.0,0.0,678.1047541590551,1,1,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 6,3,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1,1,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 7,3,554.0,554.0,554.0,0.0,0.0,0.0,0.0,554.0,3,3,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 8,1,193.0,193.0,193.0,0.0,0.0,0.0,0.0,193.0,3,3,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 9,3,1020.0,1020.0,1020.0,0.0,0.0,0.0,0.0,1020.0,2,2,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
NL0 0,1,575.0,575.0,575.0,0.0,0.0,0.0,0.0,575.0,2,2,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 1,3,102.0,102.0,102.0,0.0,0.0,0.0,0.0,102.0,3,3,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 10,1,657.0,657.0,657.0,0.0,0.0,0.0,0.0,657.0,3,3,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 11,3,142.0,142.0,142.0,0.0,0.0,0.0,0.0,142.0,4,4,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 13,3,127.0,127.0,127.0,0.0,0.0,0.0,0.0,127.0,3,3,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 16,1,268.0,268.0,268.0,0.0,0.0,0.0,0.0,268.0,2,2,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 17,1,107.0,107.0,107.0,0.0,0.0,0.0,0.0,107.0,2,2,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 18,1,112.0,112.0,112.0,0.0,0.0,0.0,0.0,112.0,2,2,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 19,2,608.0,608.0,608.0,0.0,0.0,0.0,0.0,608.0,4,4,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 2,2,272.5,272.5,272.5,0.0,0.0,0.0,0.0,272.5,2,2,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 21,1,85.0,85.0,85.0,0.0,0.0,0.0,0.0,85.0,2,2,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 22,3,600.0,600.0,600.0,0.0,0.0,0.0,0.0,600.0,3,3,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 23,1,964.0,964.0,964.0,0.0,0.0,0.0,0.0,964.0,2,2,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 24,1,684.0,684.0,684.0,0.0,0.0,0.0,0.0,684.0,2,2,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 25,2,54.0,54.0,54.0,0.0,0.0,0.0,0.0,54.0,2,2,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 26,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 27,1,1077.2,1077.2,1077.2,0.0,0.0,0.0,0.0,1077.2,4,4,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 28,2,580.0076028511226,128.3041687892363,580.0076028511226,0.0,451.70343406188624,0.0,451.70343406188624,580.0076028511226,2,0,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 3,1,2037.0,2037.0,2037.0,0.0,0.0,0.0,0.0,2037.0,4,4,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 30,1,60.0,60.0,60.0,0.0,0.0,0.0,0.0,60.0,2,2,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 31,2,3341.0,2917.466372692364,3341.0,0.0,423.5336273076358,0.0,423.5336273076359,3341.0,2,1,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 33,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 5,3,49.6,49.6,49.6,0.0,0.0,0.0,0.0,49.6,2,2,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 6,3,1608.4,1608.4,1608.4,0.0,0.0,0.0,0.0,1608.4,2,2,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 7,3,1952.0,1952.0,1952.0,0.0,0.0,0.0,0.0,1952.0,4,4,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 8,1,640.0,640.0,640.0,0.0,0.0,0.0,0.0,640.0,4,4,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 9,3,20.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,2,2,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
NL0 0,1,575.0,575.0,575.0,0.0,0.0,0.0,0.0,575.0,2,2,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 1,3,102.0,102.0,102.0,0.0,0.0,0.0,0.0,102.0,3,3,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 10,1,657.0,507.3176889855303,657.0,0.0,149.6823110144697,0.0,149.6823110144697,657.0,3,2,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 11,3,70.0,70.0,142.0,0.0,0.0,72.0,72.0,70.0,4,3,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 13,3,77.0,77.0,127.0,0.0,0.0,50.0,50.0,77.0,3,2,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 16,1,268.0,268.0,268.0,0.0,0.0,0.0,0.0,268.0,2,2,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 17,1,91.38960630625562,91.38960630625562,107.0,0.0,0.0,15.610393693744385,15.610393693744385,91.38960630625562,2,1,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 18,1,112.0,112.0,112.0,0.0,0.0,0.0,0.0,112.0,2,2,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 19,2,85.0,85.0,608.0,0.0,0.0,523.0,523.0,85.0,4,3,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 2,2,0.0,250.97277152229063,272.5,250.97277152229063,0.0,272.5,21.52722847770937,0.0,2,1,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 21,1,85.0,85.0,85.0,0.0,0.0,0.0,0.0,85.0,2,2,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 22,3,500.0,500.0,1600.0,0.0,0.0,1100.0,1100.0,500.0,3,1,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 23,1,0.0,0.0,964.0,0.0,0.0,964.0,964.0,0.0,2,1,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 24,1,0.0,0.0,684.0,0.0,0.0,684.0,684.0,0.0,2,1,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 25,2,54.0,54.0,54.0,0.0,0.0,0.0,0.0,54.0,2,2,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 26,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 27,1,1077.2,831.9095394921791,1077.2,0.0,245.29046050782097,0.0,245.29046050782097,1077.2,4,3,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 28,2,0.0,144.0,144.0,144.0,0.0,144.0,0.0,0.0,2,2,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 3,1,130.0,130.0,2037.0,0.0,0.0,1907.0,1907.0,130.0,4,3,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 30,1,60.0,60.0,60.0,0.0,0.0,0.0,0.0,60.0,2,2,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
NL0 31,2,0.0,0.0,3341.0,0.0,0.0,3341.0,3341.0,0.0,2,1,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
