zone,q_market_mw,q_final_mw,q_max_mw,redispatch_up_mw,redispatch_down_mw,upward_headroom_before_mw,upward_headroom_after_mw,downward_headroom_before_mw,controllable_generators,generators_at_final_limit,scenario,case_study,design,sigma,run_id,t
1,626.2,626.2,626.2,0.0,0.0,0.0,0.0,626.2,22,22,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
2,10139.0,5125.488909383874,10139.0,0.0,5013.511090616126,0.0,5013.511090616126,10139.0,13,6,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
3,5957.5076028511185,5957.5076028511185,5957.5076028511185,0.0,0.0,0.0,0.0,5957.5076028511185,17,17,nl34_z1_sigma0,Case Study 1,Country-wide,,1,177
1,7161.2935301628495,7227.746702524866,7227.746702524866,66.45317236201663,0.0,66.45317236201663,0.0,7161.2935301628495,22,22,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
2,2560.309318529239,1796.3404276355006,2560.309318529239,0.0,763.9688908937385,0.0,763.9688908937385,2560.309318529239,13,12,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
3,7001.104754159029,7001.104754159029,7001.104754159029,0.0,0.0,0.0,0.0,7001.104754159029,17,17,nl34_z3_sigma0,Case Study 1,Split,0.0,78,177
1,2473.059389651389,1775.8408234733233,2473.059389651389,0.0,697.2185661780658,0.0,697.2185661780658,2473.059389651389,22,21,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
2,7248.543459040673,4725.928889642822,7314.996631402715,0.0,2522.614569397852,66.45317236204198,2589.0677417598936,7248.543459040673,13,9,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
3,7001.104754159055,7001.104754159055,7001.104754159055,0.0,0.0,0.0,0.0,7001.104754159055,17,17,nl34_z3_sigma100,Case Study 1,Split,1.0,39,177
1,7266.2,7266.2,7266.2,0.0,0.0,0.0,0.0,7266.2,33,33,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
2,4855.507602851123,3980.2705414816005,4855.507602851123,0.0,875.237061369522,0.0,875.2370613695222,4855.507602851123,17,14,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
3,4601.0,4601.0,4601.0,0.0,0.0,0.0,0.0,4601.0,23,23,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177
1,3248.5896063062555,2853.616834783965,7266.2,0.0,394.97277152229066,4017.6103936937443,4412.583165216035,3248.5896063062555,33,26,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
2,139.0,533.9727715222906,4419.5,394.9727715222906,0.0,4280.5,3885.5272284777093,139.0,17,14,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
3,1372.6,1372.6,7001.104754159029,0.0,0.0,5628.504754159028,5628.504754159028,1372.6,23,15,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,44
1,7266.2,7266.2,7266.2,0.0,0.0,0.0,0.0,7266.2,33,33,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
2,4855.507602851125,3980.270541481601,4921.960775213099,0.0,875.2370613695239,66.45317236197388,941.6902337314979,4855.507602851125,17,14,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
3,4601.0,4601.0,4601.0,0.0,0.0,0.0,0.0,4601.0,23,23,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
