run_id,t,node,demand,ls,curtailment,zone,scenario,case_study,design,sigma
1,177,NL0 0,892.7237149879707,0.0,892.7237149879707,1,nl34_z1_sigma0,Case Study 1,Country-wide,
1,177,NL0 10,1057.135599803937,0.0,1057.135599803937,1,nl34_z1_sigma0,Case Study 1,Country-wide,
1,177,NL0 17,648.2305923159428,0.0,648.2305923159428,1,nl34_z1_sigma0,Case Study 1,Country-wide,
1,177,NL0 18,652.4943859542411,0.0,509.805352694182,1,nl34_z1_sigma0,Case Study 1,Country-wide,
1,177,NL0 20,246.9884014944237,0.0,246.9884014944237,1,nl34_z1_sigma0,Case Study 1,Country-wide,
1,177,NL0 21,701.0408892934616,0.0,701.0408892934616,1,nl34_z1_sigma0,Case Study 1,Country-wide,
1,177,NL0 24,549.7321210782025,0.0,549.7321210782025,1,nl34_z1_sigma0,Case Study 1,Country-wide,
1,177,NL0 27,407.85441894800624,0.0,407.85441894800624,1,nl34_z1_sigma0,Case Study 1,Country-wide,
78,177,NL0 12,285.25069254084184,0.0,285.25069254084184,2,nl34_z3_sigma0,Case Study 1,Split,0.0
78,177,NL0 19,509.5048415838312,0.0,100.13408395842164,2,nl34_z3_sigma0,Case Study 1,Split,0.0
78,177,NL0 25,266.62451185332304,0.0,266.62451185332304,2,nl34_z3_sigma0,Case Study 1,Split,0.0
78,177,NL0 31,45.50643017913527,0.0,45.50643017913527,2,nl34_z3_sigma0,Case Study 1,Split,0.0
39,177,NL0 0,892.7237149879707,0.0,892.7237149879707,1,nl34_z3_sigma100,Case Study 1,Split,1.0
39,177,NL0 10,1057.135599803937,0.0,1057.135599803937,1,nl34_z3_sigma100,Case Study 1,Split,1.0
39,177,NL0 17,648.2305923159428,0.0,312.38728075780136,1,nl34_z3_sigma100,Case Study 1,Split,1.0
39,177,NL0 24,549.7321210782025,0.0,549.7321210782025,1,nl34_z3_sigma100,Case Study 1,Split,1.0
39,177,NL0 27,407.85441894800624,0.0,407.85441894800624,1,nl34_z3_sigma100,Case Study 1,Split,1.0
78,177,NL0 14,147.69145589576627,0.0,49.75110098019748,2,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,
78,177,NL0 15,452.7002619410615,0.0,400.18470001114304,2,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,
78,177,NL0 25,266.62451185332304,0.0,212.6245118533228,2,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,
78,177,NL0 4,212.6767485248588,0.0,212.6767485248588,2,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,
75,177,NL0 0,892.7237149879707,0.0,342.16887943541354,1,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0
75,177,NL0 13,1047.5459057438954,0.0,107.76692155592868,3,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0
75,177,NL0 25,266.62451185332304,0.0,212.62451185332287,2,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0
75,177,NL0 4,212.6767485248588,0.0,212.6767485248588,2,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0
