scenario,case_study,design,sigma,line,rho_directional_score_total_overload,rho_directional_score_positive_overload,rho_directional_score_negative_overload,rho_directional_score_grid_shedding,runs
nl34_z1_sigma0,Case Study 1,Country-wide,,11,-0.4810565974256541,-0.4810565974256541,,0.9240757129616829,80
nl34_z1_sigma0,Case Study 1,Country-wide,,14,-0.5813405195676202,,-0.5813405195676202,0.9240757129616829,80
nl34_z1_sigma0,Case Study 1,Country-wide,,26,0.6999499480399288,0.6999499480399288,,0.91657672287124,80
nl34_z1_sigma0,Case Study 1,Country-wide,,27,-0.70511002482242,,-0.70511002482242,-0.9240757129616829,80
nl34_z1_sigma0,Case Study 1,Country-wide,,34,-0.47177328171883587,-0.47177328171883587,,0.9240757129616829,80
nl34_z3_sigma0,Case Study 1,Split,0.0,11,-0.02582481709914139,0.5435072141827291,-0.5831018845005931,-0.5455352179427017,80
nl34_z3_sigma0,Case Study 1,Split,0.0,14,-0.5757284542959763,,-0.5757284542959763,0.3777145335452991,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,0.46966809450303054,0.46966809450303054,,0.30685091791586144,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,0.43399473521337595,0.5308566153228842,-0.18458668842397186,-0.314389026600325,80
nl34_z3_sigma0,Case Study 1,Split,0.0,34,0.8617355623867459,0.8617355623867459,,0.7057503687121304,80
nl34_z3_sigma25,Case Study 1,Split,0.25,11,0.4252362793422502,0.4441427830415133,-0.22900243958044594,0.12883397019856194,80
nl34_z3_sigma25,Case Study 1,Split,0.25,14,-0.754434210714887,,-0.754434210714887,0.26651632288247235,80
nl34_z3_sigma25,Case Study 1,Split,0.25,26,0.6636831312449439,0.6636831312449439,,0.28683717836100175,80
nl34_z3_sigma25,Case Study 1,Split,0.25,27,-0.4317851900442011,0.49247914395832737,-0.6726889498089155,-0.28289470421638374,80
nl34_z3_sigma25,Case Study 1,Split,0.25,34,0.9391873464833319,0.9391873464833319,,0.8185514404891611,80
nl34_z3_sigma50,Case Study 1,Split,0.5,11,0.8925281030785357,0.8925281030785357,,0.8572065178661198,80
nl34_z3_sigma50,Case Study 1,Split,0.5,14,-0.9055285447919442,,-0.9055285447919442,0.08229989387231253,80
nl34_z3_sigma50,Case Study 1,Split,0.5,26,0.8111132178099816,0.8111132178099816,,0.4768656147654199,80
nl34_z3_sigma50,Case Study 1,Split,0.5,27,-0.8031688801041696,,-0.8031688801041696,-0.44129770679808955,80
nl34_z3_sigma50,Case Study 1,Split,0.5,34,0.9024958131635915,0.9024958131635915,,0.8704110890402753,80
nl34_z3_sigma75,Case Study 1,Split,0.75,11,0.8674558920584263,0.8674558920584263,,0.8165960117829482,80
nl34_z3_sigma75,Case Study 1,Split,0.75,14,-0.8634519316585505,,-0.8634519316585505,-0.03818302286764051,80
nl34_z3_sigma75,Case Study 1,Split,0.75,26,0.9063958536160898,0.9063958536160898,,0.6650835254654065,80
nl34_z3_sigma75,Case Study 1,Split,0.75,27,-0.8370429441521665,,-0.8370429441521665,-0.42862084945094003,80
nl34_z3_sigma75,Case Study 1,Split,0.75,34,0.9192016326378354,0.9192016326378354,,0.6539429014714697,80
nl34_z3_sigma100,Case Study 1,Split,1.0,11,0.6792171853847493,0.6792171853847493,,0.23855115119163778,80
nl34_z3_sigma100,Case Study 1,Split,1.0,14,-0.7162824512112695,,-0.7162824512112695,-0.055064697502749255,80
nl34_z3_sigma100,Case Study 1,Split,1.0,26,0.8696325133685722,0.8696325133685722,,0.8472646470951128,80
nl34_z3_sigma100,Case Study 1,Split,1.0,27,-0.8915128632680618,,-0.8915128632680618,-0.5782965825043841,80
nl34_z3_sigma100,Case Study 1,Split,1.0,34,0.8772073826263804,0.8772073826263804,,0.6206973376513052,80
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,12,-0.9623185087288026,,-0.9623185087288026,-0.3684420653571734,80
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,14,-0.9654773903097159,,-0.9654773903097159,-0.8989244297113829,80
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,20,0.05188815283265187,,0.05188815283265187,-0.4922972156340382,80
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,23,0.8422247966999857,0.8422247966999857,,0.849138134947076,80
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,4,0.2832462075868773,0.2832462075868773,,-0.5011507218256155,80
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,5,-0.07780334378556211,,-0.07780334378556211,0.4958667990322339,80
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,7,0.9531128939456355,0.9531190399110656,,0.8838476366742672,80
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,8,0.9616838204477786,0.9616838204477786,,0.29458456675635053,80
cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,12,,,,,80
cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,14,,,,,80
cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,20,0.030341459225375695,,0.030341459225375695,,80
cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,23,,,,,80
cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,4,0.03413312605209196,0.03413312605209196,,,80
cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,5,0.2422948037313085,,0.2422948037313085,,80
cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,7,,,,,80
cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,8,,,,,80
cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,12,,,,,80
cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,14,,,,,80
cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,20,0.035441767066547746,,0.035441767066547746,,80
cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,23,,,,,80
cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,4,0.18802364195140464,0.18802364195140464,,,80
cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,5,-0.03680233414940371,,-0.03680233414940371,,80
cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,7,,,,,80
cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,8,,,,,80
cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,12,-0.9897807152932794,,-0.9897807152932794,-0.011262846684499509,80
cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,14,-0.8692706276360829,,-0.8692706276360829,-0.9674081374067297,80
cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,20,-0.06814182135766168,,-0.06814182135766168,-0.26958092824628094,80
cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,23,0.8214246004796459,0.8214246004796459,,0.8054812520531233,80
cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,4,0.009186367103348256,0.009186367103348256,,-0.2713876765685861,80
cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,5,0.0056314233422497546,,0.0056314233422497546,0.26958092824628094,80
cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,7,0.9902798716667618,0.9902798716667618,,0.9186024684405651,80
cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,8,0.9897214533199408,0.9897214533199408,,-0.06288422732178892,80
cs2_nl34_z3_sigma75,Case Study 2,Split,0.75,12,-0.9249045251334482,,-0.9249045251334482,0.1489134526350079,80
cs2_nl34_z3_sigma75,Case Study 2,Split,0.75,14,-0.8303288196851742,,-0.8303288196851742,-0.9200812041185782,80
cs2_nl34_z3_sigma75,Case Study 2,Split,0.75,20,0.13864022996202596,,0.13864022996202596,-0.42749695215910827,80
cs2_nl34_z3_sigma75,Case Study 2,Split,0.75,23,0.8296237410366185,0.8296237410366185,,0.899312406453779,80
cs2_nl34_z3_sigma75,Case Study 2,Split,0.75,4,-0.09541297334062461,-0.09541297334062461,,-0.42749695215910827,80
cs2_nl34_z3_sigma75,Case Study 2,Split,0.75,5,-0.2536985980112422,,-0.2536985980112422,0.42749695215910827,80
cs2_nl34_z3_sigma75,Case Study 2,Split,0.75,7,0.9386567488297043,0.9386567488297043,,0.8637355733918184,80
cs2_nl34_z3_sigma75,Case Study 2,Split,0.75,8,0.9236453280664542,0.9236453280664542,,-0.22307096746073085,80
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,12,-0.9229379349397896,,-0.9229379349397896,0.15228485951655218,80
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,14,-0.8407024094634787,,-0.8407024094634787,-0.920232299001563,80
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,20,-0.06195847926388707,,-0.06195847926388707,-0.43031618469553934,80
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,23,0.8199940400708059,0.8199940400708059,,0.8531404537042063,80
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,4,0.13875721640643607,0.13875721640643607,,-0.43028351196558945,80
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,5,0.0068984935942559495,,0.0068984935942559495,0.43031618469553934,80
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,7,0.9368514292914799,0.9368514292914799,,0.8639174048814203,80
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,8,0.9199890482399795,0.9199890482399795,,-0.22643280344140654,80
