scenario,case_study,design,sigma,line,bus,ptdf,ptdf_side,capacity_min_mw,capacity_max_mw,rho_investment_total_overload,rho_investment_maximum_overload,rho_investment_redispatch,rho_investment_grid_shedding,runs
nl34_z1_sigma0,Case Study 1,Country-wide,,11,NL0 11,0.051894578703487,positive,0.0,1000.0,-0.3713167005318641,-0.23280697772927422,0.08110987727564806,0.8866060032494634,80
nl34_z1_sigma0,Case Study 1,Country-wide,,26,NL0 1,0.5863925659267386,positive,0.0,1000.0,0.6710723420406797,0.8978543430852569,0.03946509270000577,0.9110634598780978,80
nl34_z1_sigma0,Case Study 1,Country-wide,,26,NL0 11,0.6884856692823966,positive,0.0,1000.0,0.7006135501937394,0.8753493220876556,0.08110987727564806,0.8866060032494634,80
nl34_z1_sigma0,Case Study 1,Country-wide,,26,NL0 13,0.4951241241528987,positive,0.0,1000.0,0.6521532125910394,0.878061750514793,-0.0019365999946903136,0.8672044146158004,80
nl34_z1_sigma0,Case Study 1,Country-wide,,26,NL0 22,0.1126525218778523,positive,0.0,1000.0000004363512,-0.6894085515626113,-0.8873265406679082,-0.07493793879389303,-0.8813561986492413,80
nl34_z1_sigma0,Case Study 1,Country-wide,,26,NL0 5,0.196162519321621,positive,0.0,1000.0,-0.6870861909841434,-0.8994367459772697,-0.02697555254791538,-0.9050578343982535,80
nl34_z1_sigma0,Case Study 1,Country-wide,,26,NL0 6,0.2916914495222212,positive,0.0,1000.0,-0.7199949140886469,-0.6215751955464,-0.3180790878716268,-0.6342311820559116,80
nl34_z1_sigma0,Case Study 1,Country-wide,,26,NL0 7,0.1126525218778523,positive,0.0,1000.0,-0.6741598518599347,-0.8543068462442331,-0.05607825693377722,-0.8855969828380215,80
nl34_z1_sigma0,Case Study 1,Country-wide,,26,NL0 9,0.4137255672146021,positive,0.0,1000.0,0.2713709683631189,0.6065734231723122,-0.1658233474946305,0.6194970792516069,80
nl34_z1_sigma0,Case Study 1,Country-wide,,27,NL0 1,-0.5863925659267387,negative,0.0,1000.0,0.6895488910947373,0.9061847991159083,0.03946509270000577,0.9110634598780978,80
