line,total_overload_index,maximum_overload_mw,overloaded_run_hours,overload_during_shedding_index,shedding_associated_with_overload_mw,maximum_market_utilization,representative_timesteps_ever_overloaded,runs_with_overload,scenario,case_study,design,sigma,runs_analysed,rank_in_scenario,share_of_scenario_overload
27,8710052.500086682,4118.173814949977,4573,7130848.517163794,5300304.610817855,2.7322585246772726,62.0,80.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,1,0.24164890910949555
26,8701284.132879399,3892.1178868048246,4871,6942764.724602248,5300304.610817855,2.637170913959697,69.0,80.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,2,0.24140564233581188
34,6971713.585038071,2254.4638409553363,6812,4407418.151739894,5295449.961106193,4.275987379074402,110.0,80.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,3,0.19342099056596204
11,4228435.364387997,1562.6875992002592,6904,2628601.034485715,5264696.831310242,3.270759352807711,114.0,80.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,4,0.11731235753564093
14,4112727.3902120683,1543.900097957679,6079,2623176.899251982,5277390.326279602,3.2434590183171137,112.0,80.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,5,0.11410219252979226
7,1356511.8806589684,1034.2835455843187,4875,743656.2518008515,4416799.7282312475,2.502929335199605,112.0,80.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,6,0.03763463149642872
12,616395.7439859916,1204.889802848514,2605,446338.312260781,4098558.5554984715,2.75083925304144,105.0,80.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,7,0.017101086257800217
6,408393.1898809226,974.4773547232284,1289,296074.37431327446,1326148.2243749609,1.4099017624502028,48.0,62.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,8,0.011330329963164963
1,262315.56855566247,708.7836006950183,1053,244580.6893043665,2527346.662005133,1.2981409939517845,34.0,76.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,9,0.007277599185915595
4,145788.90768189565,567.4019233917206,724,145788.90768189565,2280411.7482431945,1.2386705522592245,19.0,80.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,10,0.004044720798324055
2,98995.52910917875,635.8853392958731,495,79401.28965443565,587591.2800561327,1.2674772482195378,35.0,57.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,11,0.002746500278352201
23,98545.97913254047,378.50040776564254,1294,43140.03978333352,1200322.9332329233,1.5500033029091838,77.0,80.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,12,0.002734028107668527
10,94088.45036881696,419.40526763274056,441,94088.45036881696,1343038.4769128885,1.1764176022667934,24.0,30.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,13,0.00261035985617782
3,90515.62805903949,737.8893519327885,454,90004.17097752389,1192869.5586409434,1.3103839657068208,32.0,48.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,14,0.002511236617415344
8,73777.70534115472,613.1596826426822,593,24658.22685128944,290866.6408896704,1.8909893985451984,81.0,80.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,15,0.002046865046119345
40,35286.009945789505,558.8857324806313,222,35286.009945789505,903716.4391852764,1.2350883226189993,18.0,33.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,16,0.0009789637674562795
20,25670.726933185702,212.3347086914523,305,3592.184151997965,72567.30371447407,1.0893159506479213,10.0,78.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,17,0.0007122004327058117
15,10502.669105065563,224.23276855365248,107,10502.669105065563,255188.12218150726,1.0731466818572932,10.0,20.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,18,0.00029138269051212233
24,3244.1055168011376,114.47937011250384,43,1015.729884660421,13977.347076116417,1.16635129153104,13.0,36.0,nl34_z1_sigma0,Case Study 1,Country-wide,,80,19,9.00034252564252e-05
0,0.0,0.0,0,0.0,0.0,0.9065182204203784,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,20,0.0
13,0.0,0.0,0,0.0,0.0,0.9951005898559064,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,21,0.0
21,0.0,0.0,0,0.0,0.0,0.4612982830022737,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,22,0.0
22,0.0,0.0,0,0.0,0.0,0.197311812682383,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,23,0.0
16,0.0,0.0,0,0.0,0.0,0.5094877879598538,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,24,0.0
29,0.0,0.0,0,0.0,0.0,0.7578689243463109,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,25,0.0
28,0.0,0.0,0,0.0,0.0,0.6194787875175533,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,26,0.0
25,0.0,0.0,0,0.0,0.0,0.3652907653555272,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,27,0.0
17,0.0,0.0,0,0.0,0.0,0.8640727412736227,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,28,0.0
19,0.0,0.0,0,0.0,0.0,0.8547042520863484,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,29,0.0
18,0.0,0.0,0,0.0,0.0,0.4063719734918302,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,30,0.0
31,0.0,0.0,0,0.0,0.0,0.1648814910041629,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,31,0.0
30,0.0,0.0,0,0.0,0.0,0.2344186812183917,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,32,0.0
38,0.0,0.0,0,0.0,0.0,0.4299469061577824,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,33,0.0
37,0.0,0.0,0,0.0,0.0,0.3402862669841808,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,34,0.0
36,0.0,0.0,0,0.0,0.0,0.3523850865115712,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,35,0.0
35,0.0,0.0,0,0.0,0.0,0.7047701730231422,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,36,0.0
32,0.0,0.0,0,0.0,0.0,0.2264527809269803,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,37,0.0
39,0.0,0.0,0,0.0,0.0,0.9607658030408712,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,38,0.0
5,0.0,0.0,0,0.0,0.0,0.9354497367227887,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,39,0.0
9,0.0,0.0,0,0.0,0.0,0.7674927136491015,,,nl34_z1_sigma0,Case Study 1,Country-wide,,80,40,0.0
34,29148.100247987815,950.9442686565302,177,790.9141310584656,2173.72854313035,2.381828071814103,49.0,33.0,nl34_z3_sigma0,Case Study 1,Split,0.0,80,1,0.18119367879484807
20,24732.333760884452,508.0574163439719,168,0.0,0.0,1.2137080244870735,21.0,40.0,nl34_z3_sigma0,Case Study 1,Split,0.0,80,2,0.15374389758475032
12,20388.86721772193,472.35741874468624,274,2744.996623110718,2448.1773096333955,1.686388006810534,44.0,36.0,nl34_z3_sigma0,Case Study 1,Split,0.0,80,3,0.1267435553675148
8,19833.1865323745,571.1228079827962,94,3425.144736306812,3342.9966097180954,1.829905131705432,43.0,9.0,nl34_z3_sigma0,Case Study 1,Split,0.0,80,4,0.12328927097996559
5,15399.620302002357,486.1148666923259,93,0.0,0.0,1.2044781642637796,24.0,20.0,nl34_z3_sigma0,Case Study 1,Split,0.0,80,5,0.09572884101619146
11,11117.300558616094,693.7144101534935,95,238.9799454271731,385.8266165450383,2.0080444010944376,44.0,22.0,nl34_z3_sigma0,Case Study 1,Split,0.0,80,6,0.06910860637041788
26,10091.86273701961,1070.3761140142951,31,0.0,0.0,1.450240381156597,12.0,14.0,nl34_z3_sigma0,Case Study 1,Split,0.0,80,7,0.06273416516534247
27,9835.800166126124,470.7547373857278,54,0.0,0.0,1.19801711717662,9.0,33.0,nl34_z3_sigma0,Case Study 1,Split,0.0,80,8,0.061142400390721864
