case_study,line,side,rank,bus,ptdf
Case Study 1,11,positive,1,NL0 14,0.5958661306973952
Case Study 1,11,positive,2,NL0 28,0.5315626726964169
Case Study 1,11,positive,3,NL0 12,0.3496049747419688
Case Study 1,11,positive,4,NL0 31,0.2745496521811301
Case Study 1,11,positive,5,NL0 25,0.2674852916627749
Case Study 1,11,negative,1,NL0 26,-0.2568178633758781
Case Study 1,11,negative,2,NL0 4,-0.0127270730427262
Case Study 1,11,negative,3,NL0 20,-0.0095536449227131
Case Study 1,11,negative,4,NL0 24,-0.0020571173981899
Case Study 1,11,negative,5,NL0 10,-0.0011638989119848
Case Study 1,14,positive,1,NL0 15,0.0352616015248064
Case Study 1,14,positive,2,NL0 11,0.0303503610013599
Case Study 1,14,positive,3,NL0 1,0.0258498133780187
Case Study 1,14,positive,4,NL0 13,0.0218264469094692
Case Study 1,14,positive,5,NL0 9,0.0182381723842463
Case Study 1,14,negative,1,NL0 25,-0.5462474063364559
Case Study 1,14,negative,2,NL0 12,-0.3803812325533696
Case Study 1,14,negative,3,NL0 28,-0.2739639157957153
Case Study 1,14,negative,4,NL0 31,-0.2725526290146342
Case Study 1,14,negative,5,NL0 19,-0.246483307049037
Case Study 1,26,positive,1,NL0 20,0.8732517387551535
Case Study 1,26,positive,2,NL0 4,0.8311498499314555
Case Study 1,26,positive,3,NL0 26,0.8229199299696675
Case Study 1,26,positive,4,NL0 14,0.8179529300422532
Case Study 1,26,positive,5,NL0 28,0.8157848338519302
Case Study 1,26,negative,1,NL0 24,-0.0272917881611046
Case Study 1,26,negative,2,NL0 10,-0.0154414534507281
Case Study 1,26,negative,3,NL0 27,-0.0033054402886191
Case Study 1,26,negative,4,NL0 0,0.0
Case Study 1,26,negative,5,NL0 17,0.0061485768236317
Case Study 1,27,positive,1,NL0 20,0.1267482612448462
Case Study 1,27,positive,2,NL0 24,0.0272917881611046
Case Study 1,27,positive,3,NL0 10,0.0154414534507281
Case Study 1,27,positive,4,NL0 27,0.003305440288619
Case Study 1,27,positive,5,NL0 0,0.0
Case Study 1,27,negative,1,NL0 4,-0.8311498499314557
Case Study 1,27,negative,2,NL0 26,-0.8229199299696678
Case Study 1,27,negative,3,NL0 14,-0.8179529300422536
Case Study 1,27,negative,4,NL0 28,-0.8157848338519306
Case Study 1,27,negative,5,NL0 12,-0.8096498326560541
Case Study 1,34,positive,1,NL0 26,0.7431821366241216
Case Study 1,34,positive,2,NL0 14,0.5958661306973949
Case Study 1,34,positive,3,NL0 28,0.5315626726964165
Case Study 1,34,positive,4,NL0 12,0.3496049747419685
Case Study 1,34,positive,5,NL0 31,0.2745496521811298
Case Study 1,34,negative,1,NL0 4,-0.0127270730427264
Case Study 1,34,negative,2,NL0 20,-0.0095536449227133
Case Study 1,34,negative,3,NL0 24,-0.0020571173981899
Case Study 1,34,negative,4,NL0 10,-0.0011638989119849
Case Study 1,34,negative,5,NL0 27,-0.0002491474243555
Case Study 2,12,positive,1,NL0 14,0.4041338693026059
Case Study 2,12,positive,2,NL0 26,0.2568178633758791
Case Study 2,12,positive,3,NL0 4,0.0127270730427269
Case Study 2,12,positive,4,NL0 20,0.0095536449227136
Case Study 2,12,positive,5,NL0 24,0.00205711739819
Case Study 2,12,negative,1,NL0 28,-0.5315626726964157
Case Study 2,12,negative,2,NL0 12,-0.3496049747419678
Case Study 2,12,negative,3,NL0 31,-0.2745496521811291
Case Study 2,12,negative,4,NL0 25,-0.2674852916627739
Case Study 2,12,negative,5,NL0 19,-0.2564038049304286
Case Study 2,14,positive,1,NL0 15,0.0352616015248064
Case Study 2,14,positive,2,NL0 11,0.0303503610013599
Case Study 2,14,positive,3,NL0 1,0.0258498133780187
Case Study 2,14,positive,4,NL0 13,0.0218264469094692
Case Study 2,14,positive,5,NL0 9,0.0182381723842463
Case Study 2,14,negative,1,NL0 25,-0.5462474063364559
Case Study 2,14,negative,2,NL0 12,-0.3803812325533696
Case Study 2,14,negative,3,NL0 28,-0.2739639157957153
Case Study 2,14,negative,4,NL0 31,-0.2725526290146342
Case Study 2,14,negative,5,NL0 19,-0.246483307049037
Case Study 2,20,positive,1,NL0 17,0.5997006979460903
Case Study 2,20,positive,2,NL0 21,0.3223379346888984
Case Study 2,20,positive,3,NL0 18,0.3084707242207042
Case Study 2,20,positive,4,NL0 30,0.3023790445882057
Case Study 2,20,positive,5,NL0 29,0.2896761540276913
Case Study 2,20,negative,1,NL0 27,-0.3217886678511932
Case Study 2,20,negative,2,NL0 10,-0.2210054686315714
Case Study 2,20,negative,3,NL0 24,-0.1225946785325664
Case Study 2,20,negative,4,NL0 20,-0.0847224786648901
Case Study 2,20,negative,5,NL0 4,-0.0686904286745871
Case Study 2,23,positive,1,NL0 19,0.4685014839524895
Case Study 2,23,positive,2,NL0 31,0.2015049385942725
Case Study 2,23,positive,3,NL0 12,0.1201355415571829
