case_study,line,total_overload_index,maximum_overload_mw,overloaded_run_hours,runs_with_overload,scenarios_with_overload,overload_during_shedding_index,shedding_associated_with_overload_mw,rank_by_overload,rank_by_shedding_association
Case Study 1,0,0.0,0.0,0,0.0,0,0.0,0.0,24,20
Case Study 1,1,298045.4255330281,708.7836006950183,1262,103.0,6,264641.7999755775,2673449.7384633175,10,8
Case Study 1,10,94562.26592538282,419.40526763274056,451,32.0,2,94562.26592538282,1352684.7688786816,15,10
Case Study 1,11,6810930.800738876,1562.6875992002592,14359,370.0,6,3420614.927980045,6786120.407676088,4,4
Case Study 1,12,1867955.596708569,1204.889802848514,7402,390.0,6,829560.3022712984,4829456.39995403,7,7
Case Study 1,13,0.0,0.0,0,0.0,0,0.0,0.0,25,21
Case Study 1,14,6514134.066433576,1543.900097957679,13201,370.0,6,3388051.398202477,6763608.285757031,5,5
Case Study 1,15,15345.269451349017,254.0200131892807,154,27.0,3,13974.638142779399,289176.88050740235,20,18
Case Study 1,16,0.0,0.0,0,0.0,0,0.0,0.0,26,22
Case Study 1,17,12809.830071056816,306.1827380149066,89,35.0,5,0.0,0.0,21,23
Case Study 1,18,0.0,0.0,0,0.0,0,0.0,0.0,27,24
Case Study 1,19,350.6769710927497,140.6154043693332,5,3.0,2,0.0,0.0,22,25
Case Study 1,2,99171.35512206308,635.8853392958731,496,58.0,2,79401.28965443565,587591.2800561327,14,16
Case Study 1,20,110547.56576718626,508.0574163439719,941,233.0,6,3680.326135545775,73622.92088686214,13,19
Case Study 1,21,174.98111077764725,68.63549146417972,7,3.0,2,0.0,0.0,23,26
Case Study 1,22,0.0,0.0,0,0.0,0,0.0,0.0,28,27
Case Study 1,23,136205.85088235565,378.50040776564254,1792,157.0,5,55517.17512806245,1309067.2661024372,12,12
Case Study 1,24,29863.55151398432,167.3706062673673,545,98.0,4,21490.85487527908,479197.50949236925,19,17
Case Study 1,25,0.0,0.0,0,0.0,0,0.0,0.0,29,28
Case Study 1,26,12666301.756161455,3892.1178868048246,10308,368.0,6,8678585.82150401,6871877.6592461215,1,2
Case Study 1,27,11915028.161383238,4118.173814949977,9063,383.0,6,8682800.379345004,6803804.616423413,2,3
Case Study 1,28,0.0,0.0,0,0.0,0,0.0,0.0,30,29
Case Study 1,29,0.0,0.0,0,0.0,0,0.0,0.0,31,30
Case Study 1,3,91934.55290822845,737.8893519327885,473,65.0,3,90910.59712848921,1197187.9672697373,16,13
Case Study 1,30,0.0,0.0,0,0.0,0,0.0,0.0,32,31
Case Study 1,31,0.0,0.0,0,0.0,0,0.0,0.0,33,32
Case Study 1,32,0.0,0.0,0,0.0,0,0.0,0.0,34,33
Case Study 1,34,11780667.760236466,2254.4638409553363,16242,388.0,6,5923877.465691806,7009557.8123457385,3,1
Case Study 1,35,0.0,0.0,0,0.0,0,0.0,0.0,35,34
Case Study 1,36,0.0,0.0,0,0.0,0,0.0,0.0,36,35
Case Study 1,37,0.0,0.0,0,0.0,0,0.0,0.0,37,36
Case Study 1,38,0.0,0.0,0,0.0,0,0.0,0.0,38,37
Case Study 1,39,0.0,0.0,0,0.0,0,0.0,0.0,39,38
Case Study 1,4,169544.63287306973,567.4019233917206,899,156.0,6,159300.3301303452,2409827.3865217734,11,9
Case Study 1,40,36835.09447428156,558.8857324806313,235,37.0,2,36835.09447428156,925552.0465366743,17,14
Case Study 1,5,31185.23552537714,486.1148666923259,255,80.0,5,0.0,0.0,18,39
Case Study 1,6,417089.256953129,974.4773547232284,1343,76.0,3,296074.37431327446,1326148.2243749609,9,11
Case Study 1,7,1938945.325156561,1034.2835455843187,8026,277.0,6,869765.7305632835,4922185.897087271,6,6
Case Study 1,8,1047949.9414870198,751.6767264658562,5057,337.0,6,230779.1853554284,823943.6683041229,8,15
Case Study 1,9,0.0,0.0,0,0.0,0,0.0,0.0,40,40
Case Study 2,0,0.0,0.0,0,0.0,0,0.0,0.0,12,8
Case Study 2,1,0.0,0.0,0,0.0,0,0.0,0.0,13,9
Case Study 2,10,0.0,0.0,0,0.0,0,0.0,0.0,14,10
Case Study 2,11,9919.393880640373,201.0297534250202,134,106.0,4,9919.393880640373,90941.61788484786,8,6
Case Study 2,12,38500.1345019175,315.27999100557145,443,306.0,4,38500.1345019175,203541.46842210367,5,2
Case Study 2,13,0.0,0.0,0,0.0,0,0.0,0.0,15,11
Case Study 2,14,19816.332202503036,260.71474961616195,238,136.0,4,19816.332202503036,133837.19958439193,7,4
Case Study 2,15,0.0,0.0,0,0.0,0,0.0,0.0,16,12
Case Study 2,16,0.0,0.0,0,0.0,0,0.0,0.0,17,13
Case Study 2,17,0.0,0.0,0,0.0,0,0.0,0.0,18,14
Case Study 2,18,0.0,0.0,0,0.0,0,0.0,0.0,19,15
Case Study 2,19,0.0,0.0,0,0.0,0,0.0,0.0,20,16
Case Study 2,2,0.0,0.0,0,0.0,0,0.0,0.0,21,17
Case Study 2,20,202133.08105015208,346.3084149258775,2090,479.0,6,0.0,0.0,2,18
Case Study 2,21,0.0,0.0,0,0.0,0,0.0,0.0,22,19
Case Study 2,22,0.0,0.0,0,0.0,0,0.0,0.0,23,20
Case Study 2,23,9482.513777175765,209.85603397573448,139,103.0,4,9482.513777175765,91464.20838092464,9,5
Case Study 2,24,0.0,0.0,0,0.0,0,0.0,0.0,24,21
Case Study 2,25,0.0,0.0,0,0.0,0,0.0,0.0,25,22
Case Study 2,26,0.0,0.0,0,0.0,0,0.0,0.0,26,23
Case Study 2,27,0.0,0.0,0,0.0,0,0.0,0.0,27,24
Case Study 2,28,0.0,0.0,0,0.0,0,0.0,0.0,28,25
Case Study 2,29,3073.100900826929,126.75900977896208,37,22.0,2,0.0,0.0,10,26
Case Study 2,3,0.0,0.0,0,0.0,0,0.0,0.0,29,27
Case Study 2,30,0.0,0.0,0,0.0,0,0.0,0.0,30,28
Case Study 2,31,0.0,0.0,0,0.0,0,0.0,0.0,31,29
Case Study 2,32,0.0,0.0,0,0.0,0,0.0,0.0,32,30
Case Study 2,34,653.6781560298036,106.04069314834068,18,14.0,4,653.6781560298036,11029.636061866477,11,7
Case Study 2,35,0.0,0.0,0,0.0,0,0.0,0.0,33,31
Case Study 2,36,0.0,0.0,0,0.0,0,0.0,0.0,34,32
Case Study 2,37,0.0,0.0,0,0.0,0,0.0,0.0,35,33
Case Study 2,38,0.0,0.0,0,0.0,0,0.0,0.0,36,34
Case Study 2,39,0.0,0.0,0,0.0,0,0.0,0.0,37,35
Case Study 2,4,162417.8519198917,375.6036366098274,1290,465.0,6,0.0,0.0,3,36
Case Study 2,40,0.0,0.0,0,0.0,0,0.0,0.0,38,37
Case Study 2,5,286184.7903861414,362.77425051448427,2970,480.0,6,0.0,0.0,1,38
Case Study 2,6,0.0,0.0,0,0.0,0,0.0,0.0,39,39
