scenario,case_study,design,sigma,top_five_overload_share,total_overload_index_top_five
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,0.8951223083160427,169641.60428494902
cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,1.0,130532.80194819046
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,0.8922235481865145,131281.50224399718
cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,0.9999999999999999,114571.5697022575
cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,0.9062508411146524,150916.0407329916
cs2_nl34_z3_sigma75,Case Study 2,Split,0.75,0.8940154634166259,141170.9536813403
nl34_z1_sigma0,Case Study 1,Country-wide,,0.9078900920767027,32724212.972604215
nl34_z3_sigma0,Case Study 1,Split,0.0,0.6806992437432703,109502.10806097105
nl34_z3_sigma100,Case Study 1,Split,1.0,0.8893973097054816,10936177.358088717
nl34_z3_sigma25,Case Study 1,Split,0.25,0.8376390669970292,582105.4454838489
nl34_z3_sigma50,Case Study 1,Split,0.5,0.8200350971243451,1688978.5149989924
nl34_z3_sigma75,Case Study 1,Split,0.75,0.8124257591216275,3923791.148686518
