scenario,case_study,design,zone,bus,min_mw,median_mw,mean_mw,max_mw,build_runs,runs,build_share
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1,NL0 0,0.0,0.0,0.0,0.0,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1,NL0 10,0.0,0.0,7.627368070473043e-10,5.5657185527024955e-08,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1,NL0 16,0.0,0.0,1.1142953981746478e-08,8.798800195108929e-07,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1,NL0 17,0.0,0.0,2.41782127652357e-10,1.4000416825865622e-08,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1,NL0 18,0.0,0.0,1.0998500243886161e-08,8.798800195108929e-07,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1,NL0 20,0.0,0.0,1.1451967374398471e-09,5.577587458560632e-08,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1,NL0 21,0.0,0.0,1.3267213994083708e-10,5.4788458214716246e-09,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1,NL0 23,0.0,0.0,1.1107151953737575e-08,8.798800195108929e-07,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1,NL0 24,0.0,0.0,7.906122423406717e-10,5.5786824049164385e-08,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1,NL0 27,0.0,0.0,9.300593628580604e-11,7.440474902864483e-09,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1,NL0 3,0.0,0.0,1.1042979330966324e-08,8.798800195108929e-07,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1,NL0 30,0.0,0.0,1.1642891450946996e-08,8.798800195108929e-07,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1,NL0 33,0.0,0.0,1.2552591300092585e-08,8.798800195108929e-07,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1,NL0 8,0.0,0.0,9.049321292309288e-11,5.4797553161733975e-09,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,2,NL0 12,0.0,0.0,55.66999713469359,436.0076028511256,20,80,0.25
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,2,NL0 14,0.0,0.0,5.450095035984321,436.0076028511222,1,80,0.0125
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,2,NL0 15,0.0,0.0,159.4939156389609,436.0076028511805,38,80,0.475
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,2,NL0 19,0.0,0.0,41.72722922031008,436.0076028511411,13,80,0.1625
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,2,NL0 2,0.0,0.0,5.450095036766685,436.0076028511203,1,80,0.0125
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,2,NL0 25,0.0,0.0,19.763384065736965,436.00760285112256,13,80,0.1625
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,2,NL0 26,0.0,0.0,10.900190071431677,436.0076028511292,2,80,0.025
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,2,NL0 28,0.0,0.0,5.450095035982182,436.00760285112256,1,80,0.0125
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,2,NL0 31,0.0,0.0,1.9174817289524534e-10,1.5339853831619628e-08,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,2,NL0 4,0.0,0.0,132.10260159035678,436.0076028513562,35,80,0.4375
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,3,NL0 1,0.0,0.0,5.098262700897752e-10,3.5306346291008614e-08,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,3,NL0 11,0.0,0.0,6.851115230688269e-11,5.4808921845506145e-09,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,3,NL0 13,0.0,0.0,5.856413132221407e-10,3.529546077629676e-08,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,3,NL0 22,0.0,0.0,6.418656717244178e-11,5.134925373795342e-09,0,80,0.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,3,NL0 5,0.0,0.0,1.1438405533859002e-08,8.798800195108929e-07,0,80,0.0
