scenario,case_study,design,zone,min_mw,median_mw,mean_mw,max_mw
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1,0.0,0.0,7.174356746500603e-08,5.279280117065357e-06
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,2,436.0076019714444,436.0076028511212,436.0076028304149,436.0076029228054
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,3,0.0,0.0,3.821875205201055e-08,1.7598930561746337e-06
cs2_nl34_z3_sigma0,Case Study 2,Split,1,0.0,0.0,8.774077063916782e-08,3.469643889530973e-06
cs2_nl34_z3_sigma0,Case Study 2,Split,2,0.0,0.0,0.0,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,3,2400.1047541241683,2400.1047541590287,2400.104754165818,2400.104754737028
nl34_z1_sigma0,Case Study 1,Country-wide,1,0.0,0.0,2.1745782703641586e-06,0.00012738846635329543
nl34_z1_sigma0,Case Study 1,Country-wide,2,9999.99999998295,10000.0,9999.999999999787,10000.0
nl34_z1_sigma0,Case Study 1,Country-wide,3,4634.507597440854,4634.5076028511185,4634.507603633463,4634.507677361842
nl34_z3_sigma0,Case Study 1,Split,1,6601.546702524866,6601.546702524866,6601.546702524867,6601.546702524867
nl34_z3_sigma0,Case Study 1,Split,2,2421.309318529239,2421.309318529239,2421.309318529239,2421.309318529239
nl34_z3_sigma0,Case Study 1,Split,3,5678.104754159029,5678.104754159029,5678.104777817464,5678.106646833878
