case_study,run_id,line_idx,direction,ptdf_nonzero,top_ten_appearances,median_gap,maximum_gap
1,74,6,negative,33,5,5.255703658062073,27.295598394683022
1,26,2,negative,33,4,5.963995671465737,22.067003131876355
1,6,10,negative,33,4,5.094851118418557,50.95217551923047
1,69,40,positive,33,4,2.6450219940297632,35.30072671921592
1,76,7,negative,33,3,3.1489392841940744,114.92376034446303
1,37,25,positive,33,2,50.64543993002739,99.79188735843816
1,9,12,positive,33,2,12.47599317844855,21.677190088593147
1,34,23,negative,33,2,4.917740434245195,5.016238689926085
1,8,11,negative,33,2,4.503748496129974,7.317666954549976
1,48,3,negative,33,2,3.3369055259497102,4.575536087098103
1,18,16,negative,33,2,2.1603631685472022,2.7365137622053943
1,13,14,positive,33,2,1.920835438051189,2.3959709122626145
1,11,13,positive,33,2,1.8316268248538574,2.2607809311490628
1,47,3,positive,33,2,1.7004661012264628,1.9328526331327245
1,42,27,negative,33,2,1.1363090077720572,1.319694654176008
1,71,5,positive,33,1,4.917535322857647,4.917535322857647
1,28,20,negative,33,1,3.661134536944641,3.661134536944641
1,24,19,negative,33,1,2.130455356450641,2.130455356450641
1,25,2,positive,33,1,2.098329776610351,2.098329776610351
1,68,4,negative,33,1,1.7031618592267976,1.7031618592267976
1,75,7,positive,33,1,1.423710397558236,1.423710397558236
1,14,14,negative,33,1,1.3066931751948307,1.3066931751948307
1,65,39,positive,33,1,1.2036291178819682,1.2036291178819682
1,39,26,positive,33,1,1.1356525872747416,1.1356525872747416
1,55,34,positive,33,1,0.9966299161809524,0.9966299161809524
2,22,18,negative,33,5,688.4224937468919,733.5719203669829
2,61,37,positive,33,5,493.2183030887584,511.5820207212184
2,49,30,positive,33,5,362.3137706861585,375.8134558058062
2,52,31,negative,33,5,186.3185119749721,687.5453725322524
2,29,21,positive,33,3,950.9372420061344,1201.5496858815548
2,32,22,negative,33,3,734.4172028476361,927.9088021410194
2,51,31,positive,33,3,533.7698829912791,674.3263023407621
2,50,30,negative,33,3,198.6672387200905,250.81620653609863
2,67,4,positive,33,3,183.34557446960707,231.4523500586518
2,33,23,positive,33,2,414.12848586989134,571.770615457083
2,12,13,negative,33,2,413.67437509474007,570.8928218011722
2,14,14,negative,33,2,281.22083827651215,388.1780340289236
2,38,25,negative,33,2,244.23549686295252,337.26563493442245
2,36,24,negative,33,2,235.48819622512167,325.19554830162605
2,72,5,negative,33,2,163.95390434647345,171.8626165399332
2,54,32,negative,3,1,687877879.1014956,687877879.1014956
2,31,22,positive,33,1,546.7252508293637,546.7252508293637
2,75,7,positive,33,1,133.51805082798433,133.51805082798433
