run_id,weight_type,mpec_status,solve_time,gap,total_cap,market_cost,lambda_e_avg,ls_total,rd_status,rd_volume,rd_cost,curtailment,rd_up_vol,rd_down_vol,rd_cost_econ,curt_cost,lambda_c_z1,c_dem_z1,nu_c_z1,req_z1,net_import_z1,c_NL0 0 Invest,c_NL0 1 Invest,c_NL0 10 Invest,c_NL0 11 Invest,c_NL0 12 Invest,c_NL0 13 Invest,c_NL0 14 Invest,c_NL0 15 Invest,c_NL0 16 Invest,c_NL0 17 Invest,c_NL0 18 Invest,c_NL0 19 Invest,c_NL0 2 Invest,c_NL0 20 Invest,c_NL0 21 Invest,c_NL0 22 Invest,c_NL0 23 Invest,c_NL0 24 Invest,c_NL0 25 Invest,c_NL0 26 Invest,c_NL0 27 Invest,c_NL0 28 Invest,c_NL0 3 Invest,c_NL0 30 Invest,c_NL0 31 Invest,c_NL0 33 Invest,c_NL0 4 Invest,c_NL0 5 Invest,c_NL0 6 Invest,c_NL0 7 Invest,c_NL0 8 Invest,c_NL0 9 Invest,case_study,design,sigma,source,source_file,lambda_c_z2,c_dem_z2,nu_c_z2,req_z2,net_import_z2,lambda_c_z3,c_dem_z3,nu_c_z3,req_z3,net_import_z3,line_idx,direction,ptdf_nonzero,ptdf_density,finite_gap,target_gap_reached,time_limit_reached,density_class
1,ptdf_pos,TIME_LIMIT,120.33799982070924,1.0,436.0076028513295,2267910990.0726995,43.05303149294538,0.0,OPTIMAL,78955.114680455,3035236657.2325344,44033.77189985748,17460.671390298754,61494.44329015624,-3093603.857631908,3038330261.090166,5472.580872955331,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028513295,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,0,positive,33,0.9705882352941176,1.0,False,True,dense PTDF row
2,ptdf_neg,TIME_LIMIT,120.41100001335144,118.63691596575492,436.0076028511205,2267910990.072666,43.05303149294539,0.0,OPTIMAL,250683.73087942827,2813524504.30227,40818.82961592906,104932.4506317496,145751.28024767866,-2974739.1968354387,2816499243.499105,5472.580873014661,16722.707602851122,5472.580873014661,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,0,negative,33,0.9705882352941176,118.63691596575492,False,True,dense PTDF row
3,ptdf_pos,TIME_LIMIT,120.3710000514984,1.0,436.0076028509475,2267910990.072642,43.05303149294537,0.0,OPTIMAL,164864.81251463003,2813491162.6442814,40818.82961593033,62022.99144934986,102841.82106528018,-3008080.854911352,2816499243.4991927,5472.580873014774,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028509475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,1,positive,33,0.9705882352941176,1.0,False,True,dense PTDF row
4,ptdf_neg,TIME_LIMIT,120.51699995994568,51.96035761267044,436.0076028511203,2267910990.072668,43.053031492945365,0.0,OPTIMAL,198491.75157770247,3691083203.128459,53543.63076651991,72474.0604055913,126017.69117211118,-3427319.7614145624,3694510522.8898735,5472.580873014813,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,87.28251610841494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.72508674270534,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,1,negative,33,0.9705882352941176,51.96035761267044,False,True,dense PTDF row
5,ptdf_pos,TIME_LIMIT,120.35800004005432,36.584900514800125,436.0076028511805,2267910990.0726786,43.05303149294537,0.0,OPTIMAL,71891.34188741284,2813457476.655612,40818.82961592869,15536.25613574207,56355.08575167077,-3041766.8434679494,2816499243.49908,5472.580873014516,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,10,positive,33,0.9705882352941176,36.584900514800125,False,True,dense PTDF row
6,ptdf_neg,TIME_LIMIT,120.72199988365172,21.221385005366884,436.0076028511203,2267910990.072666,43.05303149294538,0.0,OPTIMAL,134884.35852561274,3035232581.8718314,44033.77189986714,45425.29331287282,89459.06521273994,-3097679.2190012727,3038330261.0908327,5472.580873014809,16722.707602851122,5472.580873014809,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511203,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,10,negative,33,0.9705882352941176,21.221385005366884,False,True,dense PTDF row
7,ptdf_pos,TIME_LIMIT,120.6949999332428,17.46874931798027,436.0076028511203,2267910990.0726643,43.05303149294538,0.0,OPTIMAL,326734.1619792023,7726749009.091588,112053.79327165188,107340.1843537752,219393.97762542707,-4962726.652391783,7731711735.743979,5472.580873014618,16722.707602851122,5472.580873014618,16722.70760285112,0.0,0.0,0.0,0.0,0.0,436.0076028511203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,11,positive,33,0.9705882352941176,17.46874931798027,False,True,dense PTDF row
8,ptdf_neg,TIME_LIMIT,120.7039999961853,1.5235088494504976,436.0076028511292,2267910990.072669,43.05303149294538,0.0,OPTIMAL,174779.98772774436,4810750990.439757,69789.31319826306,52495.33726474065,122284.65046300372,-4711620.240393659,4815462610.680151,5472.5808730146255,16722.707602851122,5472.5808730146255,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,11,negative,33,0.9705882352941176,1.5235088494504976,False,True,dense PTDF row
9,ptdf_pos,TIME_LIMIT,120.64100003242493,2.897170348392932,436.0076028511222,2267910990.072667,43.05303149294538,0.0,OPTIMAL,222161.19717355585,6487197208.655208,94111.6525666242,64024.772303465805,158136.42487009,-6506818.441861661,6493704027.09707,5472.58087301472,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,12,positive,33,0.9705882352941176,2.897170348392932,False,True,dense PTDF row
10,ptdf_neg,TIME_LIMIT,120.6689999103546,13.55970596001828,436.0076028511203,2267910990.072668,43.05303149294538,0.0,OPTIMAL,296906.4229437697,7726744904.350217,112053.79327165188,92426.31483605893,204480.1081077108,-4966831.393762497,7731711735.743979,5472.580873014544,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,436.0076028511203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,12,negative,33,0.9705882352941176,13.55970596001828,False,True,dense PTDF row
