case_study,design,sigma,runs,target_gap_runs,time_limit_runs,no_finite_gap,median_finite_gap,maximum_finite_gap,median_solve_time_s
1,z1,0.0,80,9,71,1,1.2266902066348166,166.7661436293791,220.6065001487732
1,z3,0.0,80,21,59,0,0.14560219312813472,35.30072671921592,220.45899999141687
1,z3,0.25,80,12,68,0,0.37956275350781254,8.119686379791068,220.53550004959106
1,z3,0.5,80,10,70,0,0.34799564334403044,5.255703658062073,220.61150002479556
1,z3,0.75,80,10,70,0,0.48844846086212246,114.92376034446303,220.62449991703033
1,z3,1.0,80,10,70,0,0.7517792520418927,99.79188735843816,220.64650011062622
2,z1,0.0,80,9,71,1,21.221385005366884,1095.7191559051803,120.5864999294281
2,z3,0.0,80,11,69,1,7.268624537550386,702.1436516861435,120.48800015449524
2,z3,0.25,80,11,69,1,15.226253718973268,687.5453725322524,120.53500008583069
2,z3,0.5,80,9,71,1,15.04595347035874,1201.5496858815548,120.5365000963211
2,z3,0.75,80,9,71,0,20.929898311197356,687877879.1014956,120.60199999809264
2,z3,1.0,80,9,71,1,18.54699677557547,950.9372420061344,120.59800004959106
