run_id,weight_type,mpec_status,solve_time,gap,total_cap,market_cost,lambda_e_avg,ls_total,rd_status,rd_volume,rd_cost,curtailment,rd_up_vol,rd_down_vol,rd_cost_econ,curt_cost,lambda_c_z1,c_dem_z1,nu_c_z1,req_z1,net_import_z1,c_NL0 0 Invest,c_NL0 1 Invest,c_NL0 10 Invest,c_NL0 11 Invest,c_NL0 12 Invest,c_NL0 13 Invest,c_NL0 14 Invest,c_NL0 15 Invest,c_NL0 16 Invest,c_NL0 17 Invest,c_NL0 18 Invest,c_NL0 19 Invest,c_NL0 2 Invest,c_NL0 20 Invest,c_NL0 21 Invest,c_NL0 22 Invest,c_NL0 23 Invest,c_NL0 24 Invest,c_NL0 25 Invest,c_NL0 26 Invest,c_NL0 27 Invest,c_NL0 28 Invest,c_NL0 3 Invest,c_NL0 30 Invest,c_NL0 31 Invest,c_NL0 33 Invest,c_NL0 4 Invest,c_NL0 5 Invest,c_NL0 6 Invest,c_NL0 7 Invest,c_NL0 8 Invest,c_NL0 9 Invest
1,ptdf_pos,TIME_LIMIT,120.33799982070923,1.0,436.00760285132947,2.2679109900726995e9,43.05303149294538,0.0,OPTIMAL,78955.114680455,3.0352366572325344e9,44033.77189985748,17460.671390298754,61494.44329015624,-3.0936038576319073e6,3.038330261090166e9,5472.580872955331,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.00760285132947,0.0,0.0,0.0,0.0,0.0
2,ptdf_neg,TIME_LIMIT,120.41100001335144,118.63691596575492,436.0076028511205,2.2679109900726666e9,43.05303149294539,0.0,OPTIMAL,250683.73087942827,2.81352450430227e9,40818.82961592906,104932.4506317496,145751.28024767866,-2.9747391968354387e6,2.8164992434991055e9,5472.580873014661,16722.707602851122,5472.580873014661,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ptdf_pos,TIME_LIMIT,120.37100005149841,1.0,436.0076028509475,2.267910990072642e9,43.05303149294537,0.0,OPTIMAL,164864.81251463003,2.8134911626442814e9,40818.82961593033,62022.99144934986,102841.82106528018,-3.0080808549113516e6,2.8164992434991927e9,5472.580873014774,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028509475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ptdf_neg,TIME_LIMIT,120.51699995994568,51.960357612670435,436.0076028511203,2.267910990072668e9,43.053031492945365,0.0,OPTIMAL,198491.75157770247,3.691083203128459e9,53543.630766519906,72474.0604055913,126017.69117211118,-3.4273197614145624e6,3.6945105228898735e9,5472.580873014813,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,87.28251610841494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.72508674270534,0.0,0.0,0.0,0.0,0.0
5,ptdf_pos,TIME_LIMIT,120.35800004005432,36.584900514800125,436.00760285118054,2.2679109900726786e9,43.05303149294537,0.0,OPTIMAL,71891.34188741284,2.813457476655612e9,40818.82961592869,15536.25613574207,56355.08575167077,-3.0417668434679494e6,2.8164992434990797e9,5472.580873014516,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.00760285118054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ptdf_neg,TIME_LIMIT,120.72199988365173,21.221385005366884,436.0076028511203,2.2679109900726666e9,43.05303149294538,0.0,OPTIMAL,134884.35852561274,3.0352325818718314e9,44033.77189986714,45425.29331287282,89459.06521273994,-3.0976792190012727e6,3.0383302610908327e9,5472.580873014809,16722.707602851122,5472.580873014809,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511203,0.0,0.0,0.0,0.0,0.0
7,ptdf_pos,TIME_LIMIT,120.6949999332428,17.46874931798027,436.0076028511203,2.2679109900726643e9,43.05303149294538,0.0,OPTIMAL,326734.1619792023,7.726749009091588e9,112053.79327165187,107340.18435377521,219393.97762542707,-4.962726652391783e6,7.731711735743979e9,5472.580873014618,16722.707602851122,5472.580873014618,16722.70760285112,0.0,0.0,0.0,0.0,0.0,436.0076028511203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ptdf_neg,TIME_LIMIT,120.7039999961853,1.5235088494504976,436.0076028511292,2.2679109900726686e9,43.05303149294538,0.0,OPTIMAL,174779.98772774436,4.810750990439757e9,69789.31319826306,52495.33726474065,122284.65046300371,-4.711620240393659e6,4.815462610680151e9,5472.5808730146255,16722.707602851122,5472.5808730146255,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ptdf_pos,TIME_LIMIT,120.64100003242493,2.897170348392932,436.0076028511222,2.267910990072667e9,43.05303149294538,0.0,OPTIMAL,222161.19717355582,6.487197208655208e9,94111.6525666242,64024.772303465805,158136.42487009,-6.506818441861661e6,6.49370402709707e9,5472.58087301472,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,ptdf_neg,TIME_LIMIT,120.66899991035461,13.55970596001828,436.0076028511203,2.2679109900726676e9,43.05303149294538,0.0,OPTIMAL,296906.4229437697,7.726744904350217e9,112053.79327165187,92426.31483605891,204480.1081077108,-4.966831393762497e6,7.731711735743979e9,5472.580873014544,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,436.0076028511203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,ptdf_pos,TIME_LIMIT,120.37399983406067,10.637201726502234,436.0076028510134,2.2679109900726647e9,43.05303149294538,0.0,OPTIMAL,224227.04071870603,2.8135285388174314e9,40818.82961593477,91704.10555138563,132522.9351673204,-2.970704682067275e6,2.816499243499499e9,5472.580873011287,16722.707602851122,5472.580873011287,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028510134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,ptdf_neg,TIME_LIMIT,120.64800000190735,9.127319113126504,436.0076028511203,2.2679109900726676e9,43.15731403493141,0.0,OPTIMAL,165006.70064484328,6.492312823795642e9,94203.67044859311,35401.515098125084,129605.18554671819,-7.740437157283196e6,6.500053260952925e9,4559.065804915283,16722.707602851122,4559.065804915283,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,ptdf_pos,TIME_LIMIT,120.37800002098083,10.637201726499327,436.0076028511212,2.267910990072667e9,43.05303149294538,0.0,OPTIMAL,138191.1599050839,2.8134573640599785e9,40818.82961592899,48686.16514457746,89504.99476050645,-3.0418794391215993e6,2.8164992434991e9,5472.5808730146255,16722.707602851122,5472.5808730146255,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,ptdf_neg,TIME_LIMIT,120.44000005722046,8.805214889302217,436.0076028511212,2.2679109900726643e9,43.05303149294538,0.0,OPTIMAL,198746.76188753833,4.89964709896364e9,71069.94998895201,63838.40594929317,134908.35593824516,-4.179450274048791e6,4.903826549237689e9,5472.5808730146455,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,ptdf_pos,TIME_LIMIT,120.44199991226196,20.683128113728028,436.00760285112347,2.267910990072668e9,43.05303149294537,0.0,OPTIMAL,196102.70951088166,2.813457203177451e9,40818.82961592894,77641.93994747635,118460.76956340531,-3.0420403216456054e6,2.816499243499097e9,5472.580873014627,16722.707602851122,5472.580873014627,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.00760285112347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ptdf_neg,TIME_LIMIT,120.58599996566772,3.6405505172740056,436.0076028511203,2.267910990072667e9,43.05303149294538,0.0,OPTIMAL,110717.1242966539,3.0352314989784923e9,44033.77189986714,33341.67619839338,77375.44809826052,-3.098762112340372e6,3.0383302610908327e9,5472.58087301482,16722.707602851122,5472.58087301482,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511203,0.0,0.0,0.0,0.0,0.0
17,ptdf_pos,TIME_LIMIT,120.44599986076355,50.71737258673073,436.0076028511222,2.2679109900726657e9,43.05303149294538,0.0,OPTIMAL,153791.18294278765,2.813548770160937e9,40818.82961592893,56486.17666342936,97305.00627935829,-2.950473338159346e6,2.8164992434990964e9,5472.580872989789,16722.707602851122,5472.580872989789,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
