run_id,weight_type,mpec_status,solve_time,gap,total_cap,market_cost,lambda_e_avg,ls_total,rd_status,rd_volume,rd_cost,curtailment,rd_up_vol,rd_down_vol,rd_cost_econ,curt_cost,lambda_c_z1,c_dem_z1,nu_c_z1,req_z1,net_import_z1,lambda_c_z2,c_dem_z2,nu_c_z2,req_z2,net_import_z2,lambda_c_z3,c_dem_z3,nu_c_z3,req_z3,net_import_z3,c_NL0 0 Invest,c_NL0 1 Invest,c_NL0 10 Invest,c_NL0 11 Invest,c_NL0 12 Invest,c_NL0 13 Invest,c_NL0 14 Invest,c_NL0 15 Invest,c_NL0 16 Invest,c_NL0 17 Invest,c_NL0 18 Invest,c_NL0 19 Invest,c_NL0 2 Invest,c_NL0 20 Invest,c_NL0 21 Invest,c_NL0 22 Invest,c_NL0 23 Invest,c_NL0 24 Invest,c_NL0 25 Invest,c_NL0 26 Invest,c_NL0 27 Invest,c_NL0 28 Invest,c_NL0 3 Invest,c_NL0 30 Invest,c_NL0 31 Invest,c_NL0 33 Invest,c_NL0 4 Invest,c_NL0 5 Invest,c_NL0 6 Invest,c_NL0 7 Invest,c_NL0 8 Invest,c_NL0 9 Invest
1,ptdf_pos,OPTIMAL,7.696000099182129,0.0,2400.1047541590287,2.313409149258941e9,40.40220154435275,0.0,OPTIMAL,85132.08944824353,12967.753331577871,0.0,42566.04472412176,42566.04472412176,12967.753331577871,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,2560.309318529236,0.0,2560.309318529239,0.0,34087.40298971257,7001.104754159029,34087.40298971257,7001.104754159029,0.0,0.0,1000.0,0.0,1000.0,0.0,400.10475415902874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ptdf_neg,TIME_LIMIT,120.53999996185303,7.268624537550386,2400.1047541590287,2.313409149258941e9,40.402201544352764,0.0,OPTIMAL,140745.81784209274,13632.738102612086,0.0,70372.90892104637,70372.90892104637,13632.738102612086,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,2560.309318529239,0.0,2560.309318529239,0.0,34087.40298971259,7001.104754159029,34087.40298971259,7001.104754159029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.10475415902874,0.0,1000.0,0.0,0.0
3,ptdf_pos,OPTIMAL,9.365000009536743,0.0,2400.1047541590287,2.3134091492589417e9,40.40220154435273,0.0,OPTIMAL,134198.39753518725,14484.123916221783,0.0,67099.19876759363,67099.19876759364,14484.123916221783,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,2560.309318529236,0.0,2560.309318529239,0.0,34087.40298971267,7001.104754159029,34087.40298971267,7001.104754159029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.10475415902874,0.0,1000.0,0.0,0.0
4,ptdf_neg,TIME_LIMIT,120.39300012588501,10.588338099726883,2400.1047541590287,2.313409149258941e9,40.40220154435274,0.0,OPTIMAL,146212.24910753503,14609.503999720793,0.0,73106.12455376751,73106.12455376751,14609.503999720793,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,3480.0,0.0,2560.309318529239,0.0,34087.402989710274,7001.104754159029,34087.402989710274,7001.104754159029,0.0,0.0,1000.0,0.0,1000.0,0.0,400.10475415902874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ptdf_pos,TIME_LIMIT,120.57499980926514,2.1382352820130057,2400.1047541590287,2.313409149258942e9,40.40220154435274,0.0,OPTIMAL,204911.06117397817,17676.489054745995,0.0,102455.53058698909,102455.53058698909,17676.489054745995,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,4419.5,0.0,2560.309318529239,0.0,34087.40298962152,7001.104754159029,34087.40298962152,7001.104754159029,0.0,0.0,1000.0,0.0,400.10475415902874,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ptdf_neg,TIME_LIMIT,120.47200012207031,0.8990846400905732,2400.1047541590287,2.313409149258941e9,40.40220154435274,0.0,OPTIMAL,99144.52506591595,12967.753331578337,0.0,49572.262532957975,49572.262532957975,12967.753331578337,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,2560.309318529239,0.0,2560.309318529239,0.0,34087.402989712675,7001.104754159029,34087.402989712675,7001.104754159029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.10475415902874,1000.0,0.0,0.0,1000.0
7,ptdf_pos,TIME_LIMIT,120.38299989700317,24.310949610165164,2400.1047541590287,2.313409149258941e9,40.402201544352764,0.0,OPTIMAL,148559.4617723626,12967.753331578337,0.0,74279.7308861813,74279.7308861813,12967.753331578337,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,3377.0,0.0,2560.309318529239,0.0,34087.40298971258,7001.104754159029,34087.40298971258,7001.104754159029,0.0,0.0,1000.0,0.0,1000.0,0.0,400.10475415902874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ptdf_neg,TIME_LIMIT,120.3420000076294,12.288156483352463,2400.1047541590287,2.313409149258941e9,40.40220154435274,0.0,OPTIMAL,148176.9522631064,16670.674957243726,0.0,74088.4761315532,74088.4761315532,16670.674957243726,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,2560.309318529239,0.0,2560.309318529239,0.0,34087.40298971255,7001.104754159029,34087.40298971255,7001.104754159029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.10475415902874,0.0,1000.0,0.0,0.0
9,ptdf_pos,TIME_LIMIT,120.65700006484985,29.903679758298917,2400.1047541590287,2.313409149258941e9,40.402201544352735,0.0,OPTIMAL,123377.89289248848,12967.753331578337,0.0,61688.94644624424,61688.94644624424,12967.753331578337,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,4419.5,0.0,2560.309318529239,0.0,34087.40298971255,7001.104754159029,34087.40298971255,7001.104754159029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.10475415902874,0.0,1000.0,0.0,0.0
10,ptdf_neg,TIME_LIMIT,120.5569999217987,18.944343924667916,2400.1047541590287,2.313409149258941e9,40.402201544352764,0.0,OPTIMAL,148302.10216427565,16687.15486810403,0.0,74151.05108213784,74151.05108213783,16687.15486810403,0.0,0.0,7227.746702524866,0.0,7227.746702524866,0.0,0.0,3480.0,0.0,2560.309318529239,0.0,34087.40298971125,7001.104754159029,34087.40298971125,7001.104754159029,0.0,0.0,1000.0,0.0,1000.0,0.0,400.10475415902874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
