run_id,zone,d_c_z,net_import,req_z,c_dem,lambda_c_z,nu_c,rho
1,1,7227.746702524866,-38.45329747544747,7266.200000000314,7266.2,5975.333557227215,5975.333557227234,0.0
1,2,2560.309318529239,-2338.890358961291,4899.19967749053,4899.199677490895,5975.333557227215,5975.333557227215,0.0
1,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584405,11368.885316584405,0.0
2,1,7227.746702524866,-38.45329747513483,7266.200000000001,7266.2,5975.333557227193,5975.333557227193,0.0
2,2,2560.309318529239,-2338.890358961604,4899.199677490843,4899.199677490843,5975.333557227193,5975.333557227193,0.0
2,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584294,11368.885316584294,0.0
3,1,7227.746702524866,-38.453297524191385,7266.200000049058,7266.2,5975.333557227064,5975.333557227064,0.0
3,2,2560.309318529239,-2338.890358912547,4899.199677441786,4899.199677441787,5975.333557227064,5975.333557227064,0.0
3,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584192,11368.885316584281,0.0
4,1,7227.746702524866,-38.453297476267835,7266.200000001134,7266.2,5975.333557227144,5975.333557227144,0.0
4,2,2560.309318529239,-2338.8903589604706,4899.19967748971,4899.199677490911,5975.333557227144,5975.333557227144,0.0
4,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584263,11368.885316584263,0.0
5,1,7227.746702524866,-38.45329747524943,7266.200000000115,7266.2,5975.3335572271335,5975.33355722711,0.0
5,2,2560.309318529239,-2338.8903589614893,4899.199677490728,4899.199677490756,5975.3335572271335,5975.333557227142,0.0
5,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584285,11368.885316584285,0.0
6,1,7227.746702524866,-38.453297475134605,7266.200000000001,7266.2,5975.333557225582,5975.333557138936,0.0
6,2,2560.309318529239,-2338.890358961604,4899.199677490843,4899.1996774907475,5975.333557225582,5975.333557139147,0.0
6,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.88531658279,11368.885316582535,0.0
7,1,7227.746702524866,-38.453297475199406,7266.200000000065,7266.2,5975.333557227057,5975.333557227057,0.0
7,2,2560.309318529239,-2338.8903589615393,4899.199677490778,4899.1996774907175,5975.333557227057,5975.333557227057,0.0
7,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584252,11368.885316584252,0.0
8,1,7227.746702524866,-38.45329747562323,7266.200000000489,7266.2,5975.3335572271735,5975.333557226872,0.0
8,2,2560.309318529239,-2338.8903589611155,4899.199677490355,4899.199677490587,5975.3335572271735,5975.3335572271735,0.0
8,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584214,11368.885316584303,0.0
9,1,7227.746702524866,-38.45329747516939,7266.200000000035,7266.2,5975.333557227128,5975.33355714155,0.0
9,2,2560.309318529239,-2338.8903589615693,4899.199677490808,4899.199677490775,5975.333557227128,5975.333557227128,0.0
9,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584325,11368.885316584325,0.0
10,1,7227.746702524866,-38.45329747515052,7266.200000000016,7266.2,5975.3335572042915,5975.3335572042915,0.0
10,2,2560.309318529239,-2338.890358961588,4899.1996774908275,4899.1996774908275,5975.3335572042915,5975.3335572042915,0.0
10,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.76109772229,11368.885316584241,11368.885316584241,0.0
11,1,7227.746702524866,-38.45329747519827,7266.200000000064,7266.2,5975.333557227107,5975.333557227107,0.0
11,2,2560.309318529239,-2338.89035896154,4899.199677490779,4899.199677490765,5975.333557227107,5975.333557227107,0.0
11,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.8853165843,11368.8853165843,0.0
12,1,7227.746702524866,-38.453297475134605,7266.200000000001,7266.2,5975.333557227182,5975.333557225694,0.0
12,2,2560.309318529239,-2338.890358961604,4899.199677490843,4899.199677490842,5975.3335572249,5975.333557225362,0.0
12,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316582677,11368.885316582942,0.0
13,1,7227.746702524866,-38.45329747513438,7266.200000000001,7266.2,5975.33355722711,5975.33355722711,0.0
13,2,2560.309318529239,-2338.890358961604,4899.199677490843,4899.1996774908475,5975.33355722711,5975.33355722711,0.0
13,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316583772,11368.885316583772,0.0
14,1,7227.746702524866,-38.453297475154386,7266.200000000021,7266.2,5975.333557227125,5975.333557227125,0.0
14,2,2560.309318529239,-2338.890358961584,4899.199677490823,4899.199677490823,5975.333557227125,5975.333557227125,0.0
14,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584248,11368.885316584248,0.0
15,1,7227.746702524866,-38.453297475314,7266.20000000018,7266.2,5975.333557227112,5975.333557227112,0.0
15,2,2560.309318529239,-2338.8903589614247,4899.199677490664,4899.199677491003,5975.333557227112,5975.333557227112,0.0
15,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584214,11368.885316584214,0.0
16,1,7227.746702524866,-38.45329747533492,7266.200000000201,7266.2,5975.333557227006,5975.333557227006,0.0
16,2,2560.309318529239,-2338.8903589614038,4899.199677490643,4899.1996774909785,5975.333557227006,5975.333557227006,0.0
16,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.88531658416,11368.88531658416,0.0
17,1,7227.746702524866,-38.453297475072304,7266.199999999938,7266.2,5975.333557227163,5975.333557227251,0.0
17,2,2560.309318529239,-2338.890358961666,4899.199677490906,4899.199677490815,5975.33355722699,5975.333557227205,0.0
17,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584214,11368.885316584214,0.0
18,1,7227.746702524866,-38.45329747509459,7266.199999999961,7266.2,5975.333557227096,5975.333557227096,0.0
18,2,2560.309318529239,-2338.890358961644,4899.199677490883,4899.199677490892,5975.333557227096,5975.333557225775,0.0
18,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584347,11368.885316584347,0.0
19,1,7227.746702524866,-38.45329747517553,7266.200000000042,7266.2,5975.333557227168,5975.333557227168,0.0
19,2,2560.309318529239,-2338.890358961563,4899.199677490802,4899.199677490735,5975.333557227168,5975.333557227168,0.0
19,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584368,11368.885316584368,0.0
20,1,7227.746702524866,-38.453297475306044,7266.200000000173,7266.2,5975.333557226077,5975.333557226077,0.0
20,2,2560.309318529239,-2338.8903589614324,4899.199677490671,4899.199677490654,5975.333557226077,5975.333557226077,0.0
20,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316571077,11368.885316571077,0.0
21,1,7227.746702524866,-38.453297475212366,7266.200000000078,7266.2,5975.3335572266315,5975.333557226705,0.0
21,2,2560.309318529239,-2338.890358961526,4899.199677490766,4899.199677490786,5975.333557226634,5975.33355722665,0.0
21,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.88531658426,11368.88531658426,0.0
22,1,7227.746702524866,-38.453297475311956,7266.200000000178,7266.2,5975.333557227136,5975.333557227136,0.0
22,2,2560.309318529239,-2338.8903589614265,4899.199677490666,4899.199677490845,5975.333557227136,5975.333557227136,0.0
22,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584154,11368.885316584154,0.0
23,1,7227.746702524866,-38.45329747532105,7266.200000000187,7266.2,5975.3335571374055,5975.3335571374055,0.0
23,2,2560.309318529239,-2338.8903589614174,4899.1996774906565,4899.1996774909785,5975.333557137671,5975.333557137671,0.0
23,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316497275,11368.885316497275,0.0
24,1,7227.746702524866,-38.453297475167346,7266.2000000000335,7266.2,5975.333557136081,5975.333557136206,0.0
24,2,2560.309318529239,-2338.890358961571,4899.19967749081,4899.199677490811,5975.33355713651,5975.333557136374,0.0
24,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584265,11368.885316584265,0.0
25,1,7227.746702524866,-38.4532974753331,7266.200000000199,7266.2,5975.333557226227,5975.333557226227,0.0
25,2,2560.309318529239,-2338.8903589614056,4899.199677490645,4899.19967749098,5975.333557226227,5975.333557226227,0.0
25,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584234,11368.885316584234,0.0
26,1,7227.746702524866,-38.45329747514461,7266.200000000011,7266.2,5975.333557224783,5975.333557224864,0.0
26,2,2560.309318529239,-2338.890358961594,4899.199677490833,4899.199677490752,5975.333557224882,5975.333557224882,0.0
26,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316582673,11368.88531658193,0.0
27,1,7227.746702524866,-38.4532974751678,7266.200000000034,7266.2,5975.333557227485,5975.333557227485,0.0
27,2,2560.309318529239,-2338.8903589615707,4899.199677490809,4899.19967749081,5975.333557227485,5975.333557227485,0.0
27,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722291,11368.885316583837,11368.885316583837,0.0
28,1,7227.746702524866,-38.45329749776465,7266.200000022631,7266.200000022548,5975.333557229355,5975.333557229355,0.0
28,2,2560.309318529239,-2338.890358938974,4899.199677468213,4899.199677468224,5975.333557229355,5975.333557229355,0.0
