variable,min,max,mean,median,std
total_cap,14634.507602851118,14634.50760285112,14634.50760285112,14634.50760285112,6.431098710768743e-13
market_cost,3.0434163816352615e9,3.043416381635266e9,3.0434163816352625e9,3.0434163816352615e9,1.7026492186886908e-6
lambda_e_avg,40.18282306038072,40.18282306038072,40.18282306038072,40.18282306038072,0.0
ls_total,0.0,0.0,0.0,0.0,0.0
rd_volume,2.4820085896076836e7,2.70123320667025e7,2.6718420302330986e7,2.70123320667025e7,727466.3775066298
rd_cost,2.2264275066048737e11,2.7133734077109164e11,2.3609854499007083e11,2.329866876398655e11,1.3650168141421965e10
curtailment,3.2288168596255034e6,3.9348750464260876e6,3.4239390067584813e6,3.3788227363963923e6,197919.37559669884
rd_up_vol,1.0442605424825363e7,1.181675466515305e7,1.1647240647786252e7,1.181675466515305e7,454507.4768377747
rd_down_vol,1.4377480471251475e7,1.519557740154945e7,1.5071179654544737e7,1.519557740154945e7,278590.4849742061
rd_cost_econ,-1.6903743230841464e8,-1.4561265367235613e8,-1.5324647626441857e8,-1.520811714855709e8,6.296180258138016e6
curt_cost,2.2278836331415973e11,2.7150637820340005e11,2.3625179146633527e11,2.3313876881135107e11,1.3656436916172222e10
lambda_c_z1,53935.51759343587,53935.51759343587,53935.51759343588,53935.51759343587,7.71731845292249e-12
c_dem_z1,16722.70760285112,16722.70760285112,16722.70760285112,16722.70760285112,0.0
nu_c_z1,0.0,0.0,0.0,0.0,0.0
req_z1,16722.70760285112,16722.70760285112,16722.70760285112,16722.70760285112,0.0
net_import_z1,0.0,0.0,0.0,0.0,0.0
c_NL0 0 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 1 Invest,533.0101828220465,564.7446658974964,545.8268963762421,544.9553169523765,8.119942309172663
c_NL0 10 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 11 Invest,465.00887396520193,602.8203368263271,481.9916827180602,465.00887396520193,45.58271709026885
c_NL0 12 Invest,1000.0,1000.0,1000.0,1000.0,0.0
c_NL0 13 Invest,471.17287174436456,764.6818877821147,723.5487116179952,764.6818877821147,97.98047568527433
c_NL0 14 Invest,1000.0,1000.0,1000.0,1000.0,0.0
c_NL0 15 Invest,1000.0,1000.0,1000.0,1000.0,0.0
c_NL0 16 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 17 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 18 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 19 Invest,1000.0,1000.0,1000.0,1000.0,0.0
c_NL0 2 Invest,1000.0,1000.0,1000.0,1000.0,0.0
c_NL0 20 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 21 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 22 Invest,457.9137837282733,658.8458379097419,488.3448326847631,457.9137837282733,68.33792223097595
c_NL0 23 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 24 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 25 Invest,1000.0,1000.0,1000.0,1000.0,0.0
c_NL0 26 Invest,1000.0,1000.0,1000.0,1000.0,0.0
c_NL0 27 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 28 Invest,1000.0,1000.0,1000.0,1000.0,0.0
c_NL0 3 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 30 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 31 Invest,1000.0,1000.0,1000.0,1000.0,0.0
c_NL0 33 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 4 Invest,1000.0,1000.0,1000.0,1000.0,0.0
c_NL0 5 Invest,542.3878381289526,769.8461471719233,739.293553506646,769.8461471719233,75.4932215387225
c_NL0 6 Invest,279.3619283044868,711.1502324177495,354.81566039616206,279.3619283044868,156.6671257119072
c_NL0 7 Invest,0.0,1000.0,795.457789217071,879.8743004219482,300.9305654893875
c_NL0 8 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 9 Invest,472.8653645247937,686.623098229617,505.2284763341791,472.8653645247937,72.69273693096177
