run_id,zone_a,zone_b,bound,f_ab,phi_lo,phi_hi,at_bound
1,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
1,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
1,2,3,0.0,0.0,5393.551759356946,0.0,upper
2,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
2,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
2,2,3,0.0,0.0,5393.551759356946,0.0,upper
3,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
3,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
3,2,3,0.0,0.0,5393.551759356946,0.0,upper
4,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
4,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
4,2,3,0.0,0.0,5393.551759356946,0.0,upper
5,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
5,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
5,2,3,0.0,0.0,5393.551759356946,0.0,upper
6,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
6,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
6,2,3,0.0,0.0,5393.551759356946,0.0,upper
7,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
7,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
7,2,3,0.0,0.0,5393.551759356946,0.0,upper
8,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
8,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
8,2,3,0.0,0.0,5393.551759356946,0.0,upper
9,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
9,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
9,2,3,0.0,0.0,5393.551759356946,0.0,upper
10,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
10,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
10,2,3,0.0,0.0,5393.551759356946,0.0,upper
11,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
11,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
11,2,3,0.0,0.0,5393.551759356946,0.0,upper
12,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
12,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
12,2,3,0.0,0.0,5393.551759356946,0.0,upper
13,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
13,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
13,2,3,0.0,0.0,5393.551759356946,0.0,upper
14,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
14,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
14,2,3,0.0,0.0,5393.551759356946,0.0,upper
15,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
15,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
15,2,3,0.0,0.0,5393.551759356946,0.0,upper
16,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
16,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
16,2,3,0.0,0.0,5393.551759356946,0.0,upper
17,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
17,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
17,2,3,0.0,0.0,5393.551759356946,0.0,upper
18,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
18,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
18,2,3,0.0,0.0,5393.551759356946,0.0,upper
19,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
19,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
19,2,3,0.0,0.0,5393.551759356946,0.0,upper
20,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
20,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
20,2,3,0.0,0.0,5393.551759356946,0.0,upper
21,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
21,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
21,2,3,0.0,0.0,5393.551759356946,0.0,upper
22,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
22,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
22,2,3,0.0,0.0,5393.551759356946,0.0,upper
23,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
23,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
23,2,3,0.0,0.0,5393.551759356946,0.0,upper
24,1,2,0.0,0.0,107871.0351871437,118658.1387058575,upper
24,1,3,0.0,0.0,0.0,5393.590470623523,upper
24,2,3,0.0,0.0,118658.1387058575,113264.62565776723,upper
25,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
25,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
25,2,3,0.0,0.0,5393.551759356946,0.0,upper
26,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
26,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
26,2,3,0.0,0.0,5393.551759356946,0.0,upper
27,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
27,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
27,2,3,0.0,0.0,5393.551759356946,0.0,upper
28,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
28,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
28,2,3,0.0,0.0,5393.551759356946,0.0,upper
29,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
29,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
29,2,3,0.0,0.0,5393.551759356946,0.0,upper
30,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
30,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
30,2,3,0.0,0.0,5393.551759356946,0.0,upper
31,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
31,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
31,2,3,0.0,0.0,5393.551759356946,0.0,upper
32,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
32,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
32,2,3,0.0,0.0,5393.551759356946,0.0,upper
33,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
33,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
33,2,3,0.0,0.0,5393.551759356946,0.0,upper
34,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
34,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
34,2,3,0.0,0.0,5393.551759356946,0.0,upper
35,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
35,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
35,2,3,0.0,0.0,5393.551759356946,0.0,upper
36,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
36,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
36,2,3,0.0,0.0,5393.551759356946,0.0,upper
37,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
37,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
37,2,3,0.0,0.0,5393.551759356946,0.0,upper
