run_id,zone,d_c_z,net_import,req_z,c_dem,lambda_c_z,nu_c,rho
1,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
1,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
1,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
2,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
2,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
2,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
3,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
3,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
3,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
4,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
4,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
4,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
5,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
5,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
5,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
6,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
6,2,2560.309318529239,-2377.3436564367385,4937.652974965978,4937.652974965978,48541.9658340839,48541.96583408356,0.0
6,3,7001.104754159029,0.0,7001.104754159029,7001.104754159043,53935.51759344085,53935.51759344047,0.0
7,1,7227.746702524866,2377.3436564367385,4850.403046088128,4850.403046088128,59329.069352818755,59329.06935281835,0.0
