run_id,weight_type,mpec_status,solve_time,gap,total_cap,market_cost,lambda_e_avg,ls_total,rd_status,rd_volume,rd_cost,curtailment,rd_up_vol,rd_down_vol,rd_cost_econ,curt_cost,lambda_c_z1,c_dem_z1,nu_c_z1,req_z1,net_import_z1,lambda_c_z2,c_dem_z2,nu_c_z2,req_z2,net_import_z2,lambda_c_z3,c_dem_z3,nu_c_z3,req_z3,net_import_z3,c_NL0 0 Invest,c_NL0 1 Invest,c_NL0 10 Invest,c_NL0 11 Invest,c_NL0 12 Invest,c_NL0 13 Invest,c_NL0 14 Invest,c_NL0 15 Invest,c_NL0 16 Invest,c_NL0 17 Invest,c_NL0 18 Invest,c_NL0 19 Invest,c_NL0 2 Invest,c_NL0 20 Invest,c_NL0 21 Invest,c_NL0 22 Invest,c_NL0 23 Invest,c_NL0 24 Invest,c_NL0 25 Invest,c_NL0 26 Invest,c_NL0 27 Invest,c_NL0 28 Invest,c_NL0 3 Invest,c_NL0 30 Invest,c_NL0 31 Invest,c_NL0 33 Invest,c_NL0 4 Invest,c_NL0 5 Invest,c_NL0 6 Invest,c_NL0 7 Invest,c_NL0 8 Invest,c_NL0 9 Invest
1,ptdf_pos,TIME_LIMIT,220.84299993515015,0.0891978245404782,14700.96077521315,3.0978377600513544e9,40.18282306038072,0.0,OPTIMAL,2.881480224794479e6,1.11129685099923e10,161168.83007891514,1.3601556973577822e6,1.5213245274366967e6,-7.680765452845e6,1.1120649275445145e10,59329.069352818755,4850.403046088128,59329.06935281835,4850.403046088128,2377.3436564367385,48541.9658340839,4937.652974965978,48541.96583408356,4937.652974965978,-2377.3436564367385,53935.51759344085,7001.104754159043,53935.51759344047,7001.104754159029,0.0,1000.0,1000.0,1000.0,1000.0,798.6529749659776,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,1000.0,224.20304608812785,1000.0,0.0,0.0,0.0,0.0,1000.0,678.1047541590433,1000.0,0.0,0.0,1000.0
2,ptdf_neg,TIME_LIMIT,220.61100006103516,0.7868470080956486,14700.960775213149,3.0978377600513544e9,40.18282306038072,0.0,OPTIMAL,917059.2528937347,4.800571871404015e8,6962.20205355916,455048.5254200877,462010.7274736471,-334754.55518056825,4.8039194169558203e8,59329.069352818755,4850.403046088128,59329.06935281835,4850.403046088128,2377.3436564367385,48541.9658340839,4937.652974965978,48541.96583408356,4937.652974965978,-2377.3436564367385,53935.51759344085,7001.104754159043,53935.51759344047,7001.104754159029,0.0,0.0,0.0,0.0,0.0,0.0,678.1047541590433,0.0,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,1000.0,224.25335613556308,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,798.6529749659776,999.9496899525648,0.0,1000.0,1000.0,1000.0,1000.0,1000.0
3,ptdf_pos,TIME_LIMIT,220.87199997901917,0.27848302113650936,14700.960775213149,3.0978377600513535e9,40.18282306038072,0.0,OPTIMAL,853445.7862380409,4.6155103859780705e8,6688.883281136331,423378.4514784522,430067.3347595887,18092.19940025732,4.615329463984068e8,59329.069352818755,4850.403046088128,59329.06935281835,4850.403046088128,2377.3436564367385,48541.9658340839,4937.652974965978,48541.96583408356,4937.652974965978,-2377.3436564367385,53935.51759344085,7001.104754159043,53935.51759344047,7001.104754159029,0.0,1000.0,0.0,0.0,0.0,0.0,678.1047541590433,0.0,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,1000.0,224.20304608812785,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,798.6529749659776,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0
4,ptdf_neg,TIME_LIMIT,220.7460000514984,0.7824166727610463,14700.960775213149,3.0978377600513554e9,40.18282306038072,0.0,OPTIMAL,3.455257282651639e6,1.110665164029916e10,161076.2963720288,1.6470904931398048e6,1.8081667895118343e6,-7.61280937082614e6,1.1114264449669987e10,59329.069352818755,4850.403046088128,59329.06935281835,4850.403046088128,2377.3436564367385,48541.9658340839,4937.652974965978,48541.96583408356,4937.652974965978,-2377.3436564367385,53935.51759344085,7001.104754159043,53935.51759344047,7001.104754159029,0.0,0.0,1000.0,1000.0,1000.0,798.6529749659776,1000.0,1000.0,0.0,0.0,224.20304608812785,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,678.1047541590433,1000.0,0.0,0.0,1000.0
5,ptdf_pos,TIME_LIMIT,220.5900001525879,0.6243483285056199,14700.960775213149,3.0978377600513544e9,40.18282306038072,0.0,OPTIMAL,954131.7249916708,1.076765900759586e9,15614.914488049484,469258.40525181056,484873.31973986025,-663198.9158283174,1.0774290996754143e9,59329.069352818755,4850.403046088128,59329.06935281835,4850.403046088128,2377.3436564367385,48541.9658340839,4937.652974965978,48541.96583408356,4937.652974965978,-2377.3436564367385,53935.51759344085,7001.104754159043,53935.51759344047,7001.104754159029,0.0,224.20304608812785,1000.0,1000.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,798.6529749659776,0.0,0.0,678.1047541590433,0.0,1000.0,0.0,0.0
6,ptdf_neg,TIME_LIMIT,220.59299993515015,4.453047206788789,14700.960775213149,3.0978377600513525e9,40.18282306038072,0.0,OPTIMAL,3.5717449335699044e6,1.0474453658055635e10,151909.22433301224,1.7099178546184457e6,1.8618270789514584e6,-7.282820922208682e6,1.0481736478977844e10,59329.069352818755,4850.403046088128,59329.06935281835,4850.403046088128,2377.3436564367385,48541.9658340839,4937.652974965978,48541.96583408356,4937.652974965978,-2377.3436564367385,53935.51759344085,7001.104754159043,53935.51759344047,7001.104754159029,0.0,0.0,0.0,0.0,678.1047541590433,798.6529749659776,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,242.71166563266797,0.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,0.0,981.4913804554599,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
7,ptdf_pos,TIME_LIMIT,220.89400005340576,0.2932580356949522,14700.960775213149,3.0978377600513554e9,40.18282306038072,0.0,OPTIMAL,4.333314772626311e6,1.6005757289065186e10,232128.6553356951,2.0505930586453076e6,2.2827217139810026e6,-1.111992909777689e7,1.6016877218162962e10,59329.069352818755,4850.403046088128,59329.06935281835,4850.403046088128,2377.3436564367385,48541.9658340839,4937.652974965978,48541.96583408356,4937.652974965978,-2377.3436564367385,53935.51759344085,7001.104754159043,53935.51759344047,7001.104754159029,0.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.20304608812785,0.0,798.6529749659776,0.0,0.0,1000.0,1000.0,0.0,1000.0,1000.0,0.0,678.1047541590433,1000.0,0.0,1000.0,1000.0
8,ptdf_neg,TIME_LIMIT,220.51900005340576,1.6898300377099718,14700.960775213149,3.0978377600513535e9,40.18282306038072,0.0,OPTIMAL,267159.6148948509,88084.31234396063,0.0,133579.80744742544,133579.80744742547,88084.31234396063,0.0,59329.069352818755,4850.403046088128,59329.06935281835,4850.403046088128,2377.3436564367385,48541.9658340839,4937.652974965978,48541.96583408356,4937.652974965978,-2377.3436564367385,53935.51759344085,7001.104754159043,53935.51759344047,7001.104754159029,0.0,224.20304608812785,0.0,1000.0,0.0,0.0,678.1047541590433,0.0,1000.0,0.0,0.0,0.0,798.6529749659776,1000.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0
9,ptdf_pos,TIME_LIMIT,220.67600011825562,0.9443410890559835,14700.960775213149,3.0978377600513535e9,40.18282306038072,0.0,OPTIMAL,1.1152314066800312e6,1.0481572061447006e9,15200.006602628848,550015.7000387011,565215.7066413302,-643249.4366898984,1.0488004555813905e9,59329.069352818755,4850.403046088128,59329.06935281835,4850.403046088128,2377.3436564367385,48541.9658340839,4937.652974965978,48541.96583408356,4937.652974965978,-2377.3436564367385,53935.51759344085,7001.104754159043,53935.51759344047,7001.104754159029,0.0,224.20304608812785,0.0,1000.0,0.0,0.0,678.1047541590433,1000.0,1000.0,0.0,0.0,0.0,0.0,798.6529749659776,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0
10,ptdf_neg,TIME_LIMIT,220.6470000743866,0.2064246535224774,14700.960775213149,3.0978377600513544e9,40.18282306038072,0.0,OPTIMAL,3.7945185404208414e6,1.3215911726606316e10,191667.91643963664,1.8014253119906024e6,1.9930932284302393e6,-9.174507728613555e6,1.3225086234334929e10,59329.069352818755,4850.403046088128,59329.06935281835,4850.403046088128,2377.3436564367385,48541.9658340839,4937.652974965978,48541.96583408356,4937.652974965978,-2377.3436564367385,53935.51759344085,7001.104754159043,53935.51759344047,7001.104754159029,0.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,798.6529749659776,0.0,0.0,0.0,0.0,224.20304608812785,0.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,1000.0,0.0,678.1047541590433,1000.0,0.0,1000.0,1000.0
