t,snapshot,generator,bus,technology,q,r_up,r_down,net_redispatch,q_max
650,2013-01-28 01:00:00,NL0 0 coal,NL0 0,coal,45.0,0.0,40.0,-40.0,45.0
650,2013-01-28 01:00:00,NL0 1 coal,NL0 1,coal,0.0,0.0,0.0,0.0,0.0
650,2013-01-28 01:00:00,NL0 10 coal,NL0 10,coal,90.0,40.0,0.0,40.0,130.0
651,2013-01-28 02:00:00,NL0 0 coal,NL0 0,coal,45.0,0.0,40.0,-40.0,45.0
651,2013-01-28 02:00:00,NL0 1 coal,NL0 1,coal,0.0,0.0,0.0,0.0,0.0
651,2013-01-28 02:00:00,NL0 10 coal,NL0 10,coal,90.0,40.0,0.0,40.0,130.0
652,2013-01-28 03:00:00,NL0 0 coal,NL0 0,coal,45.0,0.0,40.0,-40.0,45.0
652,2013-01-28 03:00:00,NL0 1 coal,NL0 1,coal,0.0,0.0,0.0,0.0,0.0
652,2013-01-28 03:00:00,NL0 10 coal,NL0 10,coal,90.0,40.0,0.0,40.0,130.0
653,2013-01-28 04:00:00,NL0 0 coal,NL0 0,coal,45.0,0.0,40.0,-40.0,45.0
653,2013-01-28 04:00:00,NL0 1 coal,NL0 1,coal,0.0,0.0,0.0,0.0,0.0
653,2013-01-28 04:00:00,NL0 10 coal,NL0 10,coal,90.0,40.0,0.0,40.0,130.0
654,2013-01-28 05:00:00,NL0 0 coal,NL0 0,coal,45.0,0.0,40.0,-40.0,45.0
654,2013-01-28 05:00:00,NL0 1 coal,NL0 1,coal,0.0,0.0,0.0,0.0,0.0
654,2013-01-28 05:00:00,NL0 10 coal,NL0 10,coal,90.0,40.0,0.0,40.0,130.0
655,2013-01-28 06:00:00,NL0 0 coal,NL0 0,coal,45.0,0.0,40.0,-40.0,45.0
655,2013-01-28 06:00:00,NL0 1 coal,NL0 1,coal,0.0,0.0,0.0,0.0,0.0
655,2013-01-28 06:00:00,NL0 10 coal,NL0 10,coal,90.0,40.0,0.0,40.0,130.0
656,2013-01-28 07:00:00,NL0 0 coal,NL0 0,coal,45.0,0.0,40.0,-40.0,45.0
656,2013-01-28 07:00:00,NL0 1 coal,NL0 1,coal,0.0,0.0,0.0,0.0,0.0
656,2013-01-28 07:00:00,NL0 10 coal,NL0 10,coal,90.0,40.0,0.0,40.0,130.0
