t,snapshot,line,flow,limit,loading
650,2013-01-28 01:00:00,0,3.526416158706637,5.0,0.7052832317413273
650,2013-01-28 01:00:00,1,11.708016536478668,65.0,0.18012333133044106
651,2013-01-28 02:00:00,0,3.5264161587062963,5.0,0.7052832317412593
651,2013-01-28 02:00:00,1,11.708016536477976,65.0,0.1801233313304304
652,2013-01-28 03:00:00,0,3.5264161587063683,5.0,0.7052832317412736
652,2013-01-28 03:00:00,1,11.708016536478086,65.0,0.1801233313304321
653,2013-01-28 04:00:00,0,3.526416158706128,5.0,0.7052832317412256
653,2013-01-28 04:00:00,1,11.708016536477627,65.0,0.18012333133042505
654,2013-01-28 05:00:00,0,3.526416158706264,5.0,0.7052832317412527
654,2013-01-28 05:00:00,1,11.708016536477873,65.0,0.18012333133042882
655,2013-01-28 06:00:00,0,3.526416158706268,5.0,0.7052832317412536
655,2013-01-28 06:00:00,1,11.708016536477903,65.0,0.18012333133042926
656,2013-01-28 07:00:00,0,3.5264161587064646,5.0,0.7052832317412929
656,2013-01-28 07:00:00,1,11.708016536478304,65.0,0.18012333133043545
