run_id,t,line,flow,Fmax,utilization,congested
1,1,0,5.0,5.0,1.0,true
1,1,1,65.0,65.0,1.0,true
1,2,0,0.0,5.0,0.0,false
1,2,1,65.0,65.0,1.0,true
1,3,0,5.0,5.0,1.0,true
1,3,1,5.0,65.0,0.07692307692307693,false
2,1,0,5.0,5.0,1.0,true
2,1,1,65.0,65.0,1.0,true
2,2,0,0.0,5.0,0.0,false
2,2,1,-2.7777777777777715,65.0,0.04273504273504264,false
2,3,0,5.0,5.0,1.0,true
2,3,1,0.0,65.0,0.0,false
3,1,0,5.0,5.0,1.0,true
3,1,1,65.0,65.0,1.0,true
3,2,0,0.0,5.0,0.0,false
3,2,1,-2.7777777777777715,65.0,0.04273504273504264,false
3,3,0,5.0,5.0,1.0,true
3,3,1,0.0,65.0,0.0,false
4,1,0,5.0,5.0,1.0,true
4,1,1,65.0,65.0,1.0,true
4,2,0,0.0,5.0,0.0,false
4,2,1,-2.7777777777777715,65.0,0.04273504273504264,false
4,3,0,5.0,5.0,1.0,true
4,3,1,0.0,65.0,0.0,false
5,1,0,5.0,5.0,1.0,true
5,1,1,65.0,65.0,1.0,true
5,2,0,0.0,5.0,0.0,false
5,2,1,-2.7777777777777715,65.0,0.04273504273504264,false
5,3,0,5.0,5.0,1.0,true
5,3,1,0.0,65.0,0.0,false
6,1,0,5.0,5.0,1.0,true
6,1,1,65.0,65.0,1.0,true
6,2,0,0.0,5.0,0.0,false
6,2,1,-2.7777777777777715,65.0,0.04273504273504264,false
6,3,0,5.0,5.0,1.0,true
6,3,1,0.0,65.0,0.0,false
7,1,0,5.0,5.0,1.0,true
7,1,1,65.0,65.0,1.0,true
7,2,0,0.0,5.0,0.0,false
7,2,1,-2.7777777777777715,65.0,0.04273504273504264,false
7,3,0,5.0,5.0,1.0,true
7,3,1,0.0,65.0,0.0,false
