run_id,t,D_max,lambda_e,ls,total_gen
1,1,200.0,5.0,0.0,200.0
1,2,300.0,5.0,0.0,300.0
1,3,350.0,5.0,0.0,350.0
2,1,200.0,5.0,0.0,200.0
2,2,300.0,5.0,0.0,300.0
2,3,350.0,5.0,0.0,350.0
3,1,200.0,5.0,0.0,200.0
3,2,300.0,5.0,0.0,300.0
3,3,350.0,5.0,0.0,350.0
4,1,200.0,5.0,0.0,200.0
4,2,300.0,5.0,0.0,300.0
4,3,350.0,5.0,0.0,350.0
5,1,200.0,5.0,0.0,200.0
5,2,300.0,5.0,0.0,300.0
5,3,350.0,5.0,0.0,350.0
6,1,200.0,5.0,0.0,200.0
6,2,300.0,5.0,0.0,300.0
6,3,350.0,5.0,0.0,350.0
7,1,200.0,5.0,0.0,200.0
7,2,300.0,5.0,0.0,300.0
7,3,350.0,5.0,0.0,350.0
