variable,min,max,mean,median,std
total_cap,275.0,275.0,275.0,275.0,0.0
market_cost,6307.622025256849,6307.622025256849,6307.62202525685,6307.622025256849,9.82366554794356e-13
lambda_e_avg,5.0,5.0,5.0,5.0,0.0
ls_total,0.0,0.0,0.0,0.0,0.0
rd_volume,130.55555555555551,590.0,327.46031746031747,130.55555555555551,245.58338562397222
rd_cost,52807.68333333328,381324.35,193600.54047619045,52807.683333333305,175599.54464452658
curtailment,26.111111111111086,190.0,96.34920634920634,26.1111111111111,87.60229596018355
lambda_c_z1,0.0,0.0,0.0,0.0,0.0
lambda_c_z2,0.0,0.0,0.0,0.0,0.0
lambda_c_z3,0.0,0.0,0.0,0.0,0.0
c_NL0 0 coal,6.111111111111111,110.0,50.634920634920626,6.111111111111111,55.53094693069262
c_NL0 1 coal,85.55555555555556,189.44444444444446,100.39682539682539,85.55555555555556,39.26630914040306
c_NL0 10 coal,79.44444444444444,183.33333333333334,123.96825396825398,79.44444444444444,55.53094693069263
