run_id,generator,bus,tech,zone,cap_max,c,vc,fc,mu_cap_up,mu_cm_bud,energy_rent,cm_rent,total_rent,fixed_cost,profit
1,NL0 0 CCGT,NL0 0,CCGT,1,200.0,10.714285714285714,5.0,22.5,0.0,22.5,0.0,241.07142857142856,241.07142857142856,241.07142857142856,0.0
1,NL0 1 coal,NL0 1,CCGT,2,200.0,150.0,5.0,22.5,0.0,22.5,0.0,3375.0,3375.0,3375.0,0.0
1,NL0 10 nuclear,NL0 10,CCGT,3,200.0,137.5,5.0,22.5,0.0,22.5,0.0,3093.75,3093.75,3093.75,0.0
2,NL0 0 CCGT,NL0 0,CCGT,1,200.0,10.714285714285714,5.0,22.5,0.0,22.5,0.0,241.07142857142856,241.07142857142856,241.07142857142856,0.0
2,NL0 1 coal,NL0 1,CCGT,2,200.0,150.0,5.0,22.5,0.0,22.5,0.0,3375.0,3375.0,3375.0,0.0
2,NL0 10 nuclear,NL0 10,CCGT,3,200.0,137.5,5.0,22.5,0.0,22.5,0.0,3093.75,3093.75,3093.75,0.0
3,NL0 0 CCGT,NL0 0,CCGT,1,200.0,10.714285714285714,5.0,22.5,0.0,22.5,0.0,241.07142857142856,241.07142857142856,241.07142857142856,0.0
3,NL0 1 coal,NL0 1,CCGT,2,200.0,150.0,5.0,22.5,0.0,22.5,0.0,3375.0,3375.0,3375.0,0.0
3,NL0 10 nuclear,NL0 10,CCGT,3,200.0,137.5,5.0,22.5,0.0,22.5,0.0,3093.75,3093.75,3093.75,0.0
4,NL0 0 CCGT,NL0 0,CCGT,1,200.0,10.714285714285714,5.0,22.5,0.0,22.5,0.0,241.07142857142856,241.07142857142856,241.07142857142856,0.0
4,NL0 1 coal,NL0 1,CCGT,2,200.0,150.0,5.0,22.5,0.0,22.5,0.0,3375.0,3375.0,3375.0,0.0
4,NL0 10 nuclear,NL0 10,CCGT,3,200.0,137.5,5.0,22.5,0.0,22.5,0.0,3093.75,3093.75,3093.75,0.0
5,NL0 0 CCGT,NL0 0,CCGT,1,200.0,10.714285714285714,5.0,22.5,0.0,22.5,0.0,241.07142857142856,241.07142857142856,241.07142857142856,0.0
5,NL0 1 coal,NL0 1,CCGT,2,200.0,150.0,5.0,22.5,0.0,22.5,0.0,3375.0,3375.0,3375.0,0.0
5,NL0 10 nuclear,NL0 10,CCGT,3,200.0,137.5,5.0,22.5,0.0,22.5,0.0,3093.75,3093.75,3093.75,0.0
6,NL0 0 CCGT,NL0 0,CCGT,1,200.0,10.714285714285714,5.0,22.5,0.0,22.5,0.0,241.07142857142856,241.07142857142856,241.07142857142856,0.0
6,NL0 1 coal,NL0 1,CCGT,2,200.0,150.0,5.0,22.5,0.0,22.5,0.0,3375.0,3375.0,3375.0,0.0
6,NL0 10 nuclear,NL0 10,CCGT,3,200.0,137.5,5.0,22.5,0.0,22.5,0.0,3093.75,3093.75,3093.75,0.0
