variable,min,max,mean,median,std
total_cap,298.2142857142857,298.2142857142857,298.2142857142857,298.2142857142857,0.0
market_cost,9837.071428571428,9837.071428571428,9837.071428571428,9837.071428571428,0.0
lambda_e_avg,5.0,5.0,5.0,5.0,0.0
ls_total,0.0,0.0,0.0,0.0,0.0
rd_volume,309.9265405502662,378.5714285714287,345.1897950035839,348.42756867179065,31.048544335371364
rd_cost,222.7496742711304,1716.9918766569842,792.2211776595583,644.6912038316165,639.462884726339
curtailment,0.0,5.0000000000000435,1.8568086048825674,1.311998621609547,2.1710456989335825
rd_up_vol,154.9632702751331,187.92956150298065,171.6664931993507,172.6785714285715,14.983815831192407
rd_down_vol,154.9632702751331,191.7857142857144,173.52330180423326,175.74899724321915,16.11980258945801
rd_cost_econ,216.99187665697127,257.6516104568002,235.17859619478827,233.64064925591748,18.41553657683412
curt_cost,0.0,1500.000000000013,557.0425814647703,393.5995864828641,651.3137096800747
lambda_c_z1,22.5,22.5,22.5,22.5,0.0
lambda_c_z2,22.5,22.5,22.5,22.5,0.0
lambda_c_z3,22.5,22.5,22.5,22.5,0.0
c_dem_z1,0.7142857142857143,20.714285714285715,10.714285714285715,10.714285714285714,8.944271909999161
c_dem_z2,135.0,165.0,150.0,150.0,13.784048752090222
c_dem_z3,122.5,152.5,137.5,137.5,13.784048752090222
nu_c_z1,22.5,22.5,22.5,22.5,0.0
nu_c_z2,22.5,22.5,22.5,22.5,0.0
nu_c_z3,22.5,22.5,22.5,22.5,0.0
req_z1,0.7142857142857135,20.714285714285715,10.714285714285715,10.714285714285714,8.944271909999161
req_z2,135.0,165.0,150.0,150.0,13.784048752090222
req_z3,122.50000000000003,152.50000000000003,137.50000000000003,137.50000000000003,13.784048752090222
net_import_z1,-10.0,10.0,0.0,0.0,8.94427190999916
net_import_z2,-15.0,15.0,0.0,0.0,13.784048752090222
net_import_z3,-15.0,15.0,0.0,0.0,13.784048752090222
c_NL0 0 CCGT,0.7142857142857143,20.714285714285715,10.714285714285715,10.714285714285714,8.944271909999161
c_NL0 1 coal,135.0,165.0,150.0,150.0,13.784048752090222
c_NL0 10 nuclear,122.5,152.5,137.5,137.5,13.784048752090222
