run_id,zone,d_c_z,net_import,req_z,c_dem,lambda_c_z,nu_c,rho
1,1,10.714285714285714,-2.5,13.214285714285714,13.214285714285714,22.5,22.5,0.0
1,2,150.0,3.75,146.25,146.25,22.5,22.5,0.0
1,3,137.50000000000003,-1.25,138.75000000000003,138.75,22.5,22.5,0.0
2,1,10.714285714285714,2.5,8.214285714285714,8.214285714285714,22.5,22.5,0.0
2,2,150.0,-3.75,153.75,153.75,22.5,22.5,0.0
2,3,137.50000000000003,1.25,136.25000000000003,136.25,22.5,22.5,0.0
3,1,10.714285714285714,0.0,10.714285714285714,10.714285714285714,22.5,22.5,0.0
3,2,150.0,-3.75,153.75,153.75,22.5,22.5,0.0
3,3,137.50000000000003,3.75,133.75000000000003,133.75,22.5,22.5,0.0
4,1,10.714285714285714,0.0,10.714285714285714,10.714285714285714,22.5,22.5,0.0
4,2,150.0,3.75,146.25,146.25,22.5,22.5,0.0
4,3,137.50000000000003,-3.75,141.25000000000003,141.25,22.5,22.5,0.0
5,1,10.714285714285714,-2.5,13.214285714285714,13.214285714285714,22.5,22.5,0.0
5,2,150.0,-1.25,151.25,151.25,22.5,22.5,0.0
5,3,137.50000000000003,3.75,133.75000000000003,133.75,22.5,22.5,0.0
6,1,10.714285714285714,2.5,8.214285714285714,8.214285714285714,22.5,22.5,0.0
6,2,150.0,1.25,148.75,148.75,22.5,22.5,0.0
6,3,137.50000000000003,-3.75,141.25000000000003,141.25,22.5,22.5,0.0
