run_id,generator,bus,tech,zone,cap_max,c,vc,fc,mu_cap_up,mu_cm_bud,energy_rent,cm_rent,total_rent,fixed_cost,profit
1,NL0 0 CCGT,NL0 0,CCGT,1,200.0,10.714285714285714,6.0,22.5,0.0,22.5,-0.0,241.07142857142856,241.07142857142856,241.07142857142856,0.0
1,NL0 1 coal,NL0 1,CCGT,2,200.0,142.5,5.0,22.5,0.0,22.5,0.0,3206.25,3206.25,3206.25,0.0
1,NL0 10 nuclear,NL0 10,CCGT,3,200.0,145.0,4.0,22.5,0.0,20.5,290.0,2972.5,3262.5,3262.5,0.0
2,NL0 0 CCGT,NL0 0,CCGT,1,200.0,5.714285714285714,6.0,22.5,0.0,22.5,-0.0,128.57142857142858,128.57142857142858,128.57142857142858,0.0
2,NL0 1 coal,NL0 1,CCGT,2,200.0,147.5,5.0,22.5,0.0,22.5,0.0,3318.75,3318.75,3318.75,0.0
2,NL0 10 nuclear,NL0 10,CCGT,3,200.0,145.0,4.0,22.5,0.0,20.5,290.0,2972.5,3262.5,3262.5,0.0
3,NL0 0 CCGT,NL0 0,CCGT,1,200.0,5.714285714285714,6.0,22.5,0.0,22.5,-0.0,128.57142857142858,128.57142857142858,128.57142857142858,0.0
3,NL0 1 coal,NL0 1,CCGT,2,200.0,147.5,5.0,22.5,0.0,22.5,0.0,3318.75,3318.75,3318.75,0.0
3,NL0 10 nuclear,NL0 10,CCGT,3,200.0,145.0,4.0,22.5,0.0,20.5,290.0,2972.5,3262.5,3262.5,0.0
4,NL0 0 CCGT,NL0 0,CCGT,1,200.0,10.714285714285714,6.0,22.5,0.0,22.5,-0.0,241.07142857142856,241.07142857142856,241.07142857142856,0.0
4,NL0 1 coal,NL0 1,CCGT,2,200.0,142.5,5.0,22.5,0.0,22.5,0.0,3206.25,3206.25,3206.25,0.0
4,NL0 10 nuclear,NL0 10,CCGT,3,200.0,145.0,4.0,22.5,0.0,20.5,290.0,2972.5,3262.5,3262.5,0.0
5,NL0 0 CCGT,NL0 0,CCGT,1,200.0,10.714285714285714,6.0,22.5,0.0,22.5,-0.0,241.07142857142856,241.07142857142856,241.07142857142856,0.0
5,NL0 1 coal,NL0 1,CCGT,2,200.0,142.5,5.0,22.5,0.0,22.5,0.0,3206.25,3206.25,3206.25,0.0
5,NL0 10 nuclear,NL0 10,CCGT,3,200.0,145.0,4.0,22.5,0.0,20.5,290.0,2972.5,3262.5,3262.5,0.0
6,NL0 0 CCGT,NL0 0,CCGT,1,200.0,5.714285714285714,6.0,22.5,0.0,22.5,-0.0,128.57142857142858,128.57142857142858,128.57142857142858,0.0
6,NL0 1 coal,NL0 1,CCGT,2,200.0,147.5,5.0,22.5,0.0,22.5,0.0,3318.75,3318.75,3318.75,0.0
6,NL0 10 nuclear,NL0 10,CCGT,3,200.0,145.0,4.0,22.5,0.0,20.5,290.0,2972.5,3262.5,3262.5,0.0
