run_id,generator,type,bus,zone,cm_offer,lambda_c_z,mu_cm_bud
1,NL0 0 CCGT,investable,NL0 0,1,20.714285714285715,22.5,22.5
1,NL0 1 coal,investable,NL0 1,2,155.0,30.0,30.0
1,NL0 10 nuclear,investable,NL0 10,3,122.5,34.5,34.5
1,NL0 0 0 solar,legacy,NL0 0,1,0.0,22.5,22.5
1,NL0 1 0 solar,legacy,NL0 1,2,0.0,30.0,30.0
1,NL0 10 0 solar,legacy,NL0 10,3,0.0,34.5,34.5
2,NL0 0 CCGT,investable,NL0 0,1,20.714285714285715,22.5,22.5
2,NL0 1 coal,investable,NL0 1,2,155.0,30.0,30.0
2,NL0 10 nuclear,investable,NL0 10,3,122.5,34.5,34.5
2,NL0 0 0 solar,legacy,NL0 0,1,0.0,22.5,22.5
2,NL0 1 0 solar,legacy,NL0 1,2,0.0,30.0,30.0
2,NL0 10 0 solar,legacy,NL0 10,3,0.0,34.5,34.5
3,NL0 0 CCGT,investable,NL0 0,1,20.714285714285715,22.5,22.5
3,NL0 1 coal,investable,NL0 1,2,155.0,30.0,30.0
3,NL0 10 nuclear,investable,NL0 10,3,122.5,34.5,34.5
3,NL0 0 0 solar,legacy,NL0 0,1,0.0,22.5,22.5
3,NL0 1 0 solar,legacy,NL0 1,2,0.0,30.0,30.0
3,NL0 10 0 solar,legacy,NL0 10,3,0.0,34.5,34.5
4,NL0 0 CCGT,investable,NL0 0,1,20.714285714285715,22.5,22.5
4,NL0 1 coal,investable,NL0 1,2,155.0,30.0,30.0
4,NL0 10 nuclear,investable,NL0 10,3,122.5,34.5,34.5
4,NL0 0 0 solar,legacy,NL0 0,1,0.0,22.5,22.5
4,NL0 1 0 solar,legacy,NL0 1,2,0.0,30.0,30.0
4,NL0 10 0 solar,legacy,NL0 10,3,0.0,34.5,34.5
5,NL0 0 CCGT,investable,NL0 0,1,20.714285714285715,22.5,22.5
5,NL0 1 coal,investable,NL0 1,2,155.0,30.0,30.0
5,NL0 10 nuclear,investable,NL0 10,3,122.5,34.5,34.5
5,NL0 0 0 solar,legacy,NL0 0,1,0.0,22.5,22.5
5,NL0 1 0 solar,legacy,NL0 1,2,0.0,30.0,30.0
5,NL0 10 0 solar,legacy,NL0 10,3,0.0,34.5,34.5
6,NL0 0 CCGT,investable,NL0 0,1,20.714285714285715,22.5,22.5
6,NL0 1 coal,investable,NL0 1,2,155.0,30.0,30.0
6,NL0 10 nuclear,investable,NL0 10,3,122.5,34.5,34.5
6,NL0 0 0 solar,legacy,NL0 0,1,0.0,22.5,22.5
6,NL0 1 0 solar,legacy,NL0 1,2,0.0,30.0,30.0
6,NL0 10 0 solar,legacy,NL0 10,3,0.0,34.5,34.5
