variable,min,max,mean,median,std
total_cap,298.2142857142857,298.2142857142857,298.2142857142857,298.2142857142857,0.0
market_cost,12585.196428571428,12585.196428571428,12585.196428571428,12585.196428571428,0.0
lambda_e_avg,4.666666666666667,4.666666666666667,4.666666666666667,4.666666666666667,0.0
ls_total,0.0,0.0,0.0,0.0,0.0
rd_volume,104.00957932763505,104.00957932763505,104.00957932763505,104.00957932763505,0.0
rd_cost,225.44239942289386,225.44239942289386,225.44239942289389,225.44239942289386,3.113442275577916e-14
curtailment,0.0,0.0,0.0,0.0,0.0
rd_up_vol,52.004789663817526,52.004789663817526,52.004789663817526,52.004789663817526,0.0
rd_down_vol,52.004789663817526,52.004789663817526,52.004789663817526,52.004789663817526,0.0
rd_cost_econ,225.44239942289386,225.44239942289386,225.44239942289389,225.44239942289386,3.113442275577916e-14
curt_cost,0.0,0.0,0.0,0.0,0.0
lambda_c_z1,22.5,22.5,22.5,22.5,0.0
lambda_c_z2,30.0,30.0,30.0,30.0,0.0
lambda_c_z3,35.5,35.5,35.5,35.5,0.0
c_dem_z1,13.214285714285714,13.214285714285714,13.214285714285714,13.214285714285714,0.0
c_dem_z2,151.25,151.25,151.25,151.25,0.0
c_dem_z3,133.75,133.75,133.75,133.75,0.0
nu_c_z1,22.5,22.5,22.5,22.5,0.0
nu_c_z2,30.0,30.0,30.0,30.0,0.0
nu_c_z3,35.5,35.5,35.5,35.5,0.0
req_z1,13.214285714285714,13.214285714285714,13.214285714285714,13.214285714285714,0.0
req_z2,151.25,151.25,151.25,151.25,0.0
req_z3,133.75000000000003,133.75000000000003,133.75000000000003,133.75000000000003,0.0
net_import_z1,-2.5,-2.5,-2.5,-2.5,0.0
net_import_z2,-1.25,-1.25,-1.25,-1.25,0.0
net_import_z3,3.75,3.75,3.75,3.75,0.0
c_NL0 0 CCGT,13.214285714285714,13.214285714285714,13.214285714285714,13.214285714285714,0.0
c_NL0 1 coal,151.25,151.25,151.25,151.25,0.0
c_NL0 10 nuclear,133.75,133.75,133.75,133.75,0.0
