run_id,generator,bus,zone,cap,vc,mu_cm_bud,energy_rent,cm_rent,total_gen
1,NL0 0 0 solar,NL0 0,1,100.0,0.01,20.5,424.25,0.0,75.0
1,NL0 1 0 solar,NL0 1,2,100.0,0.01,26.0,474.25,0.0,75.0
1,NL0 10 0 solar,NL0 10,3,100.0,0.01,30.5,524.25,0.0,75.0
1,NL0 10 0 CCGT,NL0 10,3,100.0,7.0,30.5,0.0,3050.0,103.57142857142858
2,NL0 0 0 solar,NL0 0,1,100.0,0.01,20.5,424.25,0.0,75.0
2,NL0 1 0 solar,NL0 1,2,100.0,0.01,26.0,474.25,0.0,75.0
2,NL0 10 0 solar,NL0 10,3,100.0,0.01,30.5,524.25,0.0,75.0
2,NL0 10 0 CCGT,NL0 10,3,100.0,7.0,30.5,0.0,3050.0,103.57142857142858
3,NL0 0 0 solar,NL0 0,1,100.0,0.01,20.5,424.25,0.0,75.0
3,NL0 1 0 solar,NL0 1,2,100.0,0.01,26.0,474.25,0.0,75.0
3,NL0 10 0 solar,NL0 10,3,100.0,0.01,30.5,524.25,0.0,75.0
3,NL0 10 0 CCGT,NL0 10,3,100.0,7.0,30.5,0.0,3050.0,103.57142857142858
4,NL0 0 0 solar,NL0 0,1,100.0,0.01,20.5,424.25,0.0,75.0
4,NL0 1 0 solar,NL0 1,2,100.0,0.01,26.0,474.25,0.0,75.0
4,NL0 10 0 solar,NL0 10,3,100.0,0.01,30.5,524.25,0.0,75.0
4,NL0 10 0 CCGT,NL0 10,3,100.0,7.0,30.5,0.0,3050.0,103.57142857142858
5,NL0 0 0 solar,NL0 0,1,100.0,0.01,20.5,424.25,0.0,75.0
5,NL0 1 0 solar,NL0 1,2,100.0,0.01,26.0,474.25,0.0,75.0
5,NL0 10 0 solar,NL0 10,3,100.0,0.01,30.5,524.25,0.0,75.0
5,NL0 10 0 CCGT,NL0 10,3,100.0,7.0,30.5,0.0,3050.0,103.57142857142858
6,NL0 0 0 solar,NL0 0,1,100.0,0.01,20.5,424.25,0.0,75.0
6,NL0 1 0 solar,NL0 1,2,100.0,0.01,26.0,474.25,0.0,75.0
6,NL0 10 0 solar,NL0 10,3,100.0,0.01,30.5,524.25,0.0,75.0
6,NL0 10 0 CCGT,NL0 10,3,100.0,7.0,30.5,0.0,3050.0,103.57142857142858
