run_id,generator,bus,tech,zone,cap_max,c,vc,fc,mu_cap_up,mu_cm_bud,energy_rent,cm_rent,total_rent,fixed_cost,profit
1,NL0 0 CCGT,NL0 0,CCGT,1,200.0,13.214285714285714,6.0,22.5,0.0,20.5,26.428571428571427,270.8928571428571,297.32142857142856,297.32142857142856,0.0
1,NL0 1 coal,NL0 1,coal,2,200.0,151.25,5.0,30.0,0.0,26.0,605.0,3932.5,4537.5,4537.5,0.0
1,NL0 10 nuclear,NL0 10,nuclear,3,200.0,33.75,4.0,37.5,0.0,30.5,236.25,1029.375,1265.625,1265.625,0.0
2,NL0 0 CCGT,NL0 0,CCGT,1,200.0,13.214285714285714,6.0,22.5,0.0,20.5,26.428571428571427,270.8928571428571,297.32142857142856,297.32142857142856,0.0
2,NL0 1 coal,NL0 1,coal,2,200.0,151.25,5.0,30.0,0.0,26.0,605.0,3932.5,4537.5,4537.5,0.0
2,NL0 10 nuclear,NL0 10,nuclear,3,200.0,33.75,4.0,37.5,0.0,30.5,236.25,1029.375,1265.625,1265.625,0.0
3,NL0 0 CCGT,NL0 0,CCGT,1,200.0,13.214285714285714,6.0,22.5,0.0,20.5,26.428571428571427,270.8928571428571,297.32142857142856,297.32142857142856,0.0
3,NL0 1 coal,NL0 1,coal,2,200.0,151.25,5.0,30.0,0.0,26.0,605.0,3932.5,4537.5,4537.5,0.0
3,NL0 10 nuclear,NL0 10,nuclear,3,200.0,33.75,4.0,37.5,0.0,30.5,236.25,1029.375,1265.625,1265.625,0.0
4,NL0 0 CCGT,NL0 0,CCGT,1,200.0,13.214285714285714,6.0,22.5,0.0,20.5,26.428571428571427,270.8928571428571,297.32142857142856,297.32142857142856,0.0
4,NL0 1 coal,NL0 1,coal,2,200.0,151.25,5.0,30.0,0.0,26.0,605.0,3932.5,4537.5,4537.5,0.0
4,NL0 10 nuclear,NL0 10,nuclear,3,200.0,33.75,4.0,37.5,0.0,30.5,236.25,1029.375,1265.625,1265.625,0.0
5,NL0 0 CCGT,NL0 0,CCGT,1,200.0,13.214285714285714,6.0,22.5,0.0,20.5,26.428571428571427,270.8928571428571,297.32142857142856,297.32142857142856,0.0
5,NL0 1 coal,NL0 1,coal,2,200.0,151.25,5.0,30.0,0.0,26.0,605.0,3932.5,4537.5,4537.5,0.0
5,NL0 10 nuclear,NL0 10,nuclear,3,200.0,33.75,4.0,37.5,0.0,30.5,236.25,1029.375,1265.625,1265.625,0.0
6,NL0 0 CCGT,NL0 0,CCGT,1,200.0,13.214285714285714,6.0,22.5,0.0,20.5,26.428571428571427,270.8928571428571,297.32142857142856,297.32142857142856,0.0
6,NL0 1 coal,NL0 1,coal,2,200.0,151.25,5.0,30.0,0.0,26.0,605.0,3932.5,4537.5,4537.5,0.0
6,NL0 10 nuclear,NL0 10,nuclear,3,200.0,33.75,4.0,37.5,0.0,30.5,236.25,1029.375,1265.625,1265.625,0.0
