variable,min,max,mean,median,std
total_cap,198.21428571428572,198.21428571428572,198.21428571428575,198.21428571428572,3.113442275577916e-14
market_cost,9329.392857142857,9329.392857142857,9329.392857142857,9329.392857142857,0.0
lambda_e_avg,6.333333333333333,6.333333333333333,6.333333333333333,6.333333333333333,0.0
ls_total,0.0,0.0,0.0,0.0,0.0
rd_volume,296.6433521800619,296.6433521800619,296.64335218006187,296.6433521800619,6.226884551155832e-14
rd_cost,514.972169319909,514.972169319909,514.972169319909,514.972169319909,0.0
curtailment,0.0,0.0,0.0,0.0,0.0
rd_up_vol,148.32167609003096,148.32167609003096,148.32167609003093,148.32167609003096,3.113442275577916e-14
rd_down_vol,148.32167609003096,148.32167609003096,148.32167609003093,148.32167609003096,3.113442275577916e-14
rd_cost_econ,514.972169319909,514.972169319909,514.972169319909,514.972169319909,0.0
curt_cost,0.0,0.0,0.0,0.0,0.0
lambda_c_z1,20.5,20.5,20.5,20.5,0.0
lambda_c_z2,26.0,26.0,26.0,26.0,0.0
lambda_c_z3,30.5,30.5,30.5,30.5,0.0
c_dem_z1,15.714285714285714,15.714285714285714,15.714285714285714,15.714285714285714,0.0
c_dem_z2,152.5,152.5,152.5,152.5,0.0
c_dem_z3,130.0,130.0,130.0,130.0,0.0
nu_c_z1,20.5,20.5,20.5,20.5,0.0
nu_c_z2,26.0,26.0,26.0,26.0,0.0
nu_c_z3,30.5,30.5,30.5,30.5,0.0
req_z1,15.714285714285714,15.714285714285714,15.714285714285714,15.714285714285714,0.0
req_z2,152.5,152.5,152.5,152.5,0.0
req_z3,130.00000000000003,130.00000000000003,130.00000000000003,130.00000000000003,0.0
net_import_z1,-5.0,-5.0,-5.0,-5.0,0.0
net_import_z2,-2.5,-2.5,-2.5,-2.5,0.0
net_import_z3,7.5,7.5,7.5,7.5,0.0
c_NL0 0 CCGT,15.714285714285714,15.714285714285714,15.714285714285714,15.714285714285714,0.0
c_NL0 1 coal,152.5,152.5,152.5,152.5,0.0
c_NL0 10 nuclear,30.0,30.0,30.0,30.0,0.0
