run_id,zone_a,zone_b,bound,f_ab,phi_lo,phi_hi,at_bound
1,1,2,3.75,-3.75,5.5,0.0,lower
1,1,3,3.75,-3.75,10.0,0.0,lower
1,2,3,7.5,-7.5,4.5,0.0,lower
2,1,2,3.75,-3.75,5.5,0.0,lower
2,1,3,3.75,-3.75,10.0,0.0,lower
2,2,3,7.5,-7.5,4.5,0.0,lower
3,1,2,3.75,-3.75,5.5,0.0,lower
3,1,3,3.75,-3.75,10.0,0.0,lower
3,2,3,7.5,-7.5,4.5,0.0,lower
4,1,2,3.75,-3.75,5.5,0.0,lower
4,1,3,3.75,-3.75,10.0,0.0,lower
4,2,3,7.5,-7.5,4.5,0.0,lower
5,1,2,3.75,-3.75,5.5,0.0,lower
5,1,3,3.75,-3.75,10.0,0.0,lower
5,2,3,7.5,-7.5,4.5,0.0,lower
6,1,2,3.75,-3.75,5.5,0.0,lower
6,1,3,3.75,-3.75,10.0,0.0,lower
6,2,3,7.5,-7.5,4.5,0.0,lower
