variable,min,max,mean,median,std
total_cap,298.2142857142857,298.2142857142857,298.2142857142857,298.2142857142857,0.0
market_cost,13024.571428571428,13024.571428571428,13024.571428571428,13024.571428571428,0.0
lambda_e_avg,5.0,5.0,5.0,5.0,0.0
ls_total,0.0,0.0,0.0,0.0,0.0
rd_volume,332.0029702232276,332.0029702232276,332.0029702232276,332.0029702232276,0.0
rd_cost,232.37077546405112,232.37077546405112,232.37077546405112,232.37077546405112,0.0
curtailment,0.0,0.0,0.0,0.0,0.0
rd_up_vol,166.0014851116138,166.0014851116138,166.0014851116138,166.0014851116138,0.0
rd_down_vol,166.0014851116138,166.0014851116138,166.0014851116138,166.0014851116138,0.0
rd_cost_econ,232.37077546405112,232.37077546405112,232.37077546405112,232.37077546405112,0.0
curt_cost,0.0,0.0,0.0,0.0,0.0
lambda_c_z1,22.5,22.5,22.5,22.5,0.0
lambda_c_z2,30.0,30.0,30.0,30.0,0.0
lambda_c_z3,37.5,37.5,37.5,37.5,0.0
c_dem_z1,10.714285714285714,10.714285714285714,10.714285714285714,10.714285714285714,0.0
c_dem_z2,150.0,150.0,150.0,150.0,0.0
c_dem_z3,137.5,137.5,137.5,137.5,0.0
nu_c_z1,22.5,22.5,22.5,22.5,0.0
nu_c_z2,30.0,30.0,30.0,30.0,0.0
nu_c_z3,37.5,37.5,37.5,37.5,0.0
req_z1,10.714285714285714,10.714285714285714,10.714285714285714,10.714285714285714,0.0
req_z2,150.0,150.0,150.0,150.0,0.0
req_z3,137.50000000000003,137.50000000000003,137.50000000000003,137.50000000000003,0.0
net_import_z1,0.0,0.0,0.0,0.0,0.0
net_import_z2,0.0,0.0,0.0,0.0,0.0
net_import_z3,0.0,0.0,0.0,0.0,0.0
c_NL0 0 CCGT,10.714285714285714,10.714285714285714,10.714285714285714,10.714285714285714,0.0
c_NL0 1 coal,150.0,150.0,150.0,150.0,0.0
c_NL0 10 nuclear,137.5,137.5,137.5,137.5,0.0
